iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.664009,13.8,0.008838,0.008924,0.521739,36.56522,0.976998,43608.0,0.006706,0.021208,0.000579,0.005733,-0.001275,0.003417,7.080154,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006029,-6e-05,-4.1e-05,-0.009516,-0.004128,-0.041283,-0.002733,-0.00041,0.009354,-0.004666,-0.00122,-0.003566,-0.001603,0.008251,0.002983,-0.014287,-1.3e-05,-4.9e-05,3.652174,0.051433,0.130643,0.227251
1,-2.158459,38.580002,0.023204,0.019747,8.041667,0.0,0.949784,64414.0,0.019595,0.063606,0.003788,0.016781,-0.003694,0.008994,6.632242,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016274,-0.000164,-0.000181,-0.026567,-0.008963,-0.11399,-0.007329,-0.000909,0.023385,-0.013978,-0.003303,-0.008205,-0.003555,0.017991,0.007069,-0.038784,-0.000183,-0.000637,4.083333,0.030812,0.138161,0.612061
2,-2.617228,58.779999,0.03755,0.035254,8.958334,0.0,0.922509,63910.0,0.030787,0.100791,0.005758,0.026073,-0.005416,0.014627,6.685831,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026783,-0.000266,-0.000334,-0.027711,-0.013867,-0.180688,-0.011624,-0.001538,0.037636,-0.020969,-0.005333,-0.012676,-0.00574,0.029673,0.012963,-0.061098,-0.000435,-0.002099,3.875,0.029346,0.142463,0.582226
3,-3.020456,80.879997,0.049565,0.05076,8.791667,0.0,0.894094,64666.0,0.041612,0.142855,0.008074,0.036404,-0.00732,0.020832,6.640699,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037436,-0.000373,-0.000508,-0.0276,-0.019759,-0.243392,-0.01636,-0.0022,0.05305,-0.02886,-0.007364,-0.017937,-0.008174,0.042095,0.017806,-0.082539,-0.00111,-0.004355,3.916667,0.031336,0.127513,0.600071
4,-3.174861,93.879997,0.065387,0.063956,8.666667,0.0,0.865917,63402.0,0.053418,0.17603,0.009415,0.04605,-0.008789,0.024588,6.632996,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046368,-0.000454,-0.000648,-0.027504,-0.025119,-0.290756,-0.019589,-0.002763,0.067256,-0.034836,-0.008964,-0.022216,-0.010403,0.047809,0.022109,-0.098604,-0.001722,-0.006673,3.958333,0.029344,0.137859,0.572097
5,-3.401308,124.57,0.077361,0.078221,7.0,0.0,0.840152,60351.0,0.063568,0.219123,0.01174,0.056022,-0.010327,0.031432,6.599037,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056805,-0.000552,-0.000771,-0.025807,-0.03095,-0.338335,-0.023409,-0.003363,0.083198,-0.040682,-0.010895,-0.026383,-0.012962,0.06363,0.028567,-0.115289,-0.002545,-0.009893,3.958333,0.029032,0.138584,0.580976
6,-3.36585,143.089996,0.08308,0.091409,6.416667,0.0,0.813409,63363.0,0.069885,0.246366,0.013358,0.063992,-0.011792,0.037969,6.582483,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065539,-0.000631,-0.000864,-0.026264,-0.036407,-0.375863,-0.026217,-0.003831,0.097483,-0.045488,-0.012053,-0.030382,-0.015342,0.074888,0.034492,-0.128327,-0.002859,-0.013043,3.208333,0.033055,0.134711,0.558548
7,-3.70651,162.550003,0.107739,0.109751,5.583333,0.0,0.78967,59346.0,0.087626,0.29227,0.014574,0.073708,-0.0129,0.03771,6.55571,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078062,-0.000764,-0.001055,-0.02386,-0.04135,-0.432937,-0.031297,-0.004557,0.111331,-0.054446,-0.014364,-0.035681,-0.017843,0.081661,0.040283,-0.148049,-0.00437,-0.017216,3.625,0.028113,0.137426,0.52728
8,-3.353502,179.399994,0.111436,0.115526,5.541667,0.0,0.767386,50214.0,0.090511,0.31466,0.015547,0.077984,-0.014029,0.043773,6.529283,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083885,-0.000803,-0.001166,-0.027155,-0.043944,-0.439638,-0.033057,-0.004913,0.119698,-0.057619,-0.015508,-0.03811,-0.018518,0.09813,0.044428,-0.151001,-0.005905,-0.020681,2.958333,0.030525,0.14779,0.550899
9,-3.341047,206.130005,0.13446,0.136804,4.708333,0.0,0.746213,42031.0,0.106282,0.352539,0.01778,0.085496,-0.015246,0.04673,6.511225,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095841,-0.000905,-0.001312,-0.023638,-0.047331,-0.489449,-0.037115,-0.005595,0.135279,-0.063534,-0.017513,-0.043859,-0.020208,0.106703,0.050723,-0.168348,-0.006578,-0.026525,3.375,0.026782,0.129444,0.491403
10,-2.980227,221.399994,0.144481,0.155138,5.291667,0.0,0.731405,38236.0,0.119384,0.401599,0.019684,0.098606,-0.017083,0.048206,6.48334,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.107557,-0.001017,-0.001408,-0.022742,-0.057143,-0.528235,-0.040596,-0.006216,0.15672,-0.06976,-0.019492,-0.048833,-0.024704,0.110533,0.058765,-0.182179,-0.005666,-0.024818,3.875,0.030045,0.139265,0.498546
11,-2.535521,239.800003,0.148335,0.164025,4.875,0.0,0.718774,45765.0,0.120727,0.409533,0.020641,0.100808,-0.01725,0.053741,6.466094,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.111546,-0.001046,-0.001653,-0.021752,-0.057882,-0.528729,-0.040979,-0.006347,0.163097,-0.071107,-0.019637,-0.048114,-0.024923,0.125455,0.06177,-0.182536,-0.008779,-0.03716,4.125,0.030312,0.143825,0.480185
12,-1.714496,244.75,0.168138,0.184428,4.166667,0.0,0.706072,67549.0,0.139345,0.453086,0.026155,0.125332,-0.021409,0.066685,6.47909,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.12597,-0.001167,-0.001875,-0.023007,-0.070276,-0.574059,-0.045642,-0.006995,0.196382,-0.077331,-0.022284,-0.054312,-0.03065,0.128216,0.073903,-0.198951,-0.012664,-0.056194,3.416667,0.028804,0.146271,0.48297
13,-0.527873,227.550003,0.15926,0.172283,4.375,0.0,0.694878,65737.0,0.127047,0.422859,0.022738,0.107343,-0.018556,0.06155,6.469687,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.119173,-0.001093,-0.001673,-0.023867,-0.061592,-0.524171,-0.041839,-0.006581,0.177432,-0.071297,-0.020923,-0.04975,-0.027311,0.135952,0.074184,-0.182054,-0.011436,-0.045002,3.458333,0.030848,0.135199,0.533657
14,-1.608178,294.799988,0.187935,0.216028,2.666667,0.0,0.684547,66178.0,0.160278,0.5324,0.026749,0.13589,-0.022318,0.066744,6.448145,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.148923,-0.001375,-0.0021,-0.019214,-0.079273,-0.644844,-0.050496,-0.00828,0.22316,-0.086169,-0.024629,-0.061326,-0.034864,0.156239,0.09452,-0.224105,-0.016845,-0.063256,2.958333,0.030248,0.146706,0.420817
15,-0.306102,304.25,0.211912,0.224082,3.458333,0.0,0.674174,67865.0,0.16524,0.549692,0.032795,0.14719,-0.025422,0.086145,6.432121,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.1534,-0.00138,-0.002226,-0.021355,-0.083158,-0.647028,-0.053924,-0.008567,0.239287,-0.091128,-0.027195,-0.065826,-0.036602,0.170422,0.092141,-0.225108,-0.023297,-0.080443,3.083333,0.028675,0.14226,0.455007
16,0.624524,324.619995,0.224103,0.242219,3.0,0.0,0.665734,69137.0,0.174457,0.575057,0.030074,0.141739,-0.023631,0.07254,6.435647,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.163438,-0.001485,-0.00235,-0.020179,-0.081702,-0.667516,-0.055563,-0.009021,0.24001,-0.091841,-0.027655,-0.067209,-0.036378,0.174995,0.104069,-0.232515,-0.014158,-0.057277,2.666667,0.029626,0.135281,0.420046
17,1.267926,348.100006,0.239401,0.260631,2.166667,0.0,0.656937,68295.0,0.174981,0.623537,0.03272,0.151026,-0.025553,0.097351,6.441867,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.173628,-0.001545,-0.002437,-0.015956,-0.085291,-0.690119,-0.059121,-0.009519,0.257365,-0.099142,-0.030301,-0.072281,-0.037203,0.22422,0.10972,-0.240964,-0.020707,-0.089426,3.375,0.029166,0.14966,0.377609
18,0.752828,365.679993,0.240935,0.281468,2.041667,0.0,0.649962,66560.0,0.191206,0.67508,0.03612,0.162681,-0.02756,0.093975,6.419762,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.187033,-0.00168,-0.003047,-0.015973,-0.093498,-0.733022,-0.062281,-0.010047,0.277614,-0.104169,-0.031148,-0.07614,-0.041384,0.236185,0.121533,-0.256452,-0.021448,-0.074939,2.916667,0.029301,0.136641,0.390854
19,3.388929,416.290009,0.275933,0.307176,1.869565,0.0,0.643258,64816.0,0.209581,0.727441,0.037988,0.174835,-0.028855,0.1062,6.419527,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.203614,-0.001836,-0.003169,-0.015884,-0.101301,-0.76962,-0.067377,-0.011098,0.299971,-0.111059,-0.034064,-0.081528,-0.045004,0.256319,0.134992,-0.269696,-0.019449,-0.086029,3.26087,0.029938,0.132852,0.349048
20,3.282389,432.559998,0.277139,0.30935,1.625,0.0,0.635085,63228.0,0.219763,0.707071,0.03913,0.184417,-0.030097,0.108729,6.425934,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.207964,-0.001845,-0.003155,-0.0175,-0.10761,-0.774186,-0.066545,-0.010897,0.314246,-0.112135,-0.034535,-0.082004,-0.048902,0.250274,0.14184,-0.271477,-0.017395,-0.102075,2.166667,0.028434,0.144616,0.378568
21,3.786462,459.390015,0.306442,0.344599,1.521739,0.0,0.627508,63553.0,0.239798,0.777527,0.042592,0.199586,-0.033115,0.117715,6.375784,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.228597,-0.002005,-0.003321,-0.013648,-0.115153,-0.829624,-0.073543,-0.01238,0.343231,-0.121312,-0.037979,-0.089189,-0.051067,0.280455,0.162716,-0.291692,-0.036982,-0.127274,2.956522,0.029285,0.122872,0.294657
22,5.037913,497.779999,0.35096,0.383072,0.708333,0.0,0.622457,65311.0,0.253257,0.878562,0.045395,0.213021,-0.034987,0.128109,6.398736,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.25153,-0.00223,-0.00398,-0.008046,-0.127942,-0.903581,-0.080275,-0.013497,0.376016,-0.130979,-0.040829,-0.098684,-0.05691,0.31695,0.175346,-0.318368,-0.027634,-0.105475,3.041667,0.026386,0.130346,0.263556
23,6.264033,516.789978,0.348408,0.39198,0.782609,0.0,0.615413,66622.0,0.263632,0.860261,0.050903,0.224546,-0.03658,0.122757,6.379036,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.254347,-0.002239,-0.003959,-0.009768,-0.12517,-0.893427,-0.080061,-0.013322,0.3846,-0.130877,-0.041027,-0.096491,-0.057304,0.300935,0.184148,-0.315057,-0.029376,-0.167082,2.695652,0.027981,0.108529,0.248125
24,6.303187,512.719971,0.352008,0.406522,0.73913,0.0,0.608811,68998.0,0.260442,0.935959,0.052597,0.219628,-0.036214,0.138378,6.39067,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.261908,-0.002228,-0.003869,-0.008942,-0.122415,-0.918018,-0.079721,-0.013668,0.39363,-0.133687,-0.043711,-0.097219,-0.054508,0.349205,0.184249,-0.323578,-0.025479,-0.138153,2.521739,0.030001,0.148759,0.271118
25,7.32321,537.320007,0.368936,0.425901,0.608696,0.0,0.602398,68909.0,0.275746,0.96153,0.051186,0.237144,-0.037851,0.14546,6.379025,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.282689,-0.002495,-0.004529,-0.005598,-0.138754,-0.964728,-0.087085,-0.014949,0.418911,-0.144307,-0.045637,-0.106415,-0.062101,0.394235,0.211494,-0.340506,-0.038708,-0.179054,3.217391,0.030205,0.130997,0.196909
