iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.699325,14.79,0.008823,0.008742,0.826087,36.56522,0.977024,45032.0,0.006486,0.02065,0.000658,0.005754,-0.001288,0.003651,7.336715,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005984,-6e-05,-2.8e-05,-0.01029,-0.004281,-0.04111,-0.002768,-0.000402,0.009257,-0.004546,-0.00121,-0.003603,-0.001616,0.008481,0.003076,-0.014231,-1.2e-05,-4.2e-05,3.652174,0.051826,0.131889,0.235265
1,-2.171351,41.060001,0.022573,0.02068,7.958333,0.0,0.950293,66650.0,0.02014,0.061701,0.003701,0.017378,-0.003721,0.008917,6.859087,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016486,-0.000169,-0.000216,-0.026027,-0.010037,-0.116192,-0.007417,-0.000922,0.023651,-0.013888,-0.003275,-0.008079,-0.003965,0.017133,0.007651,-0.039425,-0.000153,-0.000714,4.125,0.032746,0.141414,0.567456
2,-2.843215,61.959999,0.036561,0.035449,9.75,0.0,0.921465,66576.0,0.029677,0.099009,0.005559,0.025297,-0.00517,0.014788,6.881278,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02681,-0.000269,-0.000334,-0.029137,-0.014332,-0.182371,-0.011589,-0.001536,0.036149,-0.020598,-0.005291,-0.012713,-0.005631,0.030864,0.013168,-0.061644,-0.000518,-0.002249,3.791667,0.030771,0.137207,0.603384
3,-3.23801,81.459999,0.048655,0.048539,8.916667,0.0,0.895848,67263.0,0.040177,0.135751,0.00762,0.035394,-0.006961,0.019432,6.848747,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036262,-0.000362,-0.000478,-0.027687,-0.020643,-0.236354,-0.015708,-0.002115,0.051201,-0.027316,-0.007124,-0.017359,-0.008556,0.041098,0.017762,-0.079963,-0.000922,-0.004057,4.083333,0.031526,0.125896,0.602012
4,-3.303259,101.629997,0.059948,0.061334,7.375,0.041667,0.868163,67164.0,0.050215,0.163852,0.009139,0.044124,-0.008144,0.024142,6.848581,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045465,-0.000448,-0.000595,-0.027051,-0.025203,-0.280858,-0.019135,-0.002634,0.063748,-0.033022,-0.008875,-0.021437,-0.010437,0.051223,0.024272,-0.095551,-0.001675,-0.005937,3.541667,0.032277,0.132211,0.596664
5,-3.505902,118.839996,0.078053,0.077534,8.333334,0.0,0.842701,65305.0,0.062639,0.212565,0.011206,0.054685,-0.01017,0.030259,6.810623,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056271,-0.000546,-0.000795,-0.027347,-0.031848,-0.334782,-0.02319,-0.00336,0.080779,-0.039878,-0.010916,-0.026709,-0.012873,0.06116,0.028952,-0.11412,-0.002212,-0.008504,3.625,0.027926,0.133079,0.586935
6,-3.311554,125.830002,0.083197,0.088659,7.916667,0.0,0.815535,65777.0,0.069152,0.237652,0.012699,0.06247,-0.011441,0.033998,6.789057,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.063858,-0.000619,-0.000857,-0.029003,-0.037043,-0.367198,-0.025938,-0.003749,0.092579,-0.044725,-0.012079,-0.029895,-0.015445,0.07187,0.033038,-0.125265,-0.003175,-0.016839,3.083333,0.030828,0.133865,0.603822
7,-3.350108,142.119995,0.095597,0.104131,7.5,0.0,0.792678,65175.0,0.082738,0.274285,0.014444,0.069648,-0.012661,0.033765,6.751804,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072639,-0.000706,-0.001131,-0.027027,-0.040843,-0.398444,-0.029379,-0.004185,0.104231,-0.051158,-0.013974,-0.033717,-0.017576,0.076867,0.03687,-0.136627,-0.004128,-0.016329,3.666667,0.030234,0.137657,0.542099
8,-3.340392,170.020004,0.10384,0.117612,5.833333,0.0,0.771097,58084.0,0.091941,0.305734,0.015657,0.079192,-0.013786,0.040991,6.744854,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083416,-0.000804,-0.001169,-0.026703,-0.04757,-0.440285,-0.032368,-0.004863,0.120174,-0.055144,-0.015294,-0.037308,-0.020195,0.090011,0.045404,-0.151095,-0.005594,-0.019301,2.916667,0.031854,0.140525,0.584918
9,-2.998619,187.960007,0.126755,0.133387,6.375,0.0,0.753105,46066.0,0.100935,0.344425,0.017273,0.085566,-0.015016,0.049243,6.701733,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.093495,-0.000884,-0.001322,-0.025415,-0.050212,-0.47571,-0.036185,-0.005406,0.13322,-0.062292,-0.017527,-0.042521,-0.021277,0.103771,0.050954,-0.16368,-0.006765,-0.027314,3.25,0.027878,0.136435,0.534976
