iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.858981,16.57,0.008655,0.008417,1.304348,36.56522,0.977,44691.0,0.00659,0.020743,0.00069,0.005698,-0.001341,0.003338,7.278442,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005882,-5.9e-05,-3e-05,-0.012489,-0.004046,-0.040659,-0.002751,-0.000375,0.009074,-0.005082,-0.00126,-0.003445,-0.001488,0.007706,0.002952,-0.014088,-1.4e-05,-4.6e-05,3.652174,0.051051,0.128051,0.272377
1,-2.22056,41.09,0.022472,0.019278,13.333334,0.0,0.9488,61949.0,0.019592,0.059863,0.004053,0.01651,-0.003831,0.008735,6.823206,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015786,-0.00016,-0.000179,-0.030784,-0.00921,-0.111142,-0.007177,-0.000847,0.022765,-0.014117,-0.003357,-0.007505,-0.003609,0.016628,0.006905,-0.037796,-0.000202,-0.000734,4.041667,0.031611,0.131,0.64574
2,-2.730782,58.639999,0.037252,0.03361,13.375,0.0,0.920323,62262.0,0.029948,0.098097,0.005988,0.026352,-0.005543,0.01473,6.851134,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026098,-0.00026,-0.000325,-0.031483,-0.014635,-0.175778,-0.011545,-0.00148,0.037134,-0.020634,-0.005364,-0.012868,-0.005855,0.028541,0.012695,-0.059557,-0.000476,-0.002069,3.791667,0.028385,0.137515,0.642803
3,-3.007503,78.790001,0.049682,0.046821,12.666667,0.0,0.890582,61339.0,0.039395,0.131489,0.007869,0.035446,-0.00696,0.019758,6.812205,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035454,-0.000351,-0.00044,-0.0308,-0.020265,-0.229741,-0.015294,-0.002038,0.050935,-0.026706,-0.007159,-0.016689,-0.008219,0.040456,0.017694,-0.077848,-0.000924,-0.004347,3.666667,0.028662,0.132282,0.646264
4,-3.142045,93.07,0.061244,0.059932,11.0,0.0,0.873872,59713.0,0.050488,0.168098,0.009982,0.04458,-0.008699,0.024813,6.777554,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045063,-0.000441,-0.000578,-0.029686,-0.025522,-0.279656,-0.019129,-0.002595,0.065601,-0.032959,-0.009004,-0.02118,-0.010763,0.049557,0.022522,-0.094998,-0.001842,-0.005946,3.75,0.029451,0.13643,0.617919
5,-3.396363,109.559998,0.070065,0.071973,10.125,0.0,0.849057,62104.0,0.056136,0.195088,0.009403,0.04654,-0.008599,0.025883,6.752109,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.051935,-0.000506,-0.000745,-0.028795,-0.02678,-0.310211,-0.021518,-0.003083,0.07023,-0.036817,-0.010304,-0.024715,-0.011107,0.060306,0.027049,-0.105662,-0.002121,-0.007905,3.833333,0.029575,0.13616,0.609651
6,-3.353552,124.709999,0.079259,0.08403,9.916667,0.0,0.828946,62072.0,0.066358,0.229888,0.012843,0.056818,-0.010745,0.031322,6.734649,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.061138,-0.000586,-0.00087,-0.030603,-0.032435,-0.350208,-0.024834,-0.003539,0.086732,-0.042817,-0.011604,-0.028362,-0.014025,0.070381,0.030839,-0.119505,-0.002344,-0.010274,3.041667,0.031287,0.144859,0.62362
7,-3.117908,140.960007,0.093949,0.098504,9.416667,0.0,0.807035,61585.0,0.07696,0.259101,0.014107,0.06739,-0.012207,0.036847,6.726038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.070662,-0.000687,-0.001076,-0.029485,-0.03939,-0.389724,-0.028859,-0.004171,0.101566,-0.04837,-0.013393,-0.033327,-0.016776,0.081025,0.037708,-0.13333,-0.003771,-0.016811,3.291667,0.028082,0.151124,0.616996
8,-3.420931,178.910004,0.107168,0.10909,7.791667,0.0,0.788035,57209.0,0.084673,0.300062,0.016366,0.075267,-0.01361,0.045113,6.696296,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.080695,-0.000771,-0.001115,-0.030117,-0.04378,-0.42904,-0.031846,-0.004635,0.115546,-0.054698,-0.015312,-0.037017,-0.018624,0.102334,0.042243,-0.147215,-0.006313,-0.025374,2.583333,0.029806,0.157225,0.638181
9,-3.302202,174.020004,0.109091,0.115667,8.541667,0.0,0.764337,47225.0,0.087122,0.301613,0.015945,0.070701,-0.013096,0.038982,6.686755,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082095,-0.00077,-0.001129,-0.030357,-0.042207,-0.415423,-0.031809,-0.004733,0.115025,-0.054232,-0.015482,-0.037064,-0.018273,0.093675,0.044386,-0.143234,-0.004877,-0.024587,2.791667,0.029249,0.139953,0.616085
10,-2.563844,196.300003,0.123922,0.12968,7.958333,0.0,0.746238,37470.0,0.103294,0.346948,0.019004,0.087113,-0.01565,0.045456,6.651119,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.092824,-0.000866,-0.001304,-0.029278,-0.051327,-0.454492,-0.034739,-0.005281,0.136692,-0.059267,-0.016947,-0.041099,-0.022229,0.097486,0.050257,-0.156911,-0.005639,-0.021093,2.916667,0.028224,0.148425,0.594131
11,-1.912155,223.160004,0.142264,0.149733,6.041667,0.0,0.730817,42988.0,0.110428,0.387949,0.02133,0.097562,-0.017073,0.054452,6.625925,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.106536,-0.000993,-0.001652,-0.026326,-0.058148,-0.503959,-0.03921,-0.006038,0.15533,-0.066075,-0.019325,-0.046694,-0.025497,0.13149,0.062109,-0.174377,-0.009714,-0.035868,3.208333,0.028006,0.139783,0.535693
12,-1.96127,218.759995,0.14777,0.153536,5.708333,0.0,0.717823,53858.0,0.118087,0.397059,0.023345,0.103448,-0.01843,0.056049,6.618755,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.108237,-0.000995,-0.001458,-0.027406,-0.059653,-0.498082,-0.040101,-0.006096,0.162665,-0.068646,-0.019806,-0.047608,-0.026286,0.12066,0.060191,-0.172584,-0.011935,-0.039492,2.958333,0.028968,0.157964,0.55901
13,-0.759585,251.509995,0.158171,0.172927,5.333333,0.0,0.706518,61109.0,0.126178,0.428233,0.023589,0.107565,-0.018783,0.063058,6.611951,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.120924,-0.001112,-0.001745,-0.025501,-0.062646,-0.531616,-0.044101,-0.006806,0.174486,-0.073228,-0.022472,-0.05196,-0.027481,0.149409,0.074638,-0.184713,-0.013364,-0.038377,3.0,0.029614,0.142418,0.547045
14,-0.589182,261.160004,0.182033,0.183577,4.458333,0.0,0.695196,58279.0,0.139356,0.460154,0.027082,0.121792,-0.021006,0.065219,6.578182,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.129325,-0.001172,-0.001953,-0.024478,-0.070369,-0.554537,-0.045383,-0.007176,0.194295,-0.076837,-0.023235,-0.054389,-0.030995,0.147618,0.079552,-0.193024,-0.015074,-0.047413,2.666667,0.025947,0.136632,0.519773
15,-0.830123,295.920013,0.195862,0.207158,4.75,0.0,0.684793,63573.0,0.157904,0.507573,0.0294,0.132884,-0.023019,0.073118,6.59087,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.14483,-0.00131,-0.002109,-0.025404,-0.077645,-0.611807,-0.050831,-0.008052,0.215478,-0.08423,-0.025946,-0.060963,-0.033989,0.168386,0.092066,-0.21341,-0.015385,-0.062063,2.708333,0.027957,0.13977,0.521129
16,0.203364,281.670013,0.180158,0.194768,5.25,0.0,0.675437,66316.0,0.129545,0.461257,0.02669,0.113871,-0.020062,0.068667,6.565677,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.13334,-0.001202,-0.001834,-0.027785,-0.066405,-0.540226,-0.04615,-0.007268,0.190833,-0.075802,-0.023311,-0.055126,-0.029539,0.184941,0.086593,-0.188932,-0.012097,-0.057203,2.083333,0.030546,0.149533,0.548591
