iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.767093,15.4,0.008768,0.008736,0.913043,36.56522,0.977016,37998.0,0.006719,0.021382,0.000648,0.005728,-0.001346,0.003534,7.253603,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006024,-6e-05,-4.6e-05,-0.010688,-0.004221,-0.041464,-0.002697,-0.000391,0.009335,-0.004882,-0.001218,-0.003579,-0.001638,0.008172,0.003031,-0.014372,-1.3e-05,-3.9e-05,3.652174,0.051701,0.1322,0.243807
1,-2.108205,41.360001,0.023456,0.020964,6.75,0.0,0.948834,62039.0,0.020218,0.06358,0.003676,0.017445,-0.003785,0.009236,6.778602,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.01678,-0.000169,-0.000202,-0.024892,-0.009905,-0.116799,-0.00762,-0.000944,0.024339,-0.014367,-0.003329,-0.008524,-0.003846,0.017768,0.007851,-0.039794,-0.000199,-0.000918,4.125,0.032328,0.129232,0.567297
2,-2.775116,61.310001,0.037841,0.03515,8.375,0.0,0.92079,64415.0,0.030394,0.099491,0.005831,0.025858,-0.005432,0.014184,6.809671,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026505,-0.000263,-0.000382,-0.02768,-0.014326,-0.17863,-0.01167,-0.001506,0.03695,-0.020586,-0.005303,-0.013073,-0.005749,0.028661,0.013028,-0.060585,-0.000512,-0.002454,3.791667,0.02847,0.14222,0.583713
3,-3.0706,78.989998,0.051371,0.050251,8.875,0.0,0.893728,64917.0,0.042562,0.13938,0.00776,0.035155,-0.007095,0.018383,6.782528,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036902,-0.000365,-0.00056,-0.027667,-0.019685,-0.240257,-0.016321,-0.002149,0.051791,-0.02872,-0.00726,-0.018016,-0.008027,0.038842,0.016827,-0.081404,-0.000934,-0.004126,3.916667,0.028898,0.135778,0.579233
4,-3.217253,96.809998,0.062777,0.061813,9.041667,0.0,0.867893,63732.0,0.050075,0.169068,0.009482,0.044226,-0.008493,0.025315,6.770894,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.04524,-0.000442,-0.000615,-0.028378,-0.025167,-0.280645,-0.019254,-0.002653,0.065419,-0.033355,-0.008641,-0.021621,-0.010285,0.049417,0.023414,-0.095326,-0.001656,-0.006467,3.791667,0.029508,0.136542,0.598274
5,-3.690053,125.739998,0.072714,0.076583,7.791667,0.0,0.841519,62044.0,0.059239,0.206424,0.010297,0.051019,-0.009416,0.030538,6.733004,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.054906,-0.000533,-0.000823,-0.025454,-0.03027,-0.328436,-0.022636,-0.003272,0.077868,-0.039366,-0.010182,-0.025705,-0.012464,0.065329,0.028245,-0.111808,-0.001938,-0.0078,4.25,0.029382,0.132498,0.553155
6,-3.398604,133.009995,0.081328,0.088975,6.75,0.0,0.814917,62529.0,0.068795,0.232138,0.012341,0.059595,-0.011035,0.033068,6.713207,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.062376,-0.0006,-0.000914,-0.027294,-0.03451,-0.360416,-0.025571,-0.00366,0.090287,-0.043433,-0.011673,-0.029,-0.014525,0.067006,0.032594,-0.122988,-0.003071,-0.014308,3.375,0.030455,0.128802,0.563878
7,-3.178436,140.300003,0.095471,0.104519,6.625,0.0,0.789802,61336.0,0.079526,0.272737,0.013503,0.069788,-0.012484,0.03902,6.679273,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.073841,-0.000717,-0.001277,-0.025609,-0.041184,-0.404787,-0.029752,-0.004336,0.105561,-0.050548,-0.013422,-0.03465,-0.017626,0.085285,0.039166,-0.138663,-0.004423,-0.018915,3.625,0.031068,0.143873,0.539222
8,-3.356626,172.330002,0.105252,0.113151,6.583333,0.0,0.771761,51826.0,0.0872,0.296021,0.016126,0.079057,-0.013884,0.044817,6.665024,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.080246,-0.000774,-0.001233,-0.027588,-0.047282,-0.420022,-0.03199,-0.004735,0.120265,-0.05396,-0.014128,-0.036807,-0.019973,0.092335,0.042259,-0.144314,-0.005434,-0.019787,3.0,0.030348,0.138193,0.580277
9,-3.18129,192.75,0.123374,0.131946,6.0,0.0,0.757859,41471.0,0.100184,0.347045,0.018122,0.086141,-0.015467,0.048422,6.653112,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.093553,-0.000883,-0.001325,-0.02589,-0.050052,-0.477418,-0.036627,-0.005396,0.135384,-0.061642,-0.017097,-0.042664,-0.021451,0.105694,0.051043,-0.164096,-0.007194,-0.026398,3.208333,0.030544,0.135893,0.522652
