iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.675911,13.8,0.008902,0.008996,0.521739,36.56522,0.976874,43219.0,0.006851,0.021556,0.000549,0.005689,-0.001271,0.003218,7.273286,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006104,-6.1e-05,-3.3e-05,-0.009354,-0.004258,-0.042374,-0.002771,-0.00042,0.009354,-0.004709,-0.001241,-0.003679,-0.001624,0.008398,0.003106,-0.014643,-1.2e-05,-2.5e-05,3.652174,0.051979,0.133347,0.225159
1,-2.16139,43.16,0.023701,0.020821,7.291667,0.0,0.948498,65499.0,0.020334,0.06336,0.003752,0.017104,-0.003814,0.008973,6.798036,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016756,-0.000168,-0.000207,-0.025678,-0.009708,-0.117484,-0.007492,-0.000933,0.024036,-0.014449,-0.003374,-0.00829,-0.003837,0.018359,0.007895,-0.039995,-0.00018,-0.000776,4.125,0.030483,0.132931,0.582852
2,-2.646881,62.509998,0.037973,0.036027,8.083334,0.0,0.919144,64240.0,0.030475,0.102391,0.005529,0.026324,-0.005269,0.014464,6.835769,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02684,-0.000268,-0.000362,-0.026644,-0.014645,-0.180712,-0.011693,-0.001545,0.037485,-0.020739,-0.005281,-0.013021,-0.005757,0.029591,0.012678,-0.061231,-0.000462,-0.002347,3.875,0.03043,0.139818,0.57176
3,-3.201207,81.720001,0.049913,0.049136,8.375,0.0,0.891228,65210.0,0.041441,0.138319,0.007392,0.034887,-0.006909,0.018756,6.796045,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036556,-0.000362,-0.000417,-0.027116,-0.020028,-0.237048,-0.015759,-0.002128,0.051302,-0.027633,-0.007013,-0.017889,-0.008176,0.038184,0.017718,-0.080247,-0.001003,-0.003988,4.041667,0.031405,0.135765,0.59785
4,-3.096816,99.160004,0.063058,0.062526,8.833334,0.0,0.869509,65309.0,0.052497,0.173605,0.009425,0.046714,-0.00884,0.025248,6.783698,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045694,-0.000449,-0.000608,-0.027754,-0.02721,-0.285606,-0.019273,-0.002705,0.068059,-0.033757,-0.008727,-0.021884,-0.010913,0.047573,0.021968,-0.096926,-0.001668,-0.00565,3.75,0.029756,0.132462,0.582582
5,-3.70697,125.839996,0.079775,0.081298,7.583333,0.0,0.846021,63608.0,0.065007,0.220522,0.011622,0.055715,-0.010387,0.030519,6.756969,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058145,-0.000566,-0.000779,-0.026484,-0.032373,-0.347649,-0.024066,-0.003435,0.083705,-0.041798,-0.010739,-0.027008,-0.013255,0.063519,0.028842,-0.118369,-0.002288,-0.009446,3.916667,0.028429,0.131568,0.556302
6,-3.180651,134.199997,0.085347,0.090274,7.916667,0.0,0.824272,63916.0,0.069391,0.240331,0.0128,0.063463,-0.011438,0.036865,6.739742,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064342,-0.000622,-0.000838,-0.028329,-0.03719,-0.370258,-0.025968,-0.003779,0.095194,-0.044581,-0.012018,-0.029908,-0.015403,0.074095,0.033137,-0.126247,-0.003665,-0.015497,3.375,0.030096,0.146174,0.586676
7,-3.479768,159.649994,0.100146,0.106438,6.875,0.0,0.800066,63321.0,0.083893,0.277174,0.015261,0.0722,-0.013215,0.036774,6.729836,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.074353,-0.000715,-0.001046,-0.026084,-0.040928,-0.410527,-0.030023,-0.004373,0.108908,-0.05152,-0.013704,-0.034865,-0.017333,0.076422,0.037784,-0.140448,-0.003892,-0.017105,3.708333,0.029178,0.136324,0.559284
8,-3.368246,171.729996,0.109478,0.115101,6.916667,0.0,0.776251,57066.0,0.089224,0.300591,0.016712,0.079841,-0.014351,0.046689,6.691347,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083015,-0.000797,-0.001223,-0.028969,-0.046074,-0.44027,-0.032589,-0.004794,0.121859,-0.055567,-0.015098,-0.037761,-0.019642,0.098531,0.046188,-0.151109,-0.005751,-0.025302,2.666667,0.02787,0.150015,0.590261
9,-3.47681,200.309998,0.124875,0.139365,5.458333,0.0,0.756656,45152.0,0.1047,0.354473,0.017696,0.086385,-0.015131,0.050345,6.677623,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.096849,-0.000915,-0.001469,-0.024625,-0.04997,-0.496342,-0.03705,-0.005635,0.136571,-0.063532,-0.018017,-0.044442,-0.020923,0.112709,0.053887,-0.170628,-0.005369,-0.023344,3.25,0.031185,0.131923,0.519077
