iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.854608,16.700001,0.008762,0.008517,1.26087,36.56522,0.976961,37496.0,0.006848,0.021106,0.000697,0.005833,-0.001306,0.003257,7.121153,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006006,-6.1e-05,-3.1e-05,-0.012181,-0.003965,-0.041423,-0.002712,-0.000382,0.009178,-0.004845,-0.001279,-0.003347,-0.001547,0.007901,0.003204,-0.014359,-1.5e-05,-4.8e-05,3.652174,0.051859,0.131066,0.265656
1,-2.193069,42.27,0.022763,0.01991,12.416667,0.041667,0.948972,61618.0,0.019172,0.060448,0.004045,0.017475,-0.003816,0.00982,6.684875,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016453,-0.000168,-0.000261,-0.03021,-0.009545,-0.115117,-0.007186,-0.000891,0.023561,-0.014129,-0.003405,-0.007693,-0.003872,0.018955,0.007785,-0.039101,-0.000158,-0.000745,4.0,0.034158,0.136896,0.640742
2,-2.616934,58.939999,0.035967,0.031826,16.291668,0.0,0.920656,61018.0,0.029412,0.09472,0.005849,0.025566,-0.005245,0.013997,6.695813,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.025636,-0.000259,-0.000421,-0.032521,-0.01363,-0.173245,-0.011088,-0.00141,0.035451,-0.019648,-0.005302,-0.011922,-0.005756,0.027869,0.013178,-0.058709,-0.00043,-0.002023,3.583333,0.030479,0.130972,0.679495
3,-2.742086,70.660004,0.047424,0.047041,13.333334,0.0,0.892869,58064.0,0.038609,0.130795,0.007788,0.033423,-0.006667,0.019024,6.686639,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035347,-0.000354,-0.00054,-0.031708,-0.018083,-0.228352,-0.015058,-0.001971,0.048397,-0.026485,-0.007088,-0.015841,-0.007887,0.042797,0.018565,-0.077439,-0.000906,-0.00373,3.625,0.032085,0.131996,0.643771
4,-3.18583,93.25,0.057845,0.058875,12.958334,0.0,0.864782,59728.0,0.04957,0.160823,0.009404,0.043805,-0.008299,0.022686,6.639036,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.044162,-0.000438,-0.00061,-0.031431,-0.024589,-0.275773,-0.018145,-0.002521,0.063614,-0.0315,-0.008688,-0.019996,-0.010503,0.049153,0.024106,-0.093639,-0.001483,-0.005556,3.458333,0.031082,0.13185,0.647715
5,-3.166983,105.639999,0.067764,0.068096,10.583334,0.0,0.843627,62651.0,0.055736,0.184769,0.010337,0.04822,-0.00906,0.025699,6.618633,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.050356,-0.000494,-0.000686,-0.030055,-0.02728,-0.298091,-0.020345,-0.002876,0.072134,-0.034879,-0.009973,-0.022534,-0.01189,0.057104,0.027577,-0.101577,-0.001404,-0.007619,3.5,0.030509,0.136324,0.624697
6,-2.898963,127.339996,0.077137,0.083992,10.0,0.0,0.818147,62456.0,0.066645,0.223521,0.012849,0.059364,-0.010875,0.033871,6.592293,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.060904,-0.000594,-0.000862,-0.0306,-0.033625,-0.348608,-0.024189,-0.003462,0.089076,-0.041354,-0.011758,-0.02686,-0.014839,0.070314,0.033161,-0.11888,-0.0027,-0.010612,3.041667,0.031366,0.129423,0.613406
7,-2.907666,153.940002,0.094748,0.098711,9.5,0.0,0.792695,61611.0,0.075668,0.253361,0.014993,0.068244,-0.012255,0.040205,6.573351,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.069826,-0.000675,-0.000979,-0.029574,-0.0378,-0.381636,-0.027791,-0.003967,0.101722,-0.047389,-0.013616,-0.030594,-0.016765,0.080007,0.038932,-0.130785,-0.003793,-0.015547,3.25,0.029669,0.139583,0.598135
8,-3.073106,161.779999,0.09905,0.106817,7.916667,0.0,0.770151,54969.0,0.08248,0.275492,0.014857,0.069583,-0.012783,0.038231,6.551122,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076793,-0.000738,-0.001107,-0.030411,-0.041419,-0.403286,-0.029223,-0.004275,0.110441,-0.04947,-0.01467,-0.032768,-0.018257,0.093763,0.044848,-0.138384,-0.003507,-0.017153,2.666667,0.031578,0.137922,0.632938
9,-2.314576,150.029999,0.103249,0.114273,7.791667,0.0,0.753494,41102.0,0.082992,0.288864,0.015216,0.07102,-0.012547,0.041551,6.514532,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.079651,-0.000759,-0.001272,-0.028829,-0.0405,-0.399736,-0.029804,-0.004447,0.111856,-0.050388,-0.014622,-0.034051,-0.018098,0.097625,0.046981,-0.137629,-0.003907,-0.019591,2.833333,0.030491,0.138472,0.592702
10,-2.287176,194.139999,0.121027,0.134254,6.791667,0.0,0.740974,37223.0,0.102363,0.338313,0.018045,0.086871,-0.014922,0.044729,6.524652,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095042,-0.000903,-0.001308,-0.026152,-0.050233,-0.463977,-0.035352,-0.005296,0.137355,-0.058603,-0.0175,-0.040118,-0.022161,0.103397,0.059396,-0.160081,-0.006417,-0.021027,3.458333,0.032015,0.118881,0.561457
11,-1.292393,216.649994,0.132602,0.14982,5.541667,0.0,0.726738,43771.0,0.108517,0.364125,0.019914,0.093193,-0.016123,0.05142,6.504823,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.10454,-0.000987,-0.001413,-0.025995,-0.055095,-0.487733,-0.037491,-0.005826,0.150794,-0.061824,-0.018623,-0.042861,-0.024381,0.131544,0.068505,-0.168594,-0.006796,-0.027786,3.125,0.033545,0.136268,0.524473
12,-1.587845,224.529999,0.135874,0.161584,4.666667,0.0,0.714437,62734.0,0.120384,0.401627,0.024169,0.107863,-0.018565,0.060362,6.490038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114377,-0.001068,-0.001624,-0.023547,-0.062947,-0.521876,-0.040905,-0.006215,0.174427,-0.065888,-0.020648,-0.045647,-0.028135,0.134597,0.074107,-0.180562,-0.008849,-0.043511,3.416667,0.034376,0.139362,0.49257
13,-0.362267,223.940002,0.149523,0.1679,4.625,0.0,0.702676,63586.0,0.118794,0.401949,0.021048,0.101656,-0.016814,0.056656,6.48402,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114776,-0.001078,-0.001675,-0.025294,-0.058995,-0.505553,-0.040135,-0.006272,0.165822,-0.065496,-0.020503,-0.046422,-0.026238,0.142629,0.076141,-0.175391,-0.011458,-0.03809,2.75,0.0305,0.134344,0.485222
14,-0.163569,252.309998,0.167172,0.19301,4.583333,0.0,0.693386,63545.0,0.134819,0.453264,0.025584,0.120027,-0.020071,0.065799,6.464349,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.130166,-0.001209,-0.001979,-0.026116,-0.070288,-0.556253,-0.045341,-0.007128,0.195487,-0.072989,-0.022972,-0.051349,-0.031348,0.145344,0.087015,-0.193652,-0.012203,-0.042707,2.458333,0.032355,0.13085,0.512626
15,0.242996,279.700012,0.201195,0.203456,3.958333,0.0,0.683861,65626.0,0.146463,0.491821,0.028579,0.123264,-0.021615,0.06899,6.481607,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.141898,-0.001295,-0.001922,-0.024627,-0.071383,-0.590743,-0.048666,-0.007695,0.20835,-0.079839,-0.025587,-0.056412,-0.032015,0.17084,0.094586,-0.205989,-0.015142,-0.062329,2.416667,0.028384,0.143955,0.482663
16,0.36592,281.579987,0.189829,0.201595,4.375,0.0,0.67503,65718.0,0.14649,0.483798,0.02746,0.119428,-0.020358,0.063561,6.466166,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.13847,-0.001261,-0.001897,-0.024001,-0.068873,-0.555792,-0.047768,-0.007405,0.20208,-0.078417,-0.025255,-0.054834,-0.031201,0.158262,0.092753,-0.194105,-0.019843,-0.060792,2.416667,0.031703,0.130264,0.483708
17,1.417987,337.130005,0.206926,0.240187,2.416667,0.0,0.667237,63321.0,0.177063,0.55538,0.034695,0.148363,-0.025032,0.07711,6.458355,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.166123,-0.001488,-0.002191,-0.021229,-0.085772,-0.646856,-0.054171,-0.008828,0.249256,-0.087986,-0.028921,-0.063013,-0.039829,0.192519,0.120065,-0.226931,-0.025255,-0.090492,2.416667,0.03444,0.140592,0.413672
18,2.080662,354.829987,0.21477,0.264419,2.625,0.0,0.657775,65632.0,0.180661,0.601457,0.034934,0.154652,-0.025731,0.089057,6.451487,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.176822,-0.001592,-0.002652,-0.021259,-0.0893,-0.681585,-0.057539,-0.009468,0.261101,-0.091552,-0.030611,-0.068048,-0.041255,0.217556,0.130991,-0.238832,-0.025079,-0.068919,2.25,0.035511,0.125463,0.435353
19,2.585595,354.630005,0.226403,0.242534,3.0,0.0,0.650894,68281.0,0.167213,0.54664,0.032474,0.143106,-0.0237,0.087702,6.4501,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.163966,-0.001475,-0.002772,-0.021352,-0.083551,-0.617521,-0.053284,-0.00878,0.243557,-0.084409,-0.028185,-0.062593,-0.037863,0.206451,0.123682,-0.216576,-0.027018,-0.07248,2.73913,0.031216,0.164173,0.452445
20,3.090554,382.859985,0.244592,0.27937,2.695652,0.0,0.642491,67305.0,0.191194,0.650819,0.037154,0.160928,-0.027416,0.101716,6.4569,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.189636,-0.001661,-0.002659,-0.021913,-0.095387,-0.704819,-0.060773,-0.01004,0.282615,-0.099104,-0.033585,-0.072785,-0.042851,0.244146,0.137432,-0.24754,-0.022648,-0.068452,2.086957,0.028323,0.118498,0.45233
