iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.945453,18.59,0.00911,0.00855,1.5,36.166668,0.976357,36692.0,0.006416,0.020761,0.000643,0.00475,-0.001279,0.002487,7.100049,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005912,-5.9e-05,-3.4e-05,-0.011745,-0.003742,-0.038588,-0.002646,-0.000364,0.008825,-0.005118,-0.001289,-0.003304,-0.001501,0.008144,0.002515,-0.013527,-1.8e-05,-1.5e-05,4.708333,0.04579,0.127704,0.280871
1,-2.192183,43.09,0.022094,0.019507,14.5,0.041667,0.948522,61838.0,0.018224,0.058703,0.003988,0.014814,-0.003642,0.008282,6.675363,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015972,-0.000163,-0.000211,-0.03117,-0.008693,-0.111348,-0.006976,-0.000834,0.022281,-0.013246,-0.003331,-0.00704,-0.003532,0.019183,0.00796,-0.037799,-0.000187,-0.000679,3.916667,0.032924,0.130823,0.640449
2,-2.674098,57.57,0.034655,0.031326,14.583334,0.0,0.920842,61377.0,0.027775,0.090099,0.005931,0.023596,-0.005387,0.012724,6.69485,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.025046,-0.000255,-0.000405,-0.03222,-0.014235,-0.169056,-0.01072,-0.001362,0.035913,-0.018925,-0.005016,-0.011097,-0.00588,0.029503,0.01331,-0.057315,-0.000504,-0.002045,3.583333,0.030584,0.141424,0.666742
3,-3.346861,82.510002,0.044461,0.046798,12.25,0.0,0.892079,62263.0,0.038627,0.132101,0.007831,0.032993,-0.006947,0.017692,6.670191,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.03571,-0.000359,-0.000571,-0.030741,-0.019609,-0.233254,-0.015129,-0.002012,0.05041,-0.026262,-0.007149,-0.016347,-0.008326,0.043042,0.018798,-0.079049,-0.000936,-0.003588,3.666667,0.034818,0.131374,0.633622
4,-3.104585,90.720001,0.058598,0.05846,11.291667,0.0,0.862732,61974.0,0.046588,0.156831,0.009016,0.037537,-0.008139,0.020238,6.641273,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.042707,-0.000423,-0.000625,-0.031277,-0.024068,-0.26562,-0.017657,-0.002463,0.062527,-0.030519,-0.008379,-0.019334,-0.010287,0.050539,0.023487,-0.090271,-0.001235,-0.005237,3.375,0.028794,0.134543,0.655787
5,-3.449121,112.07,0.067546,0.070483,10.291667,0.0,0.835707,61293.0,0.056731,0.19696,0.011327,0.044157,-0.009593,0.02366,6.593506,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053453,-0.000529,-0.000741,-0.030029,-0.02856,-0.317687,-0.021849,-0.003038,0.076175,-0.036921,-0.010329,-0.023934,-0.012499,0.065697,0.029001,-0.108281,-0.002398,-0.010949,3.416667,0.031385,0.137249,0.636672
6,-2.689347,130.470001,0.083093,0.08564,8.208334,0.0,0.809138,60319.0,0.063162,0.23021,0.0134,0.052051,-0.010953,0.031509,6.568614,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.062212,-0.000602,-0.000906,-0.02933,-0.032816,-0.352875,-0.024623,-0.003448,0.089217,-0.041807,-0.012061,-0.027042,-0.014305,0.082916,0.03432,-0.120455,-0.003702,-0.013087,3.125,0.028778,0.135047,0.625369
7,-3.066258,150.029999,0.094186,0.096163,8.083334,0.0,0.786509,59098.0,0.075031,0.248262,0.013431,0.05867,-0.011403,0.027792,6.543221,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.069293,-0.000673,-0.001032,-0.029005,-0.037455,-0.377994,-0.026824,-0.003897,0.099022,-0.045696,-0.013286,-0.029861,-0.016608,0.080368,0.040013,-0.129479,-0.003829,-0.013382,3.041667,0.028247,0.142148,0.61321
8,-3.41187,166.470001,0.102793,0.107482,7.458333,0.0,0.765715,50699.0,0.088422,0.275325,0.015656,0.064947,-0.0129,0.029927,6.541248,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076405,-0.000729,-0.001079,-0.028607,-0.039855,-0.399329,-0.029668,-0.004252,0.110802,-0.049886,-0.014979,-0.032801,-0.017526,0.077886,0.043855,-0.137015,-0.00401,-0.017066,2.958333,0.028662,0.155522,0.610924
9,-2.453068,185.470001,0.112418,0.124973,5.666667,0.0,0.744668,39441.0,0.086848,0.326294,0.015989,0.066499,-0.013332,0.040787,6.509553,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.088229,-0.000841,-0.001427,-0.028028,-0.042842,-0.439347,-0.033611,-0.004976,0.121575,-0.057014,-0.016999,-0.037803,-0.018995,0.122565,0.05098,-0.151553,-0.00443,-0.020851,2.291667,0.03231,0.128864,0.589061
10,-2.387725,200.639999,0.132444,0.145911,5.25,0.0,0.73019,36023.0,0.107157,0.369032,0.020661,0.080117,-0.016587,0.038807,6.494376,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.101105,-0.000958,-0.001535,-0.025583,-0.053459,-0.492012,-0.037309,-0.005621,0.149031,-0.06325,-0.0189,-0.041707,-0.024068,0.118138,0.058957,-0.169408,-0.006061,-0.022654,2.916667,0.028212,0.138346,0.547457
11,-2.068562,205.339996,0.136837,0.144354,5.125,0.0,0.718315,50776.0,0.1079,0.360448,0.019503,0.078794,-0.015479,0.038714,6.467064,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.100299,-0.000929,-0.001478,-0.02527,-0.049477,-0.467144,-0.036634,-0.005535,0.143659,-0.061972,-0.018876,-0.041964,-0.022492,0.119471,0.059694,-0.161558,-0.007559,-0.03172,2.958333,0.028582,0.136859,0.513644
12,-1.258597,221.229996,0.145722,0.15751,5.291667,0.0,0.70891,62885.0,0.11318,0.385788,0.020204,0.090969,-0.016434,0.046987,6.446887,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.109055,-0.001026,-0.001486,-0.026395,-0.057326,-0.493904,-0.03817,-0.006073,0.157824,-0.065193,-0.019871,-0.044357,-0.025894,0.132975,0.069141,-0.170892,-0.009715,-0.040817,2.583333,0.029362,0.13248,0.545091
13,-1.338614,244.929993,0.139521,0.157076,4.666667,0.0,0.699216,64737.0,0.113365,0.380811,0.02226,0.099621,-0.017431,0.056911,6.443902,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.108922,-0.001019,-0.00154,-0.02762,-0.060538,-0.476963,-0.037671,-0.00592,0.167237,-0.063229,-0.01955,-0.04276,-0.027456,0.131323,0.075041,-0.165387,-0.00888,-0.047219,2.291667,0.032386,0.160809,0.564985
14,-0.510807,274.959991,0.178448,0.191944,3.791667,0.0,0.69091,65093.0,0.136809,0.457611,0.027768,0.112493,-0.020719,0.062573,6.450695,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.132192,-0.001214,-0.001855,-0.023934,-0.069205,-0.56071,-0.045943,-0.007241,0.199307,-0.075584,-0.023735,-0.051932,-0.031375,0.162458,0.08786,-0.194792,-0.014965,-0.039953,2.458333,0.030724,0.153231,0.474285
15,0.387241,279.940002,0.200614,0.217095,3.875,0.0,0.681449,64888.0,0.151202,0.529675,0.029219,0.118028,-0.02236,0.066791,6.452095,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.146422,-0.001324,-0.002056,-0.023416,-0.077307,-0.609827,-0.049903,-0.007988,0.221784,-0.082523,-0.026167,-0.058559,-0.034329,0.194497,0.09503,-0.212108,-0.020913,-0.058983,2.583333,0.0312,0.139433,0.481732
16,0.310857,320.230011,0.203945,0.232217,2.958333,0.0,0.672517,62437.0,0.16076,0.539434,0.03352,0.129725,-0.023636,0.071686,6.434273,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.15745,-0.001387,-0.002308,-0.020207,-0.079904,-0.636466,-0.052278,-0.008438,0.237351,-0.08809,-0.028428,-0.060867,-0.036203,0.198497,0.105965,-0.22186,-0.022727,-0.061303,2.708333,0.028933,0.13975,0.437938
17,1.159912,321.429993,0.208976,0.234082,2.958333,0.0,0.665137,64707.0,0.161289,0.551223,0.030097,0.131323,-0.022421,0.072939,6.449786,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.161174,-0.001471,-0.002456,-0.021409,-0.083039,-0.632835,-0.05188,-0.008531,0.237276,-0.085044,-0.027541,-0.059915,-0.037395,0.204621,0.116272,-0.221151,-0.022207,-0.055107,2.541667,0.031446,0.144298,0.409712
18,1.560934,329.25,0.238795,0.247869,2.458333,0.0,0.657969,64290.0,0.171523,0.599916,0.033433,0.139554,-0.025235,0.077196,6.435161,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.170646,-0.001537,-0.002703,-0.021012,-0.086877,-0.657619,-0.056834,-0.009172,0.255464,-0.095437,-0.030634,-0.067936,-0.038595,0.213745,0.116208,-0.230304,-0.030283,-0.076514,2.375,0.031597,0.151957,0.440021
19,3.222977,399.200012,0.280397,0.286662,1.833333,0.0,0.649141,64352.0,0.189405,0.668571,0.036161,0.145086,-0.025959,0.079478,6.425218,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.195146,-0.001741,-0.003236,-0.017361,-0.090983,-0.747548,-0.062808,-0.010388,0.277435,-0.103825,-0.033661,-0.072847,-0.040796,0.274264,0.141517,-0.261419,-0.019806,-0.067926,2.583333,0.026049,0.125797,0.404199
20,3.586799,452.0,0.301945,0.345769,0.863636,0.0,0.642599,67100.0,0.236058,0.788321,0.043917,0.177581,-0.030183,0.102404,6.439394,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.23052,-0.002026,-0.003205,-0.009775,-0.104225,-0.863728,-0.073174,-0.012157,0.326648,-0.11891,-0.039999,-0.085179,-0.047544,0.300085,0.168718,-0.303251,-0.024434,-0.107411,2.545455,0.030819,0.143949,0.278991
21,4.886589,439.600006,0.296381,0.334621,1.434783,0.0,0.636599,65885.0,0.215646,0.751273,0.046052,0.168402,-0.031586,0.102784,6.422447,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.222218,-0.001957,-0.003734,-0.013151,-0.110009,-0.81469,-0.06979,-0.011672,0.332645,-0.115082,-0.038986,-0.083056,-0.049993,0.31636,0.169024,-0.285621,-0.021454,-0.099626,2.652174,0.03084,0.137725,0.308201
22,5.49127,476.920013,0.308044,0.347757,0.875,0.0,0.628951,64168.0,0.232804,0.813188,0.044629,0.191233,-0.032248,0.119592,6.420346,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.23801,-0.002107,-0.003771,-0.010583,-0.11826,-0.872137,-0.075221,-0.012915,0.352131,-0.123109,-0.040167,-0.089674,-0.052611,0.320526,0.180084,-0.305974,-0.022693,-0.072406,2.458333,0.029813,0.150511,0.289257
23,6.965396,497.619995,0.286259,0.361191,0.545455,0.0,0.623599,67989.0,0.201945,0.784003,0.037386,0.156174,-0.029254,0.112163,6.405528,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.239162,-0.00217,-0.004807,-0.008758,-0.118568,-0.847042,-0.072839,-0.012859,0.342468,-0.112618,-0.038446,-0.08727,-0.052943,0.42743,0.201384,-0.298585,-0.027166,-0.090111,2.363636,0.02883,0.174739,0.260157
24,6.949904,532.390015,0.38258,0.414285,0.75,0.0,0.617469,65433.0,0.269033,0.936689,0.057767,0.206822,-0.039225,0.128315,6.401277,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.274408,-0.002335,-0.004254,-0.007698,-0.138897,-0.954545,-0.085143,-0.014451,0.422964,-0.137542,-0.04962,-0.102995,-0.062655,0.381663,0.215063,-0.336414,-0.051623,-0.180082,2.625,0.026335,0.132655,0.254986
25,8.368196,560.549988,0.381212,0.410048,0.875,0.0,0.610992,66283.0,0.264965,0.934747,0.057817,0.208312,-0.039754,0.133371,6.414425,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.273444,-0.002343,-0.004311,-0.011099,-0.132751,-0.935837,-0.085538,-0.014126,0.41772,-0.141234,-0.048978,-0.10272,-0.060257,0.400886,0.202636,-0.330101,-0.043016,-0.131856,2.666667,0.029089,0.163546,0.29965
