iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.882674,16.76,0.008548,0.008307,1.434783,36.56522,0.976765,42252.0,0.006606,0.020485,0.000651,0.005617,-0.001263,0.003153,7.119624,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005834,-5.9e-05,-3e-05,-0.012578,-0.003848,-0.040152,-0.002628,-0.000371,0.008887,-0.004729,-0.001234,-0.003242,-0.001504,0.007821,0.00312,-0.01392,-1.5e-05,-5.2e-05,36.47826,3.652174,0.05164,0.133365,0.269339
1,-2.192204,39.529999,0.022386,0.019383,12.666667,0.0,0.948814,62362.0,0.019141,0.060685,0.003951,0.017038,-0.003697,0.009703,6.671393,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016135,-0.000165,-0.000227,-0.030091,-0.009277,-0.113307,-0.007093,-0.000879,0.022964,-0.013672,-0.003368,-0.007461,-0.003748,0.017968,0.007568,-0.038444,-0.00019,-0.000661,0.0,4.083333,0.032951,0.122071,0.647635
2,-2.733663,60.810001,0.035595,0.034214,13.416667,0.041667,0.920479,61749.0,0.030754,0.097245,0.005914,0.026716,-0.005359,0.013409,6.723038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026515,-0.000269,-0.000386,-0.031369,-0.014647,-0.179148,-0.011358,-0.00147,0.037234,-0.020244,-0.005425,-0.011981,-0.006133,0.028274,0.013166,-0.060682,-0.000405,-0.002124,0.0,3.833333,0.031884,0.127517,0.652789
3,-2.801641,75.629997,0.049389,0.047936,11.541667,0.041667,0.891417,61657.0,0.038886,0.134452,0.007906,0.033875,-0.00685,0.018268,6.66596,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035642,-0.000357,-0.000495,-0.030626,-0.018483,-0.230918,-0.015218,-0.001975,0.049478,-0.026742,-0.007284,-0.016156,-0.007983,0.043269,0.017291,-0.078157,-0.001091,-0.003644,0.0,3.625,0.030131,0.123497,0.622647
4,-3.336898,98.019997,0.059357,0.059623,10.833334,0.0,0.865222,61140.0,0.05014,0.17024,0.009799,0.045228,-0.008539,0.024803,6.631311,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045623,-0.000452,-0.000642,-0.029909,-0.025155,-0.283531,-0.018933,-0.002588,0.065639,-0.032881,-0.009168,-0.020686,-0.010806,0.049369,0.024061,-0.09634,-0.001645,-0.006178,0.0,3.625,0.030686,0.13458,0.642016
5,-3.267737,106.510002,0.072431,0.073283,10.291667,0.0,0.839059,60082.0,0.058381,0.193337,0.010272,0.049896,-0.009009,0.027298,6.613263,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053459,-0.000527,-0.000794,-0.029618,-0.027909,-0.318688,-0.021889,-0.00311,0.074224,-0.038052,-0.010501,-0.024125,-0.012233,0.063394,0.029862,-0.108528,-0.002057,-0.006546,0.0,3.541667,0.029274,0.124358,0.627351
6,-2.863968,126.769997,0.075708,0.081208,9.541667,0.0,0.813748,60772.0,0.064126,0.218464,0.012727,0.056608,-0.010747,0.031441,6.598536,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058273,-0.000564,-0.000888,-0.031108,-0.031842,-0.332571,-0.023102,-0.003261,0.086129,-0.04005,-0.011604,-0.025837,-0.013854,0.065623,0.031947,-0.113599,-0.002639,-0.01119,0.0,2.833333,0.031281,0.140948,0.645233
7,-3.305308,143.100006,0.086879,0.09559,8.916667,0.0,0.78969,61275.0,0.076219,0.254553,0.01439,0.067526,-0.012229,0.035895,6.569547,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.069868,-0.00068,-0.001043,-0.028941,-0.038034,-0.379501,-0.027488,-0.00392,0.101086,-0.04672,-0.013283,-0.030083,-0.017076,0.078861,0.039702,-0.130123,-0.003242,-0.013889,0.0,3.416667,0.032161,0.139424,0.617584
8,-3.210209,171.960007,0.102856,0.107357,6.75,0.0,0.767823,53937.0,0.087083,0.284921,0.015811,0.074597,-0.013416,0.039398,6.528659,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.079972,-0.000773,-0.00114,-0.029437,-0.043337,-0.4166,-0.030498,-0.004465,0.114985,-0.051382,-0.015125,-0.033963,-0.01924,0.089681,0.047656,-0.143043,-0.005273,-0.018224,0.0,2.666667,0.029827,0.143044,0.608293
9,-2.989639,178.020004,0.110873,0.122316,7.916667,0.0,0.747606,43698.0,0.092108,0.30918,0.017184,0.077622,-0.013961,0.038738,6.534851,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.08459,-0.000806,-0.001187,-0.028996,-0.043667,-0.423951,-0.031619,-0.00469,0.122055,-0.054075,-0.015757,-0.035757,-0.019137,0.087748,0.049097,-0.145867,-0.005428,-0.023294,0.0,3.041667,0.03097,0.13286,0.587085
10,-2.10855,179.839996,0.126889,0.13327,6.583333,0.0,0.73284,36456.0,0.099008,0.339466,0.017493,0.08434,-0.014416,0.04701,6.499466,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.093565,-0.000884,-0.001311,-0.025252,-0.048286,-0.455012,-0.034534,-0.005238,0.134169,-0.058225,-0.017651,-0.039397,-0.021053,0.111717,0.055486,-0.156836,-0.007019,-0.027888,0.0,3.833333,0.027574,0.153674,0.544674
11,-1.548334,203.350006,0.134292,0.150133,5.916667,0.0,0.721934,40197.0,0.111283,0.372938,0.020045,0.095635,-0.016124,0.051267,6.494833,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.104125,-0.000984,-0.001471,-0.024657,-0.055627,-0.48303,-0.036943,-0.005739,0.152823,-0.061157,-0.018657,-0.042285,-0.025071,0.119345,0.065344,-0.167196,-0.008619,-0.033402,0.0,3.666667,0.031727,0.130645,0.526625
12,-1.952766,245.770004,0.150864,0.167298,5.5,0.0,0.709896,63896.0,0.126441,0.421395,0.024201,0.111249,-0.018713,0.057214,6.468248,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.117222,-0.001102,-0.001796,-0.025981,-0.06471,-0.529749,-0.041199,-0.006355,0.177891,-0.069141,-0.02075,-0.047004,-0.029006,0.123373,0.073427,-0.183535,-0.015523,-0.045209,0.0,3.291667,0.031516,0.138591,0.532118
13,-0.605239,265.859985,0.155951,0.177445,4.416667,0.0,0.698865,63503.0,0.122327,0.424086,0.021919,0.106803,-0.01777,0.065292,6.466909,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.121905,-0.001145,-0.001768,-0.02246,-0.062844,-0.53898,-0.042007,-0.006644,0.175451,-0.068936,-0.021327,-0.048989,-0.028112,0.161559,0.080617,-0.186859,-0.011461,-0.039586,0.041667,3.5,0.029442,0.13527,0.454547
14,-0.253173,269.579987,0.170605,0.197368,4.041667,0.0,0.68901,64784.0,0.141744,0.471844,0.025267,0.122646,-0.020064,0.067575,6.46684,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.135211,-0.001254,-0.001841,-0.023939,-0.071488,-0.569471,-0.044869,-0.007297,0.201791,-0.074498,-0.023193,-0.052837,-0.032122,0.156729,0.093337,-0.198209,-0.01009,-0.054158,0.0,2.5,0.033714,0.130985,0.484109
