iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.882769,16.610001,0.008584,0.008374,1.347826,36.56522,0.97667,39112.0,0.0067,0.020659,0.00066,0.005696,-0.001876,0.003167,7.120571,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005887,-6e-05,-2.9e-05,-0.01245,-0.003896,-0.040601,-0.002661,-0.000376,0.008988,-0.004783,-0.001244,-0.003316,-0.001699,0.007812,0.003146,-0.014067,-1.5e-05,-5.4e-05,3.652174,0.051657,0.132186,0.266263
1,-2.367901,43.130001,0.022929,0.019923,12.916667,0.0,0.948125,60013.0,0.019497,0.062129,0.003963,0.017119,-0.004774,0.009542,6.680196,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016586,-0.00017,-0.000215,-0.030445,-0.009412,-0.11654,-0.00727,-0.0009,0.023358,-0.014214,-0.003465,-0.007606,-0.004157,0.01846,0.007756,-0.039489,-0.000172,-0.000707,4.041667,0.033476,0.131328,0.656576
2,-2.567922,53.540001,0.03547,0.032681,13.666667,0.0,0.920165,57876.0,0.02943,0.098323,0.005931,0.026213,-0.007138,0.015126,6.700735,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026226,-0.000265,-0.000402,-0.03189,-0.014319,-0.177596,-0.011306,-0.001437,0.036535,-0.020037,-0.005375,-0.011786,-0.006345,0.030265,0.013305,-0.060094,-0.00058,-0.002059,3.625,0.0314,0.132732,0.66359
3,-3.102662,75.480003,0.046396,0.044663,13.916667,0.0,0.894433,59919.0,0.038974,0.127588,0.007555,0.033625,-0.009003,0.017875,6.675088,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.034506,-0.000347,-0.000469,-0.031933,-0.018419,-0.223446,-0.0147,-0.001912,0.048076,-0.025938,-0.006927,-0.015483,-0.008171,0.03914,0.018098,-0.075796,-0.000955,-0.003749,3.666667,0.031461,0.134797,0.667595
4,-3.169386,92.919998,0.056381,0.05748,10.916667,0.0,0.866191,60909.0,0.048837,0.16217,0.009068,0.043446,-0.011388,0.022454,6.642896,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.044046,-0.000438,-0.000716,-0.030715,-0.024645,-0.271878,-0.018055,-0.002526,0.063273,-0.031488,-0.008791,-0.019781,-0.010909,0.048167,0.023761,-0.092529,-0.001121,-0.00586,3.458333,0.031947,0.133281,0.663374
5,-3.244589,110.110001,0.071004,0.071072,11.5,0.0,0.838292,60067.0,0.057336,0.193549,0.010876,0.05023,-0.013063,0.028384,6.607722,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.052798,-0.00052,-0.000815,-0.030862,-0.027872,-0.313729,-0.021485,-0.00298,0.07421,-0.03746,-0.010422,-0.023206,-0.01244,0.062118,0.028244,-0.106981,-0.002086,-0.008527,3.416667,0.030445,0.136388,0.651075
6,-3.471004,130.679993,0.077807,0.084514,10.458334,0.0,0.813187,60684.0,0.06616,0.220812,0.011959,0.05595,-0.014826,0.02938,6.586164,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.05987,-0.000583,-0.000837,-0.031508,-0.032212,-0.339929,-0.023955,-0.00342,0.084559,-0.041638,-0.011643,-0.026413,-0.014235,0.065647,0.032317,-0.116172,-0.00323,-0.010037,2.791667,0.030222,0.140448,0.629124
7,-3.709969,153.449997,0.09844,0.100301,8.833334,0.0,0.789114,60966.0,0.078183,0.267988,0.013879,0.065121,-0.017166,0.033166,6.559032,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071888,-0.000702,-0.00098,-0.028987,-0.036555,-0.39216,-0.028648,-0.004066,0.100501,-0.04922,-0.014046,-0.031504,-0.016195,0.081626,0.038291,-0.134432,-0.003978,-0.013213,3.291667,0.028868,0.13357,0.611179
8,-2.951689,164.410004,0.097458,0.104633,7.916667,0.0,0.767771,53980.0,0.080444,0.277508,0.014909,0.068417,-0.017632,0.039087,6.537636,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07561,-0.00072,-0.000942,-0.029881,-0.038965,-0.39252,-0.028629,-0.004205,0.107237,-0.048582,-0.014486,-0.03196,-0.01765,0.090265,0.043259,-0.134841,-0.003645,-0.019466,2.791667,0.031661,0.134537,0.620513
9,-2.462358,179.729996,0.124105,0.128036,6.166667,0.0,0.751638,43252.0,0.094819,0.3258,0.017327,0.080121,-0.020489,0.046373,6.51515,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089557,-0.000853,-0.001391,-0.026482,-0.045006,-0.449735,-0.033816,-0.004947,0.125424,-0.057249,-0.017155,-0.037943,-0.01997,0.111756,0.050753,-0.154677,-0.00555,-0.024894,2.75,0.026565,0.133227,0.542035
