iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.978963,16.870001,0.00861,0.008331,1.347826,36.56522,0.97709,41963.0,0.006618,0.020433,0.000668,0.00565,-0.001287,0.003253,7.11997,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005919,-6e-05,-3.1e-05,-0.012736,-0.003925,-0.040672,-0.002657,-0.000372,0.008984,-0.004862,-0.001244,-0.003222,-0.006136,0.007835,0.00317,-0.014091,-1.3e-05,-4.7e-05,3.652174,0.051955,0.128347,0.278185
1,-2.481709,40.880001,0.023777,0.020246,13.125,0.0,0.951201,61617.0,0.019519,0.06145,0.003942,0.016855,-0.003734,0.00951,6.674739,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016493,-0.000168,-0.000228,-0.030777,-0.009053,-0.115387,-0.007307,-0.000895,0.023159,-0.014201,-0.003491,-0.007659,-0.014723,0.018993,0.007606,-0.039132,-0.000166,-0.000733,4.0,0.031003,0.136703,0.641082
2,-3.09568,60.060001,0.035093,0.03204,15.541667,0.041667,0.923598,62347.0,0.028577,0.093908,0.00577,0.025676,-0.005185,0.013917,6.719378,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02539,-0.000257,-0.00039,-0.03243,-0.013774,-0.171282,-0.010935,-0.001393,0.035598,-0.019962,-0.005292,-0.011532,-0.022849,0.028432,0.01299,-0.058023,-0.000438,-0.002232,3.708333,0.030079,0.138794,0.673059
3,-3.736481,78.830002,0.048511,0.046103,11.208334,0.0,0.897439,63173.0,0.040172,0.130311,0.008005,0.03493,-0.006869,0.018126,6.665507,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035224,-0.000354,-0.000525,-0.030863,-0.019269,-0.230589,-0.015068,-0.001989,0.050163,-0.026077,-0.007114,-0.015961,-0.032814,0.036073,0.019213,-0.078143,-0.000818,-0.003487,3.5,0.030746,0.131675,0.645993
4,-3.576648,90.260002,0.055784,0.055761,12.333334,0.0,0.868769,62364.0,0.046863,0.156266,0.008988,0.040875,-0.007775,0.023137,6.65653,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.042192,-0.000419,-0.000608,-0.031391,-0.022505,-0.262379,-0.017389,-0.002381,0.059481,-0.03017,-0.008402,-0.019109,-0.038671,0.048055,0.022164,-0.089105,-0.001353,-0.005245,3.416667,0.030716,0.139781,0.665993
5,-4.003464,115.150002,0.069499,0.072318,9.708334,0.0,0.848864,61867.0,0.057563,0.197366,0.010865,0.049539,-0.009098,0.027936,6.608857,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.052811,-0.000517,-0.00077,-0.029254,-0.02749,-0.314864,-0.02153,-0.003007,0.074046,-0.036914,-0.010586,-0.023242,-0.048035,0.060461,0.029163,-0.107235,-0.002083,-0.00798,3.375,0.029194,0.133819,0.61578
6,-3.88398,125.910004,0.076813,0.083391,9.541667,0.0,0.822098,61535.0,0.065144,0.223609,0.012815,0.056864,-0.010833,0.031297,6.58963,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.060174,-0.00058,-0.000851,-0.030766,-0.032181,-0.345121,-0.024158,-0.003423,0.087307,-0.041906,-0.011743,-0.027058,-0.056254,0.070236,0.031883,-0.117936,-0.002424,-0.010717,2.875,0.030652,0.128281,0.634475
7,-4.277125,144.940002,0.091444,0.099799,8.541667,0.0,0.796585,61911.0,0.077257,0.258289,0.014338,0.067715,-0.012209,0.038246,6.568099,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072004,-0.000703,-0.001059,-0.030007,-0.03875,-0.398039,-0.028396,-0.004099,0.103131,-0.047858,-0.013845,-0.031105,-0.067404,0.087015,0.041858,-0.13626,-0.00343,-0.01615,2.916667,0.029466,0.133055,0.632314
8,-3.990306,153.899994,0.095578,0.099908,9.0,0.0,0.772786,55994.0,0.076307,0.264669,0.015225,0.066602,-0.012405,0.039728,6.566217,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072953,-0.000693,-0.00105,-0.031403,-0.037731,-0.382691,-0.027739,-0.004051,0.105403,-0.047711,-0.01404,-0.031193,-0.066361,0.089022,0.04073,-0.131554,-0.004983,-0.016391,2.708333,0.029473,0.143103,0.663355
9,-3.660281,179.130005,0.115861,0.119536,7.083333,0.0,0.752437,44132.0,0.091075,0.312396,0.016709,0.07467,-0.013306,0.039104,6.530472,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.08478,-0.000807,-0.001257,-0.029351,-0.041993,-0.431138,-0.032345,-0.004757,0.119025,-0.054213,-0.016198,-0.035937,-0.07359,0.09495,0.048982,-0.148407,-0.004412,-0.016797,2.666667,0.028164,0.139878,0.595535
