iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.231805,19.16,0.008365,0.008085,2.041667,37.208336,0.976803,40754.0,0.006288,0.019537,0.000731,0.005423,-0.001826,0.002543,7.08493,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005801,-5.9e-05,-7.6e-05,-0.014614,-0.003911,-0.039534,-0.002636,-0.000356,0.008581,-0.005145,-0.001195,-0.003061,-0.001692,0.008128,0.002754,-0.013723,-1.4e-05,-2.7e-05,36.875,4.0,0.053444,0.127957,0.306912
1,-2.32829,41.779999,0.02219,0.018634,18.208334,0.0,0.948546,61929.0,0.018212,0.057758,0.004071,0.01468,-0.004644,0.007986,6.681802,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015939,-0.000163,-0.000169,-0.033075,-0.008768,-0.113241,-0.007059,-0.000834,0.022189,-0.013401,-0.00339,-0.007009,-0.003912,0.019613,0.00805,-0.038339,-0.000142,-0.000737,0.0,3.75,0.032631,0.13085,0.691092
2,-2.625728,55.400002,0.033261,0.030928,15.541667,0.0,0.919864,62374.0,0.027128,0.092144,0.005541,0.022654,-0.006743,0.012837,6.683133,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02523,-0.000257,-0.000351,-0.032147,-0.014101,-0.171968,-0.010757,-0.001402,0.03467,-0.018789,-0.004948,-0.011352,-0.006182,0.032317,0.013403,-0.058145,-0.00038,-0.001845,0.0,3.875,0.035639,0.140139,0.681713
3,-3.345156,84.07,0.047298,0.048184,11.833334,0.0,0.890644,62363.0,0.039981,0.133376,0.008083,0.033188,-0.009645,0.018184,6.644783,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036686,-0.000368,-0.000538,-0.029659,-0.020178,-0.239598,-0.01568,-0.002097,0.051713,-0.026803,-0.007352,-0.016566,-0.008835,0.044677,0.019504,-0.080985,-0.000775,-0.003823,0.0,3.916667,0.032775,0.132492,0.628965
4,-3.153708,94.779999,0.057646,0.054329,11.458334,0.0,0.868912,61311.0,0.044929,0.16019,0.00906,0.035396,-0.010489,0.019894,6.617134,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.042839,-0.000425,-0.00063,-0.032333,-0.021709,-0.267799,-0.017943,-0.002429,0.057607,-0.030684,-0.008606,-0.018682,-0.009497,0.057635,0.02263,-0.090714,-0.001026,-0.004254,0.0,2.833333,0.029539,0.136959,0.679956
5,-3.644863,111.660004,0.070221,0.071781,9.791667,0.0,0.84205,61906.0,0.05784,0.195575,0.011205,0.046677,-0.0135,0.022853,6.604394,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053395,-0.000526,-0.000724,-0.030433,-0.029242,-0.321038,-0.021828,-0.00309,0.076264,-0.036736,-0.010515,-0.023651,-0.01296,0.061679,0.029412,-0.108958,-0.001971,-0.007621,0.0,3.125,0.03193,0.122111,0.62917
6,-3.280801,126.739998,0.075278,0.081782,8.666667,0.0,0.819187,60516.0,0.062445,0.220426,0.01192,0.049511,-0.01433,0.027607,6.559792,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.05952,-0.00058,-0.000865,-0.028537,-0.03114,-0.340941,-0.02398,-0.003484,0.082998,-0.040709,-0.011611,-0.02592,-0.013817,0.074216,0.032413,-0.11622,-0.00263,-0.009938,0.0,3.458333,0.033599,0.138096,0.612335
7,-3.516968,151.130005,0.089393,0.097643,7.125,0.0,0.791791,61209.0,0.077883,0.262684,0.013348,0.060776,-0.016726,0.029825,6.545328,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071013,-0.000684,-0.000893,-0.026177,-0.037181,-0.39284,-0.028052,-0.004127,0.100562,-0.04751,-0.013822,-0.030518,-0.01647,0.078442,0.039621,-0.134142,-0.003625,-0.012689,0.0,3.875,0.031682,0.13868,0.561196
8,-2.933251,141.910004,0.098331,0.10341,6.25,0.0,0.770508,55874.0,0.079978,0.263624,0.015197,0.064992,-0.018284,0.033874,6.500614,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07271,-0.000691,-0.001079,-0.031321,-0.038946,-0.381862,-0.028487,-0.004175,0.106164,-0.048581,-0.014492,-0.032072,-0.017244,0.081416,0.040281,-0.130886,-0.005622,-0.022115,0.0,2.041667,0.032304,0.129562,0.63107
9,-2.447336,158.539993,0.105347,0.114041,6.625,0.0,0.74915,44012.0,0.082307,0.298002,0.017747,0.067764,-0.020607,0.04277,6.508574,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.081314,-0.000767,-0.001179,-0.029732,-0.044083,-0.411893,-0.030997,-0.004642,0.122575,-0.051941,-0.015938,-0.0345,-0.019853,0.110151,0.046555,-0.141444,-0.004621,-0.022622,0.0,2.375,0.03013,0.134943,0.616821
10,-2.874272,214.089996,0.127506,0.142253,4.375,0.0,0.730126,37133.0,0.100045,0.36752,0.018915,0.075796,-0.022424,0.044537,6.471974,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.101455,-0.000944,-0.001462,-0.023992,-0.050937,-0.499813,-0.037521,-0.005784,0.142864,-0.061842,-0.018825,-0.041804,-0.022816,0.144568,0.061025,-0.171695,-0.005405,-0.024274,0.0,2.958333,0.032708,0.132854,0.52505
11,-2.53342,220.229996,0.140018,0.154718,4.291667,0.0,0.716371,41945.0,0.111249,0.385887,0.019515,0.079052,-0.022783,0.038899,6.437579,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.106395,-0.000996,-0.001666,-0.023815,-0.050423,-0.500212,-0.038539,-0.005984,0.147833,-0.064623,-0.020063,-0.043327,-0.023073,0.128807,0.064465,-0.172842,-0.007629,-0.026769,0.0,2.791667,0.030501,0.119532,0.498423
12,-1.580217,241.520004,0.143858,0.16499,3.666667,0.0,0.705653,57765.0,0.115668,0.404512,0.023333,0.093101,-0.027173,0.05189,6.443906,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.113635,-0.001059,-0.001609,-0.026691,-0.060423,-0.51181,-0.040924,-0.006312,0.168958,-0.067257,-0.021197,-0.045939,-0.027286,0.145309,0.073232,-0.177173,-0.008689,-0.027201,0.0,2.083333,0.03236,0.120954,0.543382
