iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.756237,18.690001,0.008224,0.007861,2.521739,37.826088,0.997416,33630.0,0.007497,0.024066,0.000616,0.005089,-0.012313,0.002471,67.827637,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005726,-6e-05,-0.000169,-0.017857,-0.0736,-0.040599,-0.005457,-0.000358,0.008279,-0.008038,-0.002885,-0.044796,-0.001481,0.00728,0.002459,-0.014115,-3.8e-05,-8.3e-05,37.782608,4.304348,0.214297,0.132909,0.360822
1,-3.125722,42.689999,0.021348,0.018609,20.25,0.458333,0.973604,13465.0,0.020494,0.064069,0.003969,0.015278,-0.004878,0.008373,21.908697,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015681,-0.000162,-0.000401,-0.034371,-0.028947,-0.112542,-0.007295,-0.000825,0.022566,-0.015732,-0.005777,-0.007706,-0.003457,0.017014,0.007242,-0.038171,-0.00024,-0.000924,0.5,3.458333,0.0355,0.152838,0.687082
2,-3.638637,54.080002,0.032261,0.030149,20.875,0.458333,0.947008,1047.0,0.029252,0.096296,0.005319,0.022984,-0.006619,0.011414,21.709831,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02433,-0.00025,-0.000554,-0.034497,-0.041553,-0.168633,-0.010769,-0.001298,0.033301,-0.021396,-0.007752,-0.011558,-0.0052,0.027735,0.011811,-0.057188,-0.0004,-0.001773,0.666667,3.375,0.035208,0.148543,0.691959
3,-4.457951,74.370003,0.042093,0.042524,16.541668,0.333333,0.922795,3417.0,0.038388,0.129407,0.007358,0.030336,-0.009122,0.015681,21.538162,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.032945,-0.000337,-0.000717,-0.033263,-0.057568,-0.221621,-0.014095,-0.0018,0.047114,-0.027286,-0.009912,-0.015572,-0.00736,0.038233,0.016647,-0.075082,-0.000842,-0.003091,0.833333,3.541667,0.035542,0.148225,0.660917
4,-4.742467,85.290001,0.053997,0.054835,14.5,0.458333,0.896721,3420.0,0.04578,0.166136,0.008198,0.036395,-0.010541,0.019742,21.153385,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.041735,-0.000427,-0.000929,-0.032273,-0.068118,-0.271442,-0.017527,-0.002283,0.057697,-0.033342,-0.011436,-0.019075,-0.009051,0.054425,0.020449,-0.092142,-0.001344,-0.004411,0.333333,3.5,0.034362,0.143465,0.654995
5,-5.07976,111.120003,0.063103,0.065803,15.083334,0.041667,0.868856,3409.0,0.055111,0.192584,0.01009,0.043809,-0.012327,0.023233,20.952564,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049257,-0.000497,-0.001143,-0.033507,-0.078902,-0.308061,-0.020569,-0.002667,0.068638,-0.038289,-0.013457,-0.022271,-0.010387,0.059066,0.025435,-0.104803,-0.001853,-0.006245,0.541667,3.0,0.031958,0.148851,0.671261
6,-5.074817,125.940002,0.076422,0.078691,13.625,0.208333,0.843132,3126.0,0.064715,0.222055,0.01228,0.051682,-0.014646,0.02696,20.854431,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057704,-0.000574,-0.001273,-0.032331,-0.091712,-0.345507,-0.022973,-0.003119,0.082614,-0.043636,-0.014632,-0.025981,-0.012201,0.069688,0.029396,-0.117711,-0.00261,-0.009541,0.166667,3.25,0.03214,0.140668,0.640267
7,-4.614982,119.669998,0.078936,0.080008,14.916667,0.25,0.818271,3183.0,0.065626,0.232246,0.012543,0.053011,-0.015052,0.028822,20.660976,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.060264,-0.000599,-0.001261,-0.033911,-0.093615,-0.347051,-0.02376,-0.003181,0.085506,-0.044936,-0.0154,-0.026709,-0.012645,0.077557,0.031337,-0.1186,-0.003229,-0.009229,0.666667,2.75,0.031874,0.160127,0.685653
8,-5.570817,158.509995,0.090161,0.098719,12.75,0.208333,0.793946,3390.0,0.079339,0.27748,0.015343,0.062749,-0.018209,0.03287,20.508703,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072238,-0.000706,-0.001379,-0.03306,-0.111576,-0.399924,-0.027876,-0.003854,0.104456,-0.052559,-0.017952,-0.031751,-0.0151,0.090784,0.0378,-0.137063,-0.004874,-0.015831,0.208333,2.75,0.031837,0.156129,0.654153
9,-4.963349,163.429993,0.096569,0.104068,12.75,0.125,0.771986,3368.0,0.082302,0.290782,0.016006,0.065859,-0.018553,0.035685,20.155937,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075657,-0.000734,-0.001464,-0.034395,-0.113946,-0.399333,-0.02862,-0.003936,0.108843,-0.053126,-0.017789,-0.032576,-0.015986,0.094922,0.040675,-0.137373,-0.006222,-0.017739,0.166667,2.208333,0.030454,0.143945,0.682912
