iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,-0.233061,12.87,0.010508,0.009977,0.130435,37.56522,0.048438,34083.0,0.002696,0.004321,0.001199,0.003041,-0.010666,0.006934,49.802887,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006196,-0.002006,-7.5e-05,-0.006551,-0.063084,-0.000372,-0.002422,-0.000369,0.011654,-0.016585,-0.008084,-0.040314,-0.001067,0.01558,0.052635,-0.001288,-2.4e-05,-1.8e-05,37.608696,0.0,4.304348,0.199453,0.101503,0.172147
1500,5.751949,36.68,0.029743,0.029568,0.375,0.041667,0.048596,19362.0,0.006725,0.013864,0.004775,0.009537,-0.001727,0.019301,9.698013,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018088,-0.005772,-0.000195,-0.004083,-0.005934,-0.000898,-0.000751,-0.001061,0.032744,-0.018763,-0.017432,-0.001064,-0.001733,0.055146,0.151931,-0.003269,-7.5e-05,-8.8e-05,0.083333,0.0,3.833333,0.022566,0.105182,0.180817
1501,11.155272,61.02,0.051889,0.050504,0.291667,0.0,0.04911,19416.0,0.008204,0.018046,0.008726,0.017213,-0.002734,0.038057,9.930966,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.030215,-0.009799,-0.000248,-0.002405,-0.007669,-0.001046,-0.0009,-0.001623,0.054316,-0.012587,-0.009705,-0.001068,-0.001891,0.101322,0.264914,-0.004235,-0.000152,-7.6e-05,0.0,0.0,3.916667,0.018934,0.09745,0.161279
1502,14.998272,81.629997,0.072605,0.069964,0.166667,0.041667,0.049426,15891.0,0.010845,0.022779,0.011107,0.020607,-0.003499,0.043074,10.043921,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.040955,-0.012809,-0.00027,-0.002454,-0.008987,-0.001356,-0.001034,-0.002223,0.073475,-0.008956,-0.014526,-0.001284,-0.002165,0.141706,0.35927,-0.005546,-3.9e-05,-7.7e-05,0.125,0.0,4.125,0.018091,0.08619,0.144527
1503,20.699821,109.5,0.092196,0.088215,0.333333,0.041667,0.049836,5080.0,0.013941,0.03096,0.016066,0.030953,-0.004942,0.070073,9.685801,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.053327,-0.017641,-0.000307,-0.004659,-0.012968,-0.001976,-0.001843,-0.003185,0.09647,-0.015809,-0.023051,-0.001821,-0.003059,0.188321,0.466255,-0.00802,-0.000167,-0.00038,0.291667,0.0,4.833333,0.0176,0.115722,0.176077
1504,24.52095,132.190002,0.111446,0.10483,0.347826,0.0,0.05031,5002.0,0.017669,0.038857,0.017625,0.035048,-0.005615,0.074007,9.789349,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.064904,-0.021119,-0.000748,-0.003826,-0.014324,-0.002212,-0.0019,-0.00347,0.114642,-0.019038,-0.026315,-0.002459,-0.003376,0.22459,0.564045,-0.008989,-8.7e-05,-0.000482,0.173913,0.0,4.478261,0.018177,0.126751,0.191641
1505,28.408131,153.770004,0.13306,0.126177,0.333333,0.0,0.050676,5021.0,0.021821,0.04495,0.023496,0.042983,-0.007124,0.094851,9.803566,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.075221,-0.023456,-0.000883,-0.004658,-0.017877,-0.0028,-0.002494,-0.004478,0.133131,-0.026366,-0.038359,-0.003147,-0.003819,0.263536,0.654087,-0.011362,-0.000379,-0.001449,0.333333,0.0,4.791667,0.020541,0.109665,0.170393
1506,33.167053,181.479996,0.155576,0.147391,0.416667,0.0,0.05122,4986.0,0.025503,0.056667,0.026748,0.053552,-0.008674,0.112771,9.722509,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.089097,-0.029199,-0.000759,-0.004216,-0.020711,-0.003526,-0.003071,-0.005897,0.156988,-0.030293,-0.04232,-0.003528,-0.004289,0.313301,0.762345,-0.014611,-0.00033,-0.000919,0.166667,0.0,4.166667,0.021649,0.119763,0.181169
1507,36.423943,198.0,0.163984,0.158737,0.791667,0.083333,0.051688,4966.0,0.026481,0.056107,0.028313,0.056093,-0.009402,0.124811,9.883157,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.097495,-0.030564,-0.000927,-0.007079,-0.022646,-0.00371,-0.003274,-0.006343,0.171545,-0.026108,-0.03904,-0.003426,-0.004645,0.347245,0.840378,-0.015135,-0.000253,-0.001408,0.416667,0.0,3.916667,0.033994,0.177267,0.212015
1508,40.436474,223.550003,0.18432,0.180751,1.333333,0.0,0.052211,4988.0,0.036299,0.072168,0.037241,0.075125,-0.012699,0.15364,9.720443,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.108793,-0.032961,-0.001267,-0.011984,-0.030443,-0.00486,-0.004562,-0.00823,0.189501,-0.046335,-0.064499,-0.004864,-0.00582,0.370195,0.907318,-0.020969,-0.000552,-0.003677,1.041667,0.0,4.333333,0.045525,0.272761,0.209574
