iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,0.677395,12.7,0.009401,0.009481,0.26087,37.217392,0.048895,34874.0,0.002696,0.005886,0.000973,0.002756,-0.006592,0.005346,41.789227,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.005708,-0.002066,-5.1e-05,-0.009193,-0.051419,-0.000495,-0.001756,-0.000404,0.010623,-0.015916,-0.008337,-0.021461,-0.000976,0.014916,0.046833,-0.00172,-1.5e-05,-2e-05,37.304348,0.0,4.347826,0.165686,0.115779,0.195815
1500,5.894346,37.59,0.030878,0.029585,0.5,0.0,0.049278,10015.0,0.006451,0.014546,0.004701,0.011404,-0.001911,0.02178,10.145493,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018196,-0.005838,-0.000324,-0.00406,-0.006649,-0.000879,-0.00085,-0.001241,0.032463,-0.018758,-0.014205,-0.001067,-0.00155,0.054221,0.152183,-0.003615,-0.000117,-7e-05,0.083333,0.0,4.125,0.020246,0.112289,0.169445
1501,8.625637,59.360001,0.048833,0.047079,1.0,0.043478,0.049525,795.0,0.011826,0.026117,0.008593,0.019337,-0.003402,0.035545,10.13833,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.029104,-0.009994,-0.00097,-0.009391,-0.012185,-0.001824,-0.001625,-0.00204,0.050205,-0.033905,-0.034544,-0.002234,-0.002214,0.091248,0.232897,-0.006835,-0.000398,-0.000118,0.304348,0.0,3.826087,0.022898,0.129481,0.265108
1502,13.919456,81.150002,0.069547,0.06421,0.541667,0.083333,0.050024,4945.0,0.012199,0.027066,0.010725,0.022094,-0.003588,0.044778,10.284683,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.040031,-0.013244,-0.000598,-0.00672,-0.010605,-0.001784,-0.00157,-0.002324,0.070768,-0.021861,-0.026007,-0.001799,-0.002384,0.136089,0.341173,-0.006739,-0.000263,-9.3e-05,0.375,0.0,4.541667,0.021106,0.125293,0.212426
1503,18.424118,102.720001,0.086604,0.084066,0.391304,0.0,0.050401,4890.0,0.016198,0.032204,0.015761,0.032053,-0.005329,0.064652,9.889002,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.050699,-0.015987,-0.000566,-0.005934,-0.013786,-0.002103,-0.001998,-0.003261,0.089027,-0.020994,-0.026706,-0.002403,-0.002878,0.171551,0.432821,-0.008697,-0.000773,-0.000321,0.304348,0.0,4.608696,0.020233,0.117646,0.20742
1504,23.468033,128.770004,0.103182,0.100467,0.25,0.0,0.050459,4783.0,0.021866,0.039887,0.020243,0.0413,-0.0063,0.079623,9.635456,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.061695,-0.019174,-0.001064,-0.006585,-0.018532,-0.002766,-0.002377,-0.003975,0.108333,-0.025843,-0.037508,-0.00274,-0.003454,0.203596,0.520473,-0.011002,-0.000202,-0.000264,0.416667,0.0,4.291667,0.028494,0.133628,0.233685
1505,29.674345,157.190002,0.130108,0.130874,0.083333,0.0,0.050929,4779.0,0.021647,0.044085,0.022517,0.047363,-0.007061,0.099361,9.652072,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.077916,-0.025141,-0.000595,-0.00121,-0.017094,-0.002677,-0.002342,-0.004631,0.135109,-0.014325,-0.022918,-0.002431,-0.003947,0.272567,0.678071,-0.011188,-0.000237,-0.000563,0.083333,0.0,4.666667,0.018343,0.075678,0.152243
1506,31.403955,173.910004,0.150564,0.143516,0.583333,0.0,0.051338,4826.0,0.028982,0.055754,0.028348,0.059211,-0.009579,0.120461,10.018638,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.087234,-0.028825,-0.000906,-0.008292,-0.023781,-0.003626,-0.003314,-0.005835,0.15164,-0.035765,-0.043978,-0.003972,-0.00509,0.296937,0.737477,-0.015176,-0.000348,-0.00294,0.708333,0.0,3.958333,0.024955,0.167717,0.209005
1507,35.175014,192.410004,0.162868,0.159971,0.875,0.125,0.051858,4801.0,0.027781,0.059351,0.027873,0.05815,-0.009474,0.12058,9.738901,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.09545,-0.03056,-0.001005,-0.010126,-0.023325,-0.003874,-0.003473,-0.006323,0.167476,-0.041013,-0.052547,-0.00451,-0.004796,0.336015,0.815709,-0.016045,-0.00026,-0.001791,0.583333,0.0,4.541667,0.033524,0.166874,0.244261
1508,40.957718,220.679993,0.188309,0.1805,0.708333,0.041667,0.052279,4818.0,0.03206,0.062746,0.035204,0.071203,-0.011458,0.150801,9.580542,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.110638,-0.034722,-0.000626,-0.010105,-0.024013,-0.004147,-0.003645,-0.007463,0.193041,-0.03149,-0.038869,-0.003219,-0.004926,0.391787,0.944339,-0.018095,-0.000189,-0.004599,0.666667,0.0,3.458333,0.035346,0.210204,0.230061
1509,43.694172,238.190002,0.195768,0.188186,1.291667,0.0,0.052613,4845.0,0.037312,0.068415,0.037288,0.07818,-0.012747,0.158654,9.77589,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.115517,-0.036854,-0.001549,-0.014689,-0.029376,-0.004714,-0.004383,-0.008548,0.199094,-0.037494,-0.04509,-0.004466,-0.005876,0.395041,0.966857,-0.02098,-0.00031,-0.005641,1.5,0.0,3.958333,0.046222,0.315175,0.270457
1510,46.110043,260.450012,0.214613,0.20972,1.75,0.125,0.053121,4856.0,0.042596,0.080548,0.040565,0.089665,-0.014846,0.178309,9.640388,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.125825,-0.040896,-0.001009,-0.018789,-0.034841,-0.005613,-0.005334,-0.010158,0.216829,-0.049105,-0.057936,-0.005031,-0.006812,0.427349,1.03723,-0.024577,-0.000844,-0.008019,3.125,0.0,4.416667,0.059628,0.358259,0.242724
1511,46.967281,265.869995,0.221791,0.214268,2.125,0.041667,0.053533,4839.0,0.045506,0.083572,0.044433,0.089698,-0.014961,0.184327,9.540215,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.132016,-0.04249,-0.002215,-0.021581,-0.032772,-0.005762,-0.005043,-0.009968,0.226596,-0.051293,-0.058993,-0.004776,-0.006956,0.448584,1.09121,-0.024917,-0.000914,-0.00935,3.25,0.0,3.875,0.061173,0.388964,0.300077
1512,53.079739,300.160004,0.249436,0.246275,1.826087,0.0,0.054036,4852.0,0.05062,0.096865,0.049217,0.100195,-0.016496,0.202678,9.603367,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.150097,-0.048125,-0.002964,-0.01999,-0.037494,-0.006401,-0.005715,-0.01111,0.256448,-0.053626,-0.065803,-0.005917,-0.008331,0.505739,1.235882,-0.027102,-0.00209,-0.014762,3.0,0.0,4.434783,0.057606,0.388245,0.264227
1513,57.069874,316.869995,0.26379,0.253672,1.666667,0.041667,0.054354,4847.0,0.051953,0.096479,0.048909,0.10204,-0.015639,0.21674,9.39076,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.154878,-0.049801,-0.003114,-0.017638,-0.038476,-0.006127,-0.005111,-0.010614,0.270238,-0.049145,-0.063482,-0.005657,-0.008342,0.524333,1.290961,-0.025125,-0.000793,-0.013076,2.083333,0.0,3.833333,0.055771,0.337302,0.277741
1514,62.684505,345.799988,0.287218,0.274575,1.458333,0.125,0.05462,4892.0,0.059228,0.106176,0.056807,0.113914,-0.017128,0.23838,9.183264,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.172042,-0.054257,-0.003423,-0.017584,-0.040502,-0.007134,-0.005764,-0.011651,0.297247,-0.059591,-0.080504,-0.005594,-0.008849,0.576633,1.434728,-0.02895,-0.000835,-0.024509,1.541667,0.0,3.541667,0.053781,0.327916,0.286656
1515,63.249989,349.549988,0.296984,0.275239,1.5,0.041667,0.05505,4882.0,0.055548,0.106301,0.05613,0.105087,-0.016552,0.225561,9.363139,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.169517,-0.053472,-0.003438,-0.01653,-0.03911,-0.006564,-0.004987,-0.010949,0.297887,-0.048972,-0.065292,-0.005755,-0.0094,0.578902,1.418926,-0.026019,-0.001133,-0.022013,1.583333,0.0,3.5,0.049089,0.310695,0.328605
1516,71.282845,396.149994,0.333087,0.311677,1.333333,0.041667,0.055357,4849.0,0.06177,0.120865,0.057845,0.106926,-0.017269,0.227379,9.010162,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.194511,-0.061183,-0.004009,-0.013827,-0.04198,-0.007322,-0.005549,-0.011653,0.335076,-0.05299,-0.073202,-0.006802,-0.009812,0.663259,1.634706,-0.027961,-0.001199,-0.024769,1.333333,0.0,3.958333,0.048924,0.281892,0.266748
1517,72.527527,408.98999,0.339201,0.321519,1.666667,0.083333,0.055663,4859.0,0.066326,0.126513,0.063835,0.123852,-0.018716,0.261765,9.221436,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.200821,-0.062295,-0.005179,-0.015837,-0.042457,-0.008187,-0.006189,-0.012265,0.344874,-0.059238,-0.089811,-0.007154,-0.010368,0.680936,1.670221,-0.030956,-0.001578,-0.024969,1.25,0.0,3.833333,0.051935,0.301871,0.292524
1518,69.991341,395.929993,0.335637,0.318069,1.333333,0.041667,0.056053,4857.0,0.066708,0.123458,0.06121,0.113139,-0.017532,0.24035,9.254772,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.199624,-0.059571,-0.005719,-0.016473,-0.042573,-0.007537,-0.005567,-0.012238,0.342501,-0.048106,-0.072888,-0.006164,-0.010473,0.672282,1.663248,-0.028205,-0.001285,-0.024079,1.333333,0.0,3.458333,0.0567,0.309425,0.308693
1519,80.778305,447.679993,0.365772,0.352029,1.291667,0.125,0.056433,4916.0,0.065099,0.13477,0.062897,0.11588,-0.017883,0.248997,9.192251,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.218403,-0.066149,-0.004686,-0.013828,-0.042498,-0.008181,-0.006003,-0.012237,0.371668,-0.050006,-0.078891,-0.006388,-0.010079,0.756848,1.84234,-0.029665,-0.00119,-0.02728,1.083333,0.0,3.75,0.045142,0.264556,0.269068
1520,76.785362,430.190002,0.367314,0.353175,1.625,0.083333,0.056843,4877.0,0.069282,0.132387,0.059636,0.119794,-0.018945,0.252614,9.358936,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.218678,-0.068905,-0.004894,-0.01649,-0.046346,-0.008329,-0.006152,-0.013288,0.374729,-0.060016,-0.07907,-0.007181,-0.010984,0.743188,1.844795,-0.031632,-0.001575,-0.037778,1.333333,0.0,3.375,0.052685,0.303637,0.297853
1521,79.47818,456.160004,0.373556,0.352054,1.541667,0.0,0.057361,4906.0,0.071762,0.14381,0.058673,0.115811,-0.018329,0.244768,9.319542,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.219039,-0.071256,-0.00826,-0.018894,-0.046657,-0.008403,-0.006397,-0.012791,0.371259,-0.074275,-0.091546,-0.008405,-0.011338,0.739036,1.827298,-0.030836,-0.001805,-0.027554,1.458333,0.0,3.166667,0.055957,0.314969,0.320424
1522,81.997665,460.820007,0.389892,0.379246,1.083333,0.0,0.057623,4856.0,0.077744,0.14067,0.066954,0.130299,-0.020057,0.282268,9.117487,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.235878,-0.074114,-0.009409,-0.014269,-0.048103,-0.008914,-0.00625,-0.013675,0.399707,-0.055672,-0.082891,-0.006941,-0.01151,0.786659,1.99613,-0.033711,-0.001153,-0.040398,1.541667,0.0,3.875,0.058287,0.326311,0.290013
1523,88.380867,509.109985,0.415948,0.384382,2.041667,0.0,0.057783,4876.0,0.08354,0.159668,0.068323,0.128213,-0.020495,0.272564,9.19816,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.244758,-0.07553,-0.012013,-0.017073,-0.049971,-0.010418,-0.007459,-0.014573,0.412775,-0.073415,-0.112211,-0.008079,-0.013286,0.805146,2.031173,-0.035951,-0.005799,-0.046642,1.625,0.0,3.708333,0.063925,0.344897,0.288444
1524,86.674286,483.070007,0.430613,0.407255,1.416667,0.125,0.058112,4899.0,0.082133,0.163848,0.074848,0.136988,-0.021423,0.295991,9.04332,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.253352,-0.076184,-0.011505,-0.01655,-0.051422,-0.009492,-0.006757,-0.015094,0.430872,-0.062325,-0.087694,-0.008266,-0.012247,0.85486,2.114331,-0.03522,-0.000976,-0.053583,1.708333,0.0,3.25,0.05643,0.321554,0.30714
1525,99.79744,557.169983,0.491352,0.447976,0.916667,0.0,0.0585,4839.0,0.086236,0.176653,0.077264,0.143773,-0.022474,0.312698,9.184994,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.281456,-0.088649,-0.010434,-0.014597,-0.053037,-0.010092,-0.006842,-0.015554,0.480602,-0.062599,-0.081572,-0.007748,-0.014001,0.960787,2.37238,-0.036502,-0.001554,-0.074477,1.375,0.0,3.375,0.051843,0.292922,0.257964
1526,104.56385,583.330017,0.505655,0.469591,1.458333,0.0,0.058674,4919.0,0.090353,0.166732,0.078819,0.14636,-0.022388,0.322673,8.770586,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.28951,-0.087165,-0.01246,-0.017672,-0.051996,-0.010066,-0.006598,-0.015784,0.493449,-0.058436,-0.076178,-0.006818,-0.013972,0.978228,2.468947,-0.036597,-0.001598,-0.117298,1.125,0.0,2.875,0.05843,0.327008,0.31936
1527,103.574898,583.890015,0.490249,0.43348,1.791667,0.0,0.058937,4896.0,0.092659,0.176779,0.077859,0.156395,-0.024173,0.32927,8.732074,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.287362,-0.086986,-0.017031,-0.019408,-0.054464,-0.011013,-0.0074,-0.016438,0.480773,-0.069086,-0.095083,-0.007993,-0.014283,0.964118,2.411409,-0.04047,-0.002282,-0.094655,1.75,0.0,3.333333,0.072987,0.401599,0.363396
1528,101.739983,568.849976,0.509665,0.455758,1.458333,0.0,0.059183,4886.0,0.100845,0.185526,0.080047,0.156188,-0.02285,0.331458,8.595522,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.297781,-0.093158,-0.014413,-0.015454,-0.054004,-0.010846,-0.007522,-0.016937,0.49941,-0.064619,-0.089189,-0.008226,-0.014507,0.983913,2.486038,-0.038521,-0.002395,-0.070939,1.166667,0.0,3.25,0.060542,0.339357,0.30586
1529,116.819733,650.890015,0.561159,0.511705,1.0,0.0,0.059509,4825.0,0.101789,0.184672,0.091285,0.16856,-0.02515,0.373089,8.77574,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.329747,-0.097409,-0.013443,-0.011827,-0.05849,-0.011333,-0.007272,-0.017451,0.554901,-0.054495,-0.087108,-0.00925,-0.016851,1.113857,2.827435,-0.040227,-0.001625,-0.121809,1.208333,0.0,3.583333,0.050389,0.282632,0.251394
1530,100.640999,591.77002,0.500196,0.453863,1.958333,0.0,0.059974,4877.0,0.112177,0.200513,0.077394,0.156408,-0.024149,0.330892,8.962111,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.299171,-0.094452,-0.022103,-0.019739,-0.060938,-0.011562,-0.007341,-0.01729,0.502348,-0.074688,-0.110318,-0.009508,-0.017735,0.947318,2.464366,-0.040535,-0.002091,-0.104311,1.625,0.0,2.916667,0.076533,0.368409,0.34213
1531,103.8666,598.559998,0.505332,0.477352,1.666667,0.0,0.060299,4801.0,0.099224,0.202516,0.077583,0.143524,-0.022751,0.313157,8.834603,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.303648,-0.096943,-0.013101,-0.018248,-0.054486,-0.011547,-0.00739,-0.016483,0.513306,-0.078868,-0.104447,-0.00852,-0.01471,1.008253,2.545466,-0.039625,-0.001217,-0.063429,1.791667,0.0,3.166667,0.051663,0.317408,0.292817
1532,108.347954,626.609985,0.541488,0.496479,1.75,0.083333,0.060621,4805.0,0.108862,0.203011,0.07967,0.164097,-0.024561,0.357651,8.692816,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.319491,-0.097053,-0.017229,-0.018521,-0.059079,-0.012101,-0.008169,-0.018096,0.527878,-0.074018,-0.099116,-0.008976,-0.016389,1.050029,2.667358,-0.041808,-0.002884,-0.143779,1.833333,0.0,3.333333,0.06376,0.382145,0.32404
1533,117.307045,685.320007,0.568051,0.49509,1.541667,0.0,0.06081,4869.0,0.116825,0.234797,0.083924,0.163632,-0.025233,0.343917,8.807177,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.332357,-0.103948,-0.024489,-0.017962,-0.063996,-0.012243,-0.007766,-0.017903,0.539979,-0.073243,-0.093746,-0.010118,-0.018011,1.074085,2.741547,-0.042801,-0.003887,-0.097354,1.25,0.0,3.208333,0.065839,0.364254,0.332787
1534,112.715057,644.849976,0.535302,0.495012,1.541667,0.166667,0.061147,4888.0,0.113041,0.209595,0.081022,0.166248,-0.026269,0.342448,8.706516,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.319095,-0.106365,-0.014216,-0.021822,-0.064909,-0.013028,-0.008636,-0.019222,0.526331,-0.081459,-0.112366,-0.010467,-0.017427,1.030524,2.630588,-0.045803,-0.001805,-0.093599,1.625,0.0,2.666667,0.073347,0.399088,0.320288
1535,116.015068,680.299988,0.567958,0.502757,1.75,0.125,0.06147,4817.0,0.124682,0.219217,0.086115,0.170122,-0.026273,0.341981,8.787704,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.33155,-0.104515,-0.019847,-0.019096,-0.068728,-0.012938,-0.008279,-0.019223,0.55378,-0.080206,-0.112297,-0.011116,-0.020283,1.0349,2.736722,-0.044223,-0.004574,-0.164556,1.458333,0.0,3.333333,0.074476,0.354655,0.348045
