iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
6998,1.302497,10.22,0.009629,0.009722,0.0,38.347828,0.114718,47173.0,0.004164,0.004624,0.001351,0.002922,-0.000673,0.004451,7.765165,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.002122,-5.9e-05,-0.006245,-0.002225,-0.000754,-0.000227,-0.000375,0.010829,-0.001957,-0.002097,-0.000474,-0.001091,0.015733,0.043531,-0.00163,-2e-06,0.0,37.913044,3.608696,0.04539,0.109268,0.157614
6999,6.202544,38.25,0.028062,0.031233,0.0,0.0,0.113506,82521.0,0.009189,0.014753,0.006265,0.012839,-0.002239,0.020323,8.308756,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005803,-0.000283,0.0,-0.005185,-0.002361,-0.000673,-0.001365,0.030517,-0.004565,-0.008037,-0.000705,-0.002167,0.054939,0.130934,-0.00554,-1.2e-05,-4e-06,0.0,4.869565,0.026453,0.081094,0.116827
7000,9.906166,59.209999,0.047356,0.048608,0.0,0.0,0.111702,80715.0,0.013617,0.022631,0.010432,0.021286,-0.003665,0.036341,8.30696,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.010453,-0.000755,0.0,-0.0076,-0.003707,-0.001086,-0.00205,0.049001,-0.006545,-0.011718,-0.000931,-0.002961,0.099062,0.224445,-0.008834,-3.6e-05,-9.5e-05,0.0,3.666667,0.023061,0.092092,0.150084
7001,14.533207,85.040001,0.062055,0.071587,0.0,0.0,0.110032,82304.0,0.014775,0.029884,0.014428,0.027354,-0.00459,0.048189,8.228643,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.013486,-0.000924,0.0,-0.00849,-0.004986,-0.001328,-0.002809,0.066311,-0.008784,-0.015262,-0.001142,-0.00319,0.149624,0.317615,-0.011819,-2.6e-05,-8.2e-05,0.0,4.208333,0.025587,0.08539,0.12381
7002,18.857712,108.82,0.08139,0.092128,0.0,0.0,0.108774,81814.0,0.019844,0.040317,0.021515,0.039515,-0.006403,0.074186,8.259106,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.016572,-0.000878,0.0,-0.01238,-0.006485,-0.001754,-0.003615,0.086779,-0.012278,-0.022404,-0.001544,-0.004433,0.193223,0.400332,-0.01535,-4.9e-05,-0.000668,0.0,4.416667,0.025779,0.087877,0.12363
7003,22.045265,130.800003,0.101577,0.111564,0.0,0.0,0.10738,83064.0,0.026092,0.048305,0.02372,0.044156,-0.008181,0.073697,8.229414,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.020746,-0.00151,0.0,-0.014926,-0.007868,-0.002331,-0.004657,0.102824,-0.014429,-0.026292,-0.001865,-0.00524,0.231363,0.494298,-0.019776,-5.3e-05,-0.000865,0.0,4.0,0.023112,0.08957,0.126017
7004,27.25618,157.330002,0.117513,0.128605,0.0,0.0,0.105826,81181.0,0.025288,0.055828,0.024443,0.047646,-0.008251,0.089166,8.174929,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.02676,-0.001338,0.0,-0.015183,-0.008785,-0.002519,-0.005342,0.124325,-0.015565,-0.026046,-0.00194,-0.005434,0.287408,0.595246,-0.021623,-0.000102,-0.001194,0.0,4.25,0.025474,0.087841,0.144971
7005,31.101034,178.740005,0.127586,0.152208,0.0,0.0,0.104422,83122.0,0.029874,0.06579,0.036001,0.060516,-0.010811,0.11328,8.166573,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.029329,-0.0016,0.0,-0.019361,-0.010269,-0.003058,-0.006307,0.145841,-0.01881,-0.032718,-0.002423,-0.006619,0.332288,0.678361,-0.025582,-9.3e-05,-0.003555,0.0,4.217391,0.026689,0.086203,0.129074
7006,35.579235,205.110001,0.150637,0.170853,0.0,0.0,0.103145,79635.0,0.032919,0.073646,0.036924,0.063059,-0.011452,0.119635,8.127982,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.032417,-0.001484,0.0,-0.020498,-0.011388,-0.003224,-0.006726,0.162539,-0.020871,-0.037445,-0.00263,-0.00709,0.379033,0.773475,-0.027538,-0.000103,-0.0052,0.0,4.416667,0.026175,0.083394,0.13052
7007,39.747303,229.419998,0.166398,0.195506,0.0,0.0,0.101673,83194.0,0.03944,0.082302,0.043966,0.075608,-0.013997,0.138792,8.090719,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.036677,-0.00212,0.0,-0.024554,-0.012963,-0.004038,-0.007966,0.178958,-0.023633,-0.042471,-0.003082,-0.007887,0.419187,0.862309,-0.033414,-0.000113,-0.005512,0.0,4.608696,0.025398,0.077492,0.118565
