iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.482388,10.22,0.009737,0.009659,0.0,38.347828,0.061472,45708.0,0.003631,0.003416,0.000901,0.002719,-0.00063,0.004988,6.406642,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.00197,-6.1e-05,-0.000117,-0.006245,-0.001992,-0.000263,-0.000175,-0.000303,0.011122,-0.001236,-0.0018,-0.000369,-0.001079,0.016287,0.050501,-0.000834,-1e-06,0.0,37.913044,3.608696,0.044138,0.110312,0.159073
7498,7.096714,38.25,0.03013,0.031171,0.0,0.0,0.061528,78643.0,0.007245,0.010563,0.005234,0.012019,-0.002087,0.021828,6.792619,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005301,-0.00029,-0.000573,0.0,-0.004151,-0.000783,-0.000557,-0.001046,0.032043,-0.001808,-0.005023,-0.000514,-0.001994,0.058228,0.156194,-0.003066,-1e-05,-3e-06,0.0,4.869565,0.020096,0.083597,0.120207
7499,11.2047,59.209999,0.050531,0.048426,0.0,0.0,0.060943,77536.0,0.010714,0.015214,0.008942,0.020554,-0.003453,0.038495,6.743606,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009592,-0.000756,-0.001077,0.0,-0.006012,-0.001223,-0.000919,-0.001774,0.051678,-0.002801,-0.00752,-0.000622,-0.002651,0.103426,0.262288,-0.004879,-1.8e-05,-1.5e-05,0.0,3.666667,0.018434,0.091787,0.153669
7500,16.316044,85.040001,0.067005,0.071315,0.0,0.0,0.060302,79565.0,0.012225,0.020505,0.012592,0.025668,-0.004114,0.049903,6.733321,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012284,-0.000935,-0.001415,0.0,-0.006768,-0.001597,-0.001074,-0.002307,0.071561,-0.003579,-0.00927,-0.00069,-0.002799,0.153428,0.370425,-0.006128,-2.9e-05,-8.3e-05,0.0,4.208333,0.021641,0.081639,0.125467
7501,21.355667,108.82,0.088602,0.091234,0.0,0.0,0.059939,78547.0,0.016582,0.027728,0.020019,0.037724,-0.005635,0.078267,6.730855,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014982,-0.000852,-0.00209,0.0,-0.008771,-0.002023,-0.00137,-0.002633,0.092423,-0.004805,-0.012509,-0.000918,-0.003586,0.198267,0.472623,-0.008009,-4.7e-05,-0.000417,0.0,4.416667,0.020497,0.086147,0.128164
7502,25.099363,130.800003,0.108143,0.111502,0.0,0.0,0.059329,81481.0,0.020547,0.033959,0.021363,0.043446,-0.007222,0.077418,6.789856,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018694,-0.001487,-0.002718,0.0,-0.011475,-0.002628,-0.001974,-0.003773,0.110976,-0.005683,-0.015293,-0.001126,-0.004545,0.239094,0.579726,-0.011192,-5.6e-05,-0.000788,0.0,4.0,0.019829,0.083537,0.123045
7503,30.61496,157.330002,0.127729,0.12823,0.0,0.0,0.058721,77839.0,0.021095,0.037916,0.022454,0.044992,-0.007227,0.091368,6.754745,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024174,-0.00134,-0.002874,0.0,-0.011535,-0.002867,-0.001976,-0.004026,0.133467,-0.006109,-0.01507,-0.00106,-0.004408,0.291779,0.692903,-0.011353,-8.6e-05,-0.000883,0.0,4.25,0.019999,0.08243,0.145552
7504,34.851643,178.740005,0.140851,0.15192,0.0,0.0,0.058381,75676.0,0.025755,0.04688,0.032158,0.057788,-0.009453,0.117681,6.774599,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.027028,-0.001382,-0.003843,0.0,-0.014204,-0.003397,-0.002456,-0.00488,0.154654,-0.007673,-0.019557,-0.001537,-0.005254,0.337032,0.789775,-0.013836,-0.000102,-0.003136,0.0,4.217391,0.0223,0.085351,0.127258
7505,40.108704,205.110001,0.165327,0.170534,0.0,0.0,0.05781,75007.0,0.026977,0.049164,0.035145,0.061443,-0.010111,0.126692,6.735961,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029466,-0.001468,-0.004206,0.0,-0.014926,-0.003656,-0.002579,-0.004914,0.174908,-0.008116,-0.020842,-0.00146,-0.005311,0.385783,0.904625,-0.014399,-0.000108,-0.005075,0.0,4.416667,0.020505,0.078832,0.129726
7506,44.682816,229.419998,0.182314,0.194533,0.0,0.0,0.057217,79791.0,0.03284,0.057257,0.041709,0.073503,-0.012546,0.146787,6.777228,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033726,-0.002034,-0.005186,0.0,-0.018246,-0.004343,-0.003329,-0.006154,0.192834,-0.009673,-0.024593,-0.002021,-0.006057,0.427229,1.004202,-0.01854,-0.000126,-0.004538,0.0,4.608696,0.021387,0.071545,0.120276
