iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.48188,10.22,0.009735,0.009659,0.0,38.347828,0.061475,43871.0,0.003634,0.003415,0.000903,0.002718,-0.00063,0.004988,6.411017,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.00197,-6e-05,-0.00013,-0.006245,-0.002014,-0.000263,-0.000175,-0.000299,0.011122,-0.001239,-0.001797,-0.000371,-0.001081,0.016289,0.050475,-0.000834,-1e-06,0.0,37.913044,3.608696,0.044157,0.110263,0.159084
7498,7.098376,38.25,0.030123,0.03117,0.0,0.0,0.061468,74569.0,0.007254,0.010536,0.005242,0.012016,-0.002087,0.021828,6.8033,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005301,-0.000286,-0.000686,0.0,-0.004139,-0.00078,-0.000554,-0.001039,0.032048,-0.001807,-0.00502,-0.000488,-0.00197,0.058218,0.156242,-0.003054,-1e-05,-3e-06,0.0,4.869565,0.020126,0.083335,0.120131
7499,11.205722,59.209999,0.050509,0.048418,0.0,0.0,0.060835,74807.0,0.010786,0.015261,0.009007,0.020606,-0.003448,0.038469,6.729598,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009587,-0.000764,-0.001336,0.0,-0.005984,-0.001228,-0.000911,-0.001704,0.051654,-0.002803,-0.007418,-0.000612,-0.002605,0.103308,0.262221,-0.004885,-1.8e-05,-1.8e-05,0.0,3.666667,0.018449,0.091591,0.154202
7500,16.305786,85.040001,0.067003,0.071321,0.0,0.0,0.060194,74872.0,0.012172,0.020514,0.012592,0.025695,-0.004115,0.049838,6.717327,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012291,-0.000925,-0.00182,0.0,-0.006768,-0.001598,-0.001076,-0.002278,0.071543,-0.003581,-0.009283,-0.000692,-0.002822,0.153486,0.37047,-0.006132,-2.9e-05,-8.5e-05,0.0,4.208333,0.021702,0.081823,0.125488
7501,21.344522,108.82,0.088598,0.091244,0.0,0.0,0.059824,70546.0,0.016525,0.027522,0.020193,0.037771,-0.005625,0.078495,6.738946,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014976,-0.000837,-0.002547,0.0,-0.00878,-0.002026,-0.001383,-0.00263,0.092401,-0.004869,-0.012404,-0.00083,-0.003482,0.198351,0.472447,-0.00801,-4.7e-05,-0.000418,0.0,4.416667,0.02036,0.086257,0.12747
7502,25.081451,130.800003,0.108124,0.111514,0.0,0.0,0.059406,73948.0,0.020546,0.033897,0.021164,0.043451,-0.007261,0.078129,6.782744,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018692,-0.001493,-0.003697,0.0,-0.011512,-0.002622,-0.001964,-0.003777,0.111041,-0.005678,-0.015365,-0.001091,-0.004571,0.239272,0.579751,-0.011206,-5.3e-05,-0.000773,0.0,4.0,0.019991,0.084141,0.123437
7503,30.607847,157.330002,0.127754,0.128222,0.0,0.0,0.058739,71871.0,0.021053,0.037884,0.022351,0.045029,-0.007246,0.091583,6.759624,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024171,-0.001351,-0.00356,0.0,-0.01158,-0.002878,-0.001975,-0.004063,0.13346,-0.006086,-0.015012,-0.001056,-0.004406,0.291948,0.693155,-0.011405,-8.6e-05,-0.000933,0.0,4.25,0.019926,0.082902,0.145253
7504,34.833221,178.740005,0.141019,0.151912,0.0,0.0,0.058265,75782.0,0.025859,0.046915,0.032182,0.057694,-0.009439,0.117519,6.797522,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.027021,-0.001393,-0.005305,0.0,-0.014246,-0.003403,-0.002445,-0.004784,0.154616,-0.007605,-0.019475,-0.001437,-0.005308,0.336874,0.790333,-0.013841,-0.000107,-0.003381,0.0,4.217391,0.022386,0.086271,0.127255
7505,40.084236,205.110001,0.165299,0.170523,0.0,0.0,0.057826,76419.0,0.027174,0.049421,0.03503,0.061441,-0.010141,0.126862,6.802351,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029445,-0.001434,-0.005664,0.0,-0.015062,-0.003646,-0.002579,-0.004868,0.174813,-0.008005,-0.020832,-0.001437,-0.00535,0.385482,0.905421,-0.014444,-0.00011,-0.005283,0.0,4.416667,0.02034,0.07811,0.129257
7506,44.636192,229.419998,0.182174,0.194519,0.0,0.0,0.057273,75311.0,0.032931,0.057167,0.041374,0.073413,-0.012596,0.147409,6.740413,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033761,-0.002016,-0.007078,0.0,-0.018366,-0.004344,-0.003342,-0.006147,0.192855,-0.009688,-0.024862,-0.001935,-0.006109,0.426841,1.003753,-0.018574,-0.000125,-0.004648,0.0,4.608696,0.021885,0.071952,0.12017
