iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7996,1.484892,10.22,0.009721,0.009722,0.0,38.347828,0.059886,48314.0,0.0034,0.00347,0.000872,0.002658,-0.000621,0.005017,6.319831,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.001953,-6.4e-05,-0.000287,-0.006245,-0.002024,-0.000237,-0.000177,-0.000285,0.011165,-0.001232,-0.001708,-0.000368,-0.001122,0.016331,0.050632,-0.000767,-2e-06,0.0,37.913044,3.608696,0.044258,0.109645,0.15623
7997,7.151498,38.25,0.030454,0.031196,0.0,0.0,0.059863,83228.0,0.007097,0.010277,0.005174,0.012094,-0.002072,0.022366,6.744752,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005146,-0.000295,-0.00149,0.0,-0.004094,-0.000715,-0.000553,-0.001042,0.032105,-0.001709,-0.004827,-0.000461,-0.001985,0.058556,0.157497,-0.002917,-1.4e-05,-7e-06,0.0,4.869565,0.019231,0.084176,0.118305
7998,11.21994,59.32,0.050719,0.048646,0.0,0.0,0.059195,79454.0,0.010451,0.016083,0.00873,0.021078,-0.003624,0.03977,6.663001,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.030245,-0.009388,-0.000773,-0.003133,-0.000417,-0.006049,-0.001176,-0.000983,-0.001859,0.051596,-0.003313,-0.007495,-0.00068,-0.00268,0.104344,0.261381,-0.00494,-2.2e-05,-3e-05,0.041667,3.666667,0.01905,0.095105,0.154963
7999,16.373007,85.040001,0.067649,0.071777,0.0,0.0,0.058644,82108.0,0.012113,0.020691,0.01218,0.025519,-0.004223,0.050941,6.710061,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.011688,-0.000863,-0.004253,0.0,-0.006575,-0.001465,-0.001082,-0.002253,0.0718,-0.003433,-0.008778,-0.00067,-0.002754,0.153502,0.371851,-0.005872,-3.1e-05,-5.6e-05,0.0,4.208333,0.020919,0.079375,0.122285
8000,21.391977,108.82,0.089051,0.091504,0.0,0.0,0.058298,81105.0,0.016083,0.027181,0.019606,0.037725,-0.005772,0.079289,6.720983,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014315,-0.000687,-0.005251,0.0,-0.008634,-0.001876,-0.00139,-0.002733,0.09275,-0.004522,-0.011654,-0.000895,-0.003599,0.1993,0.47612,-0.007692,-4.4e-05,-0.000174,0.0,4.416667,0.019682,0.086564,0.125716
8001,25.193087,130.800003,0.10901,0.111847,0.0,0.0,0.057883,83028.0,0.020108,0.033797,0.021047,0.043669,-0.007424,0.07853,6.776122,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018015,-0.001325,-0.007232,0.0,-0.011174,-0.002432,-0.001948,-0.003635,0.111751,-0.005555,-0.014917,-0.001083,-0.004496,0.240134,0.581281,-0.010729,-7.6e-05,-0.000999,0.0,4.0,0.019476,0.08199,0.120989
8002,30.734999,157.330002,0.127613,0.129044,0.0,0.0,0.057255,79061.0,0.020826,0.03826,0.022284,0.045922,-0.007502,0.093896,6.735456,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.023377,-0.001121,-0.007432,0.0,-0.011254,-0.002625,-0.001979,-0.003907,0.134246,-0.00585,-0.014662,-0.001038,-0.004253,0.292067,0.695301,-0.010906,-6.4e-05,-0.000816,0.0,4.25,0.020396,0.083543,0.142832
8003,35.052113,178.740005,0.14241,0.152939,0.0,0.0,0.056888,82399.0,0.024877,0.046508,0.032187,0.057748,-0.009691,0.118956,6.777406,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.025825,-0.001243,-0.009801,0.0,-0.013815,-0.003131,-0.002376,-0.004594,0.15524,-0.007253,-0.018441,-0.001404,-0.005066,0.338597,0.794232,-0.013157,-9.4e-05,-0.002525,0.0,4.217391,0.021456,0.086278,0.121359
8004,40.254623,205.110001,0.167403,0.171328,0.0,0.0,0.056353,80790.0,0.026125,0.049108,0.035008,0.061706,-0.010165,0.1277,6.791328,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.028163,-0.001266,-0.014862,0.0,-0.014421,-0.003357,-0.002534,-0.004586,0.175915,-0.007547,-0.019346,-0.001356,-0.005157,0.387027,0.910397,-0.013756,-0.000135,-0.004,0.0,4.416667,0.019688,0.07864,0.127502
8005,44.892185,229.419998,0.184968,0.195152,0.0,0.0,0.055727,80144.0,0.032417,0.056898,0.041503,0.074363,-0.012933,0.149961,6.740459,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.032606,-0.001852,-0.013062,0.0,-0.017946,-0.004,-0.003324,-0.006086,0.194299,-0.009058,-0.02329,-0.00205,-0.005948,0.427797,1.010421,-0.017855,-0.000135,-0.005194,0.0,4.608696,0.020673,0.071199,0.11999
8006,49.731922,253.369995,0.203113,0.210141,0.0,0.0,0.055525,81833.0,0.03224,0.061988,0.044489,0.079175,-0.012849,0.163462,6.774129,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.126413,-0.034084,-0.001814,-0.015933,0.0,-0.017295,-0.004287,-0.003219,-0.005838,0.21269,-0.00959,-0.023991,-0.001853,-0.006546,0.479949,1.122534,-0.017799,-0.000167,-0.00893,0.0,4.73913,0.02002,0.092424,0.128452
8007,54.790512,278.609985,0.225486,0.239894,0.0,0.0,0.055391,78266.0,0.035842,0.067392,0.048053,0.087853,-0.014869,0.181084,6.764553,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.13825,-0.039416,-0.002715,-0.016728,0.0,-0.02011,-0.00464,-0.003858,-0.006997,0.234545,-0.010748,-0.02705,-0.002271,-0.007065,0.523702,1.225054,-0.020531,-0.000283,-0.011811,0.0,4.541667,0.019737,0.070783,0.112044
8008,58.972965,301.059998,0.245111,0.255677,0.0,0.0,0.055239,75753.0,0.039191,0.072272,0.04715,0.088837,-0.014282,0.188416,6.763392,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.041582,-0.001755,-0.019012,0.0,-0.01948,-0.004682,-0.003483,-0.006897,0.261131,-0.011186,-0.028172,-0.0025,-0.007682,0.56869,1.337394,-0.01918,-0.00026,-0.010104,0.0,4.625,0.020519,0.079952,0.123289
8009,64.182617,326.589996,0.276694,0.278849,0.0,0.0,0.05525,78269.0,0.044425,0.079177,0.057389,0.109726,-0.018609,0.214198,6.764799,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.16225,-0.046104,-0.003471,-0.020252,0.0,-0.023158,-0.005589,-0.004704,-0.008219,0.275406,-0.012815,-0.031773,-0.002606,-0.007779,0.60912,1.436055,-0.02501,-0.000249,-0.017092,0.0,4.708333,0.016574,0.071905,0.124574
8010,67.34304,350.410004,0.254298,0.286967,0.0,0.0,0.055173,78905.0,0.055088,0.086384,0.067886,0.138768,-0.023566,0.252573,6.771129,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.174456,-0.050067,-0.005201,-0.028903,0.0,-0.031429,-0.006435,-0.005908,-0.011095,0.283344,-0.014422,-0.039822,-0.003602,-0.010272,0.640454,1.535396,-0.032216,-0.000326,-0.029107,0.0,4.565217,0.024763,0.101196,0.12787
8011,73.185013,373.079987,0.315329,0.313877,0.0,0.0,0.055083,79896.0,0.048472,0.089265,0.064092,0.113953,-0.019871,0.225114,6.739574,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.186391,-0.052442,-0.003903,-0.020056,0.0,-0.025186,-0.006181,-0.004898,-0.008996,0.312692,-0.014102,-0.034953,-0.00248,-0.008287,0.704266,1.658667,-0.027097,-0.000344,-0.018928,0.0,4.434783,0.017192,0.075711,0.126598
8012,77.657104,395.809998,0.32116,0.340391,0.0,0.0,0.054918,79561.0,0.053525,0.09492,0.066916,0.131684,-0.021263,0.261715,6.684251,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.054357,-0.003544,-0.028088,0.0,-0.028586,-0.006693,-0.005492,-0.010243,0.334845,-0.015026,-0.039715,-0.002798,-0.009531,0.744804,1.763217,-0.029925,-0.000354,-0.030368,0.0,4.041667,0.022422,0.086481,0.111158
8013,81.821236,420.980011,0.33178,0.358108,0.0,0.0,0.05493,82075.0,0.058106,0.100454,0.077108,0.139607,-0.023736,0.276797,6.739183,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.209886,-0.056865,-0.004169,-0.030247,0.0,-0.031313,-0.00705,-0.005792,-0.01095,0.353232,-0.01571,-0.039912,-0.003165,-0.010674,0.784197,1.867741,-0.032264,-0.000505,-0.039863,0.0,5.090909,0.020278,0.074735,0.121964
8014,87.018295,444.25,0.375764,0.382927,0.0,0.0,0.054843,80946.0,0.064486,0.106662,0.08746,0.164604,-0.029061,0.31488,6.671539,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222218,-0.062919,-0.0067,-0.038647,0.0,-0.037647,-0.008022,-0.007498,-0.012831,0.367305,-0.017212,-0.044595,-0.00323,-0.011613,0.826826,1.972278,-0.0389,-0.000455,-0.038345,0.0,4.26087,0.020115,0.082529,0.140375
8015,91.407913,466.98999,0.388026,0.389854,0.0,0.0,0.054705,83730.0,0.064939,0.111388,0.081667,0.159866,-0.027478,0.322101,6.663858,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.234239,-0.070683,-0.004607,-0.027367,0.0,-0.035311,-0.007963,-0.006625,-0.012288,0.389397,-0.018099,-0.046302,-0.004036,-0.011569,0.875884,2.08073,-0.037209,-0.000336,-0.029621,0.0,4.190476,0.021807,0.076006,0.139662
