iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.836696,15.68,0.008824,0.007979,1.217391,38.391304,0.976635,45578.0,0.009093,0.020617,0.00066,0.004737,-0.001863,0.00168,11.38665,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005859,-5.8e-05,-4.1e-05,0.0,-0.013299,-0.005987,-0.039084,-0.002575,-0.000364,0.008901,-0.004914,-0.001285,-0.003257,-0.001597,0.010391,0.002897,-0.013734,-1.8e-05,-3.9e-05,38.0,3.608696,0.050656,0.140696,0.307543
1,-2.24252,40.470001,0.022403,0.019143,12.125,0.041667,0.949564,72013.0,0.023107,0.057874,0.003911,0.014962,-0.004719,0.006766,10.653407,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.01626,-0.000165,-0.000231,0.0,-0.029174,-0.014292,-0.115288,-0.007041,-0.000886,0.02322,-0.013333,-0.003388,-0.007214,-0.003851,0.029301,0.008422,-0.038996,-0.000153,-0.000696,0.0,4.5,0.033101,0.133531,0.635089
2,-2.606036,60.18,0.035127,0.031969,9.791667,0.0,0.920881,46065.0,0.036748,0.095238,0.005797,0.023317,-0.007023,0.009498,10.669701,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026511,-0.000266,-0.000448,0.0,-0.029556,-0.022658,-0.179977,-0.011325,-0.00149,0.036996,-0.019572,-0.005462,-0.0118,-0.006088,0.04638,0.014233,-0.060761,-0.000451,-0.002128,0.0,3.416667,0.032676,0.134214,0.649203
3,-2.79008,78.330002,0.049169,0.049279,9.166667,0.0,0.898922,37613.0,0.051298,0.133817,0.007772,0.033317,-0.009476,0.01426,10.605837,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037271,-0.000371,-0.000618,0.0,-0.027971,-0.031365,-0.242328,-0.015558,-0.002163,0.052117,-0.026637,-0.007675,-0.016508,-0.008437,0.066124,0.020051,-0.082049,-0.001008,-0.004117,0.0,3.958333,0.032391,0.129694,0.601116
4,-2.945319,91.949997,0.054891,0.056717,9.75,0.0,0.873419,47033.0,0.054455,0.15049,0.008663,0.037962,-0.010659,0.018028,10.579211,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.041676,-0.000409,-0.000647,0.0,-0.029077,-0.035393,-0.260691,-0.017287,-0.002434,0.059771,-0.029425,-0.008372,-0.018799,-0.009669,0.075802,0.02177,-0.088368,-0.001262,-0.005104,0.0,3.958333,0.031874,0.130996,0.635184
5,-3.816478,121.0,0.069117,0.076125,7.25,0.0,0.853246,68349.0,0.076728,0.20332,0.011727,0.04666,-0.013787,0.020529,10.535435,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.055261,-0.000535,-0.000951,0.0,-0.027795,-0.045834,-0.333628,-0.022274,-0.003226,0.079275,-0.037826,-0.011039,-0.024485,-0.012407,0.095884,0.029407,-0.113304,-0.001603,-0.008184,0.0,3.25,0.032223,0.135999,0.58036
6,-3.693957,134.800003,0.082801,0.08864,6.791667,0.0,0.829387,75353.0,0.085377,0.236609,0.012832,0.054486,-0.015154,0.023647,10.507542,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065638,-0.000634,-0.001105,0.0,-0.026463,-0.053374,-0.381636,-0.026009,-0.003906,0.092041,-0.043867,-0.012823,-0.028548,-0.014485,0.121177,0.037329,-0.129831,-0.002249,-0.012884,0.0,3.375,0.031169,0.146441,0.554048
7,-3.27743,157.720001,0.102768,0.105824,5.375,0.0,0.805493,77808.0,0.100212,0.278507,0.014583,0.064597,-0.018419,0.030332,10.477172,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077288,-0.000749,-0.001279,0.0,-0.025736,-0.064605,-0.431915,-0.03018,-0.004538,0.110263,-0.050995,-0.015088,-0.03409,-0.017673,0.145097,0.044705,-0.147404,-0.003349,-0.013172,0.0,2.958333,0.029051,0.133545,0.571547
8,-2.7097,163.770004,0.101376,0.109488,6.625,0.0,0.780044,79650.0,0.100789,0.28193,0.01459,0.062013,-0.017629,0.028349,10.468155,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078292,-0.000758,-0.001323,0.0,-0.027367,-0.063,-0.419361,-0.029795,-0.004507,0.108889,-0.051305,-0.014687,-0.033331,-0.0171,0.151965,0.045621,-0.143539,-0.003632,-0.013038,0.0,3.25,0.029449,0.135696,0.581748
9,-2.831725,174.009995,0.109458,0.117821,6.583333,0.0,0.758054,77327.0,0.112229,0.30506,0.016836,0.067475,-0.019845,0.029041,10.403378,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.085878,-0.000815,-0.001374,0.0,-0.027521,-0.069221,-0.44258,-0.031708,-0.004818,0.123057,-0.053935,-0.016247,-0.034798,-0.019244,0.158556,0.051108,-0.151806,-0.005168,-0.017521,0.0,3.333333,0.029191,0.142786,0.598704
10,-2.433502,204.429993,0.112585,0.134288,5.375,0.0,0.742434,77265.0,0.125061,0.330216,0.018047,0.075482,-0.021183,0.03227,10.385366,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.094265,-0.000888,-0.001537,0.0,-0.026457,-0.0763,-0.469126,-0.034528,-0.005378,0.135261,-0.057279,-0.017759,-0.038462,-0.021214,0.166699,0.060184,-0.161319,-0.005722,-0.019319,0.0,2.875,0.030116,0.147512,0.557351
