iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.015571,18.01,0.008621,0.0087,1.5,39.5,0.976965,46181.0,0.009071,0.020279,0.000826,0.005587,-0.001872,0.002259,11.388698,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005937,-6e-05,-3.9e-05,0.0,-0.012108,-0.006189,-0.042114,-0.002677,-0.000386,0.009078,-0.004989,-0.001259,-0.003366,-0.00167,0.010311,0.002968,-0.014442,-2.3e-05,-4.6e-05,39.272728,4.272727,0.049147,0.129361,0.272467
1,-2.171405,41.060001,0.022254,0.01901,11.791667,0.0,0.94923,70461.0,0.024968,0.05623,0.003875,0.016678,-0.004651,0.006614,10.652945,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015896,-0.000163,-0.00023,0.0,-0.030311,-0.014181,-0.111585,-0.006857,-0.000848,0.022703,-0.012834,-0.003341,-0.00711,-0.003845,0.024576,0.008072,-0.037825,-0.000148,-0.000842,0.0,4.0,0.031944,0.132592,0.645136
2,-2.888349,62.919998,0.034916,0.033477,9.75,0.0,0.921833,74852.0,0.040369,0.096227,0.005912,0.027043,-0.007019,0.010762,10.656563,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02715,-0.000275,-0.00045,0.0,-0.029036,-0.022743,-0.184654,-0.011512,-0.001551,0.0373,-0.020086,-0.005502,-0.012108,-0.006136,0.042582,0.015163,-0.062292,-0.000419,-0.001804,0.0,3.5,0.034251,0.131568,0.625203
3,-2.91164,80.400002,0.04518,0.047405,8.083334,0.0,0.892339,75754.0,0.050713,0.131328,0.007227,0.035353,-0.009269,0.016773,10.599211,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036211,-0.000357,-0.000562,0.0,-0.02658,-0.031408,-0.235912,-0.015034,-0.002145,0.051643,-0.026045,-0.007406,-0.016553,-0.008496,0.061723,0.019248,-0.079764,-0.000603,-0.00342,0.0,4.25,0.033565,0.13918,0.584767
4,-3.265045,98.470001,0.057886,0.060859,8.708334,0.0,0.863479,75500.0,0.06323,0.163934,0.00853,0.041518,-0.010715,0.017772,10.556881,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045318,-0.000448,-0.000777,0.0,-0.027562,-0.036994,-0.284581,-0.018527,-0.002681,0.062204,-0.031952,-0.008924,-0.019984,-0.01001,0.075808,0.024274,-0.096353,-0.000995,-0.004391,0.0,4.0,0.032464,0.151823,0.605629
5,-3.368514,116.690002,0.069053,0.074488,6.875,0.0,0.840844,69947.0,0.077726,0.196262,0.010683,0.051311,-0.013065,0.021782,10.491878,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.054704,-0.000534,-0.000818,0.0,-0.02687,-0.045824,-0.327923,-0.02206,-0.003254,0.077156,-0.036942,-0.010929,-0.024068,-0.012476,0.09136,0.030135,-0.111319,-0.001993,-0.007978,0.0,3.375,0.031753,0.138112,0.587891
6,-4.011834,142.800003,0.082944,0.091506,5.791667,0.0,0.814214,69772.0,0.09791,0.238713,0.013234,0.064575,-0.016471,0.025166,10.476259,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.066082,-0.000646,-0.00111,0.0,-0.026353,-0.057441,-0.379362,-0.02669,-0.003944,0.09677,-0.043786,-0.013115,-0.029128,-0.015555,0.096696,0.037529,-0.129226,-0.00281,-0.010114,0.0,2.958333,0.032666,0.122927,0.559767
7,-3.135151,156.759995,0.095964,0.097932,6.083333,0.0,0.791392,70095.0,0.09519,0.254666,0.01334,0.062392,-0.01585,0.028711,10.438158,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071243,-0.000684,-0.001216,0.0,-0.027337,-0.054405,-0.393357,-0.027969,-0.004168,0.096984,-0.047142,-0.013949,-0.030338,-0.014907,0.128342,0.040022,-0.134449,-0.003451,-0.01399,0.0,2.791667,0.029854,0.145975,0.583492
8,-3.063773,165.869995,0.104831,0.115262,6.333333,0.0,0.76842,76006.0,0.114815,0.290756,0.015007,0.073771,-0.018642,0.031166,10.399611,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082041,-0.000786,-0.00146,0.0,-0.02528,-0.06603,-0.435409,-0.030829,-0.004717,0.116283,-0.051767,-0.015492,-0.033446,-0.018069,0.138236,0.049478,-0.149031,-0.004418,-0.014314,0.0,3.666667,0.031008,0.143775,0.550304
9,-2.287081,170.75,0.114669,0.125903,5.083333,0.0,0.748407,75860.0,0.128089,0.321103,0.017806,0.079949,-0.020683,0.035806,10.384181,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.09052,-0.000843,-0.001404,0.0,-0.024644,-0.07057,-0.459235,-0.033686,-0.005212,0.128572,-0.057343,-0.018028,-0.037891,-0.019262,0.148905,0.053273,-0.157662,-0.004657,-0.018906,0.0,2.625,0.029946,0.138269,0.559084
