iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.483438,10.22,0.009737,0.009659,0.0,38.347828,0.061472,47627.0,0.003635,0.003416,0.000896,0.002721,-0.00063,0.004986,6.417537,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.001971,-6e-05,0.0,-0.006245,-0.002033,-0.000263,-0.000177,-0.000305,0.011121,-0.00124,-0.001794,-0.000375,-0.001084,0.016289,0.050456,-0.000833,-1e-06,0.0,37.913044,3.608696,0.044131,0.110287,0.159115
7498,7.113546,38.25,0.030129,0.03117,0.0,0.0,0.061452,77593.0,0.007251,0.010521,0.005229,0.012017,-0.002086,0.021854,6.775953,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.00531,-0.000289,0.0,0.0,-0.004157,-0.000779,-0.000558,-0.001039,0.032038,-0.0018,-0.005016,-0.000492,-0.001989,0.058224,0.156305,-0.00305,-1e-05,-3e-06,0.0,4.869565,0.020116,0.083358,0.12002
7499,11.227558,59.209999,0.05051,0.048415,0.0,0.0,0.060838,81356.0,0.010668,0.015298,0.008987,0.020613,-0.003453,0.038592,6.705478,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009596,-0.000751,0.0,0.0,-0.006074,-0.001227,-0.000917,-0.001724,0.051658,-0.002793,-0.007455,-0.000682,-0.002653,0.103445,0.26225,-0.004889,-1.9e-05,-1.8e-05,0.0,3.666667,0.018335,0.092178,0.154153
7500,16.338867,85.040001,0.067038,0.07132,0.0,0.0,0.060196,80929.0,0.012133,0.020504,0.01256,0.025669,-0.004121,0.049978,6.722547,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012298,-0.000933,0.0,0.0,-0.006776,-0.001591,-0.001076,-0.002279,0.071557,-0.003607,-0.009217,-0.000701,-0.002821,0.153518,0.370088,-0.006141,-3e-05,-0.000105,0.0,4.208333,0.021581,0.081614,0.125887
7501,21.401503,108.82,0.088643,0.091258,0.0,0.0,0.059859,81731.0,0.016654,0.027576,0.019831,0.037658,-0.005629,0.078437,6.755126,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014953,-0.00085,0.0,0.0,-0.008831,-0.002016,-0.001377,-0.002694,0.092433,-0.004795,-0.012462,-0.000905,-0.003492,0.19824,0.472757,-0.007997,-4.7e-05,-0.000394,0.0,4.416667,0.020337,0.086064,0.127741
7502,25.177174,130.800003,0.108104,0.111493,0.0,0.0,0.059351,84486.0,0.020481,0.033696,0.02118,0.043461,-0.007245,0.077967,6.803773,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018705,-0.001487,0.0,0.0,-0.011463,-0.002612,-0.001957,-0.003698,0.111065,-0.005667,-0.015308,-0.001101,-0.004518,0.239229,0.580295,-0.011191,-5.5e-05,-0.000807,0.0,4.0,0.019963,0.084045,0.122908
7503,30.691328,157.330002,0.127741,0.128236,0.0,0.0,0.058834,81686.0,0.020882,0.037888,0.022541,0.04518,-0.007245,0.092006,6.723996,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024191,-0.001354,0.0,0.0,-0.011413,-0.002873,-0.001985,-0.004013,0.133454,-0.006148,-0.015044,-0.001058,-0.004305,0.292161,0.692552,-0.01138,-8.6e-05,-0.000891,0.0,4.25,0.019837,0.082638,0.145256
7504,34.911884,178.740005,0.140909,0.151946,0.0,0.0,0.058445,83804.0,0.025789,0.046878,0.032241,0.057823,-0.00946,0.117443,6.788444,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.027027,-0.001372,0.0,0.0,-0.01429,-0.003413,-0.002487,-0.004848,0.154593,-0.00765,-0.019694,-0.001517,-0.005188,0.33709,0.789927,-0.013917,-0.000105,-0.003248,0.0,4.217391,0.022509,0.086414,0.127079
7505,40.179287,205.110001,0.165406,0.170531,0.0,0.0,0.057901,78425.0,0.027217,0.049208,0.034954,0.061597,-0.010116,0.126745,6.755998,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029516,-0.001457,0.0,0.0,-0.015044,-0.003648,-0.002586,-0.00488,0.174912,-0.008122,-0.020785,-0.001454,-0.005308,0.385092,0.904685,-0.014468,-0.00011,-0.005215,0.0,4.416667,0.020347,0.078025,0.129754
7506,44.80328,229.419998,0.182222,0.194494,0.0,0.0,0.057294,80385.0,0.032774,0.057375,0.041978,0.07356,-0.012533,0.147021,6.758045,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033722,-0.002037,0.0,0.0,-0.018329,-0.004341,-0.003325,-0.006057,0.192967,-0.009633,-0.024521,-0.001891,-0.006061,0.427024,1.004243,-0.018527,-0.000126,-0.004385,0.0,4.608696,0.021783,0.072119,0.119954
