iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.954778,12.1,0.010043,0.010396,0.0,39.409092,0.061178,48552.0,0.003384,0.003603,0.000792,0.003311,-0.000704,0.006448,6.574776,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006113,-0.001959,-3.7e-05,0.0,-0.005335,-0.002205,-0.000301,-0.000183,-0.00035,0.011223,-0.00114,-0.00194,-0.00035,-0.0012,0.016084,0.051797,-0.00089,-1e-06,0.0,39.318184,4.272727,0.041469,0.093844,0.134779
7498,7.185027,38.59,0.030511,0.030519,0.0,0.0,0.061243,70800.0,0.008073,0.010118,0.005155,0.013622,-0.002183,0.023912,7.051796,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018457,-0.006069,-0.000307,0.0,0.0,-0.004357,-0.000777,-0.000567,-0.001069,0.031656,-0.001848,-0.005005,-0.000475,-0.001946,0.055715,0.157419,-0.003113,-9e-06,-2e-06,0.0,4.391304,0.018827,0.093728,0.131188
7499,11.091056,58.919998,0.048142,0.049358,0.0,0.0,0.060619,82418.0,0.011503,0.016146,0.009324,0.023803,-0.003682,0.041746,6.966727,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.030182,-0.009536,-0.000631,0.0,0.0,-0.006468,-0.001292,-0.001083,-0.00188,0.050295,-0.002854,-0.007788,-0.00072,-0.002521,0.098928,0.259955,-0.005684,-1.8e-05,-4.6e-05,0.0,3.954545,0.021902,0.084098,0.146071
7500,16.630747,86.400002,0.068326,0.069699,0.0,0.0,0.059992,77332.0,0.013666,0.022206,0.014268,0.031792,-0.005015,0.061323,6.991409,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012326,-0.000861,0.0,0.0,-0.007975,-0.001732,-0.001418,-0.002433,0.071324,-0.00397,-0.01056,-0.000882,-0.003068,0.148498,0.365216,-0.007531,-2.8e-05,-9.2e-05,0.0,4.583333,0.020149,0.092814,0.137787
7501,21.256596,109.639999,0.091143,0.094398,0.0,0.0,0.059428,77288.0,0.016388,0.027733,0.017734,0.037625,-0.006075,0.072521,6.962327,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.016181,-0.001038,0.0,0.0,-0.009342,-0.002136,-0.001621,-0.002984,0.091346,-0.004706,-0.011698,-0.001,-0.003396,0.195354,0.473803,-0.009127,-3.9e-05,-0.00036,0.0,4.708333,0.018943,0.067918,0.103721
7502,25.775509,132.220001,0.111797,0.109673,0.0,0.0,0.058996,72538.0,0.020349,0.03279,0.021434,0.047086,-0.007742,0.095794,6.945343,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.06625,-0.021411,-0.001265,0.0,0.0,-0.012243,-0.002644,-0.002035,-0.003924,0.111919,-0.005812,-0.01398,-0.00137,-0.004438,0.238508,0.579934,-0.011472,-8.1e-05,-0.001218,0.0,4.083333,0.018132,0.079502,0.14379
7503,30.333261,155.779999,0.126302,0.133522,0.0,0.0,0.058484,74679.0,0.023033,0.040832,0.026598,0.059215,-0.009681,0.110076,6.996547,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.078261,-0.023397,-0.002062,0.0,0.0,-0.013839,-0.00324,-0.002812,-0.004783,0.129665,-0.007096,-0.018112,-0.001496,-0.004548,0.286415,0.680657,-0.014805,-7e-05,-0.001476,0.0,4.130435,0.021015,0.079312,0.120034
7504,35.240734,179.940002,0.143944,0.157312,0.0,0.0,0.057871,76900.0,0.027356,0.045633,0.031165,0.065571,-0.010674,0.124718,6.9957,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090152,-0.02591,-0.002188,0.0,0.0,-0.015639,-0.003648,-0.002926,-0.00541,0.151403,-0.008089,-0.020377,-0.001678,-0.005186,0.330248,0.786012,-0.01611,-9.7e-05,-0.001882,0.0,4.086957,0.021512,0.069569,0.112448
7505,40.264034,204.410004,0.171699,0.171665,0.0,0.0,0.057288,69162.0,0.029718,0.050632,0.036373,0.075854,-0.012173,0.153485,7.005908,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.030886,-0.00225,0.0,0.0,-0.017727,-0.003983,-0.003199,-0.005755,0.170531,-0.008706,-0.023063,-0.001703,-0.006148,0.378465,0.897523,-0.01767,-0.000156,-0.004857,0.0,4.583333,0.01904,0.078557,0.130535
7506,44.287647,226.529999,0.177556,0.187919,0.0,0.0,0.056728,70137.0,0.030146,0.055942,0.039645,0.075936,-0.011998,0.154077,7.011449,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114109,-0.032836,-0.001693,0.0,0.0,-0.016618,-0.004195,-0.003073,-0.005703,0.191377,-0.009085,-0.023234,-0.001702,-0.005177,0.428908,1.008808,-0.017713,-0.000123,-0.004798,0.0,3.869565,0.022609,0.090005,0.139626
7507,49.915821,253.050003,0.196512,0.208033,0.0,0.0,0.056625,67103.0,0.038212,0.063076,0.049602,0.100383,-0.01646,0.19731,7.008053,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.12625,-0.037069,-0.003071,0.0,0.0,-0.023168,-0.005004,-0.004214,-0.007659,0.210665,-0.01108,-0.028207,-0.002386,-0.00771,0.469591,1.10433,-0.023256,-0.000205,-0.007494,0.0,4.541667,0.023362,0.086515,0.137646
7508,54.596748,275.600006,0.230805,0.23542,0.0,0.0,0.056481,67624.0,0.035196,0.06608,0.048861,0.092323,-0.015283,0.197661,6.992188,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.138369,-0.039768,-0.002573,0.0,0.0,-0.02183,-0.005109,-0.003861,-0.007446,0.232648,-0.011331,-0.028796,-0.001994,-0.00729,0.52658,1.223113,-0.022298,-0.000164,-0.010921,0.0,4.0,0.019903,0.087151,0.128077
7509,58.963272,300.850006,0.241505,0.248743,0.0,0.0,0.056337,74796.0,0.038963,0.073731,0.04528,0.096683,-0.015793,0.191336,7.081874,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.044266,-0.003424,0.0,0.0,-0.021763,-0.005577,-0.004262,-0.008056,0.24952,-0.012206,-0.029318,-0.002323,-0.007213,0.564497,1.327331,-0.023872,-0.000113,-0.00935,0.0,3.958333,0.021927,0.084168,0.125487
7510,63.894302,325.170013,0.262356,0.282578,0.0,0.0,0.056288,76545.0,0.045995,0.076171,0.053875,0.10928,-0.017885,0.218075,7.056827,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.16225,-0.047205,-0.003017,0.0,0.0,-0.025598,-0.006135,-0.005087,-0.009199,0.270608,-0.013482,-0.03663,-0.002633,-0.008189,0.602112,1.432889,-0.027413,-0.000213,-0.016861,0.0,4.625,0.019121,0.071681,0.112478
7511,68.503883,349.279999,0.28133,0.295945,0.0,0.0,0.056165,69871.0,0.04659,0.084515,0.0565,0.121505,-0.020088,0.247686,7.060304,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.17425,-0.054799,-0.004693,0.0,0.0,-0.029908,-0.0068,-0.005547,-0.010477,0.290059,-0.0144,-0.038236,-0.002715,-0.010077,0.653563,1.537574,-0.030146,-0.000294,-0.020569,0.0,4.833333,0.019408,0.073514,0.120535
7512,72.512131,372.670013,0.28463,0.308474,0.0,0.0,0.056062,64078.0,0.053869,0.090632,0.065721,0.143279,-0.024083,0.265957,6.996612,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.18625,-0.057637,-0.005229,0.0,0.0,-0.031912,-0.007485,-0.006656,-0.011748,0.300211,-0.016221,-0.041922,-0.003093,-0.009261,0.69162,1.634144,-0.036484,-0.000284,-0.026761,0.0,4.208333,0.023079,0.088736,0.16249
7513,77.004524,395.5,0.310608,0.328802,0.0,0.0,0.056001,65684.0,0.059219,0.0977,0.070949,0.150856,-0.02541,0.293135,7.065165,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.058044,-0.006194,0.0,0.0,-0.037388,-0.007918,-0.006854,-0.012778,0.325286,-0.016271,-0.046304,-0.003813,-0.013893,0.731351,1.749625,-0.037655,-0.000369,-0.031161,0.0,3.833333,0.022082,0.08031,0.142181
7514,82.946854,422.100006,0.338221,0.355573,0.0,0.0,0.055936,71624.0,0.058183,0.101749,0.077352,0.144627,-0.022875,0.302338,7.048279,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.21025,-0.058802,-0.004199,0.0,0.0,-0.031284,-0.007613,-0.005952,-0.011007,0.347051,-0.017186,-0.044571,-0.003231,-0.01041,0.789297,1.857698,-0.032561,-0.000354,-0.031023,0.0,4.791667,0.02208,0.09663,0.126955
