iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.487741,10.22,0.009736,0.009659,0.0,38.347828,0.061482,48106.0,0.003634,0.003419,0.000896,0.002721,-0.000408,0.004991,6.415138,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.00197,-6e-05,0.0,-0.006245,-0.002028,-0.000263,-0.000176,-0.000303,0.011121,-0.001245,-0.001787,-0.000373,-0.001024,0.016291,0.050411,-0.000833,-1e-06,0.0,37.913044,3.608696,0.044145,0.11029,0.159114
7498,7.134596,38.25,0.030127,0.03117,0.0,0.0,0.061546,82796.0,0.007259,0.01055,0.005241,0.012016,-0.001206,0.021837,6.798468,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005302,-0.00029,0.0,0.0,-0.004129,-0.000781,-0.000557,-0.001034,0.032047,-0.001797,-0.005033,-0.000493,-0.001827,0.058205,0.156322,-0.003056,-1e-05,-3e-06,0.0,4.869565,0.020145,0.083412,0.12023
7499,11.267589,59.209999,0.050532,0.048423,0.0,0.0,0.06098,80819.0,0.010692,0.015251,0.009012,0.020636,-0.002001,0.038525,6.72613,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009585,-0.000745,0.0,0.0,-0.00595,-0.001229,-0.000919,-0.001725,0.051637,-0.002799,-0.007513,-0.000624,-0.002498,0.103511,0.262218,-0.0049,-1.8e-05,-1.8e-05,0.0,3.666667,0.018406,0.091421,0.154119
7500,16.375221,85.040001,0.067005,0.07133,0.0,0.0,0.060348,80329.0,0.01216,0.020516,0.012638,0.025708,-0.002384,0.049961,6.746177,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012301,-0.000931,0.0,0.0,-0.006785,-0.001597,-0.001086,-0.002259,0.071537,-0.003575,-0.009389,-0.000667,-0.002654,0.153453,0.370297,-0.006159,-3e-05,-8.6e-05,0.0,4.208333,0.021544,0.08129,0.125442
7501,21.441181,108.82,0.08857,0.091237,0.0,0.0,0.06001,79920.0,0.016594,0.027573,0.019985,0.037684,-0.003188,0.078128,6.754289,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014966,-0.000842,0.0,0.0,-0.008822,-0.002026,-0.001381,-0.002682,0.092396,-0.004867,-0.012529,-0.000905,-0.003313,0.198334,0.472369,-0.007998,-4.8e-05,-0.000394,0.0,4.416667,0.020476,0.086251,0.12798
7502,25.211632,130.800003,0.108103,0.111532,0.0,0.0,0.05944,82009.0,0.020683,0.034017,0.021152,0.043486,-0.004271,0.077576,6.799485,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018681,-0.001491,0.0,0.0,-0.011362,-0.002626,-0.001974,-0.003816,0.111056,-0.005738,-0.015351,-0.001146,-0.004407,0.239026,0.579357,-0.011194,-5.5e-05,-0.000762,0.0,4.0,0.019944,0.084421,0.123401
7503,30.748569,157.330002,0.127768,0.128238,0.0,0.0,0.058799,79989.0,0.02092,0.038051,0.022462,0.04515,-0.004181,0.091657,6.762523,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024207,-0.001372,0.0,0.0,-0.011623,-0.002875,-0.001994,-0.004117,0.133454,-0.006093,-0.015064,-0.001075,-0.004144,0.292123,0.693077,-0.011382,-8.5e-05,-0.00088,0.0,4.25,0.019608,0.082465,0.145741
7504,35.007824,178.740005,0.140911,0.151919,0.0,0.0,0.058398,82452.0,0.025782,0.047056,0.032086,0.057739,-0.005418,0.117497,6.789741,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.02702,-0.001377,0.0,0.0,-0.01439,-0.003426,-0.002468,-0.00489,0.154661,-0.007636,-0.019695,-0.0015,-0.00503,0.337061,0.789989,-0.013944,-0.000103,-0.003415,0.0,4.217391,0.021897,0.086039,0.127461
7505,40.268726,205.110001,0.16533,0.170528,0.0,0.0,0.057851,79175.0,0.027075,0.049614,0.035043,0.061382,-0.005746,0.126472,6.763847,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029477,-0.001455,0.0,0.0,-0.014867,-0.003659,-0.002563,-0.004862,0.174882,-0.008098,-0.020776,-0.001455,-0.004905,0.385528,0.904262,-0.014447,-0.000108,-0.005055,0.0,4.416667,0.020503,0.078239,0.129787
7506,44.889046,229.419998,0.182245,0.194525,0.0,0.0,0.057198,82311.0,0.032775,0.056949,0.041785,0.073567,-0.007206,0.147208,6.780175,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033795,-0.002051,0.0,0.0,-0.018024,-0.004347,-0.00335,-0.006179,0.192879,-0.009714,-0.024576,-0.001977,-0.005661,0.426991,1.003756,-0.018559,-0.000124,-0.004346,0.0,4.608696,0.021783,0.072817,0.119979
7507,49.732731,253.369995,0.201683,0.209911,0.0,0.0,0.057026,81922.0,0.033681,0.061265,0.043697,0.078081,-0.007281,0.160131,6.795072,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.126413,-0.035335,-0.002016,0.0,0.0,-0.017921,-0.004668,-0.003273,-0.006281,0.210525,-0.010194,-0.025603,-0.001724,-0.00639,0.477437,1.117589,-0.01864,-0.000169,-0.009137,0.0,4.73913,0.021304,0.088857,0.130835
7508,54.876148,278.609985,0.22304,0.238351,0.0,0.0,0.056878,77016.0,0.036779,0.067772,0.04839,0.087521,-0.008477,0.178384,6.82109,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.13825,-0.041176,-0.00289,0.0,0.0,-0.020625,-0.005094,-0.003913,-0.006971,0.232942,-0.011246,-0.028167,-0.002254,-0.007015,0.521172,1.219609,-0.021532,-0.000257,-0.010675,0.0,4.541667,0.019934,0.072853,0.118147
7509,59.244522,301.059998,0.242826,0.254091,0.0,0.0,0.056784,77708.0,0.039621,0.071916,0.047467,0.088639,-0.008031,0.186998,6.834839,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.043643,-0.001999,0.0,0.0,-0.020183,-0.005157,-0.003533,-0.007168,0.260173,-0.011577,-0.030214,-0.002464,-0.006968,0.568882,1.333622,-0.020349,-0.0002,-0.011575,0.0,4.625,0.021094,0.079099,0.128148
7510,64.327675,326.73999,0.273735,0.277218,0.0,0.0,0.056775,78664.0,0.045221,0.077969,0.058157,0.109574,-0.010608,0.213396,6.852322,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.16225,-0.048424,-0.003878,0.0,0.0,-0.024186,-0.006077,-0.004836,-0.008522,0.273186,-0.013551,-0.032756,-0.002515,-0.007715,0.607281,1.429146,-0.026567,-0.000187,-0.019671,0.0,4.75,0.017166,0.073294,0.128989
7511,67.369606,350.410004,0.251433,0.286108,0.0,0.0,0.056557,78518.0,0.056795,0.086674,0.06671,0.136911,-0.013431,0.247389,6.808557,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.174456,-0.052412,-0.005571,0.0,0.0,-0.032538,-0.007085,-0.006184,-0.011582,0.283143,-0.015265,-0.041376,-0.003319,-0.010751,0.636284,1.527345,-0.034056,-0.000243,-0.031307,0.0,4.565217,0.02512,0.101277,0.134079
7512,73.145241,373.079987,0.312499,0.311252,0.0,0.0,0.056261,81126.0,0.049523,0.089463,0.064025,0.113843,-0.011267,0.223272,6.756996,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.186391,-0.055161,-0.004296,0.0,0.0,-0.025892,-0.006768,-0.005071,-0.009185,0.312457,-0.014979,-0.0368,-0.002533,-0.008077,0.701721,1.650935,-0.028715,-0.000269,-0.024227,0.0,4.434783,0.018286,0.079738,0.126557
7513,77.942841,395.809998,0.318522,0.339796,0.0,0.0,0.056178,79803.0,0.053465,0.095251,0.066686,0.130853,-0.011871,0.258054,6.7835,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.056955,-0.003777,0.0,0.0,-0.028957,-0.007331,-0.005611,-0.010492,0.33327,-0.015598,-0.041777,-0.002732,-0.009396,0.743639,1.756354,-0.031554,-0.000202,-0.027599,0.0,4.041667,0.023596,0.083045,0.112547
7514,81.889221,420.980011,0.328078,0.356109,0.0,0.0,0.055949,81028.0,0.059355,0.102001,0.076712,0.137451,-0.013298,0.270347,6.784051,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.209886,-0.059836,-0.004536,0.0,0.0,-0.031943,-0.007753,-0.005896,-0.011296,0.351028,-0.016563,-0.041803,-0.003209,-0.01064,0.781358,1.85811,-0.03393,-0.000421,-0.039049,0.0,5.090909,0.023521,0.07742,0.1343
7515,87.160332,444.25,0.376955,0.381456,0.0,0.0,0.055898,79638.0,0.06514,0.106196,0.084416,0.161184,-0.016019,0.305241,6.822413,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222218,-0.066183,-0.006893,0.0,0.0,-0.037517,-0.008806,-0.007711,-0.013255,0.366279,-0.018046,-0.046595,-0.003312,-0.011133,0.824798,1.964247,-0.041079,-0.00033,-0.044833,0.0,4.26087,0.019049,0.079114,0.126887
7516,91.50914,466.98999,0.381588,0.385647,0.0,0.0,0.055778,81270.0,0.066765,0.110751,0.082701,0.157392,-0.014949,0.317598,6.811934,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.234239,-0.073105,-0.00459,0.0,0.0,-0.035404,-0.008627,-0.006774,-0.012804,0.388244,-0.018942,-0.048024,-0.003781,-0.010366,0.87274,2.073905,-0.039092,-0.000299,-0.037015,0.0,4.190476,0.023529,0.074517,0.148272
7517,95.844856,491.359985,0.399995,0.40996,0.0,0.0,0.055772,76748.0,0.068381,0.119091,0.081451,0.168559,-0.016861,0.329076,6.882848,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.246251,-0.079946,-0.006654,0.0,0.0,-0.040052,-0.009425,-0.007644,-0.014511,0.409574,-0.019465,-0.049982,-0.003818,-0.012729,0.915504,2.180965,-0.043284,-0.000348,-0.051702,0.0,3.708333,0.022611,0.095747,0.125045
7518,101.441818,518.460022,0.404014,0.430393,0.0,0.0,0.055663,79868.0,0.071876,0.12152,0.095305,0.178644,-0.01592,0.356306,6.850612,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.258251,-0.077723,-0.004129,0.0,0.0,-0.037959,-0.009101,-0.006982,-0.013121,0.432083,-0.019951,-0.052663,-0.003911,-0.01164,0.965976,2.293698,-0.040251,-0.000553,-0.079109,0.0,4.708333,0.023971,0.089153,0.148608
7519,106.022026,541.530029,0.449578,0.461825,0.0,0.0,0.055542,80061.0,0.080597,0.131415,0.105619,0.203959,-0.019798,0.383999,6.866192,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.270251,-0.076001,-0.007345,0.0,0.0,-0.047453,-0.010327,-0.008823,-0.016132,0.446323,-0.022506,-0.061781,-0.004419,-0.01617,0.998442,2.382134,-0.048397,-0.000421,-0.077568,0.0,4.291667,0.019945,0.076103,0.127259
7520,109.406425,558.159973,0.477223,0.469066,0.0,0.0,0.055432,79135.0,0.075823,0.136353,0.100779,0.177608,-0.017021,0.368833,6.829762,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.281208,-0.078387,-0.005778,0.0,-0.000167,-0.040337,-0.009822,-0.006988,-0.014006,0.475845,-0.021573,-0.054451,-0.003837,-0.013197,1.057052,2.497496,-0.041394,-0.000488,-0.093193,0.041667,4.0,0.016438,0.076483,0.13809
7521,114.932083,588.830017,0.472945,0.491905,0.0,0.0,0.055337,79369.0,0.080583,0.146572,0.106468,0.194808,-0.017731,0.397151,6.845541,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.294252,-0.085892,-0.004042,0.0,0.0,-0.042065,-0.010423,-0.00817,-0.014821,0.494381,-0.024474,-0.062571,-0.004795,-0.012576,1.104722,2.590909,-0.043934,-0.00044,-0.069779,0.0,4.583333,0.018755,0.080149,0.126488
7522,117.238823,613.429993,0.4858,0.503774,0.0,0.0,0.055151,76568.0,0.089698,0.148596,0.108713,0.219695,-0.021716,0.41417,6.849616,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.306252,-0.096656,-0.007771,0.0,0.0,-0.050536,-0.011684,-0.010356,-0.017647,0.502016,-0.025353,-0.066222,-0.005357,-0.015849,1.13485,2.700333,-0.055389,-0.000501,-0.153545,0.0,4.458333,0.020826,0.086018,0.133062
7523,123.227951,635.679993,0.524889,0.561097,0.0,0.0,0.055126,79195.0,0.08749,0.14874,0.113852,0.205006,-0.019378,0.425682,6.829109,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.318253,-0.096699,-0.005118,0.0,0.0,-0.046362,-0.010909,-0.008161,-0.015216,0.541333,-0.02395,-0.060695,-0.004786,-0.0149,1.193013,2.834533,-0.047481,-0.000579,-0.154849,0.0,3.875,0.019221,0.082147,0.110394
7524,127.02626,660.030029,0.533699,0.554774,0.0,0.0,0.055047,81389.0,0.091486,0.156618,0.122461,0.22102,-0.021773,0.436149,6.834446,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.330307,-0.095803,-0.008257,0.0,0.0,-0.051307,-0.012123,-0.009787,-0.018405,0.547347,-0.02592,-0.068234,-0.004805,-0.016305,1.237969,2.932044,-0.054404,-0.000536,-0.154447,0.0,4.043478,0.023571,0.078569,0.136181
7525,133.199905,684.799988,0.563442,0.568999,0.0,0.0,0.055114,81791.0,0.092655,0.166651,0.117918,0.222408,-0.021382,0.444519,6.845007,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.342068,-0.104541,-0.006863,0.0,0.0,-0.05128,-0.012424,-0.00973,-0.01848,0.571349,-0.027342,-0.069592,-0.005249,-0.015908,1.286455,3.025618,-0.054756,-0.000541,-0.121592,0.0,5.043478,0.020016,0.084973,0.131245
7526,136.611343,709.679993,0.594033,0.603123,0.0,0.0,0.055196,78645.0,0.093429,0.169878,0.127767,0.234935,-0.022734,0.496734,6.783488,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.354253,-0.112114,-0.006357,0.0,0.0,-0.053997,-0.012607,-0.009785,-0.018789,0.598971,-0.027001,-0.067967,-0.005308,-0.016006,1.338794,3.148919,-0.055844,-0.000768,-0.202064,0.0,4.25,0.019051,0.073353,0.103023
7527,140.859497,734.630005,0.592104,0.623326,0.0,0.0,0.055255,81714.0,0.098431,0.17605,0.129791,0.243347,-0.023036,0.496828,6.786284,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.366286,-0.114002,-0.006531,0.0,0.0,-0.05338,-0.012977,-0.010191,-0.019284,0.614182,-0.027715,-0.072836,-0.005306,-0.015976,1.375587,3.257293,-0.058455,-0.000857,-0.192181,0.0,4.608696,0.021853,0.071637,0.121598
7528,145.854309,756.630005,0.594605,0.617524,0.0,0.0,0.055257,78903.0,0.107826,0.184816,0.144729,0.272937,-0.026763,0.529894,6.748893,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.378254,-0.110404,-0.009679,0.0,0.0,-0.062566,-0.014372,-0.012274,-0.022225,0.628531,-0.03053,-0.0806,-0.005843,-0.019381,1.412293,3.343202,-0.067831,-0.000685,-0.159273,0.0,4.208333,0.021651,0.085486,0.134139
7529,147.565125,778.640015,0.614621,0.642679,0.0,0.0,0.055321,79462.0,0.108518,0.184672,0.146468,0.266484,-0.026094,0.522373,6.751529,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.390265,-0.114555,-0.00946,0.0,0.0,-0.059121,-0.014212,-0.011749,-0.021531,0.65158,-0.030578,-0.079557,-0.005585,-0.017634,1.459378,3.463788,-0.06557,-0.000894,-0.331768,0.0,3.869565,0.026012,0.101208,0.155996
7530,153.418106,804.880005,0.662931,0.666972,0.0,0.0,0.055418,78965.0,0.111882,0.196151,0.153597,0.271653,-0.026767,0.551347,6.739986,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.402254,-0.115621,-0.009003,0.0,0.0,-0.063707,-0.014616,-0.011815,-0.021887,0.674308,-0.032752,-0.087414,-0.006335,-0.01986,1.508997,3.555295,-0.066221,-0.000839,-0.260357,0.0,4.083333,0.018941,0.097691,0.140292
7531,159.933823,828.429993,0.678786,0.714838,0.0,0.0,0.055445,88366.0,0.11192,0.193,0.14475,0.260914,-0.024629,0.53091,6.750163,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.414505,-0.122935,-0.007812,0.0,0.0,-0.058509,-0.014166,-0.01065,-0.020589,0.694614,-0.030699,-0.08004,-0.00563,-0.017995,1.555473,3.698052,-0.062344,-0.000655,-0.216545,0.0,4.45,0.020206,0.096586,0.133446
7532,165.023682,854.460022,0.707078,0.721389,0.0,0.0,0.055468,80944.0,0.121057,0.205624,0.161749,0.286036,-0.027293,0.585569,6.798858,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.426255,-0.121508,-0.008794,0.0,0.0,-0.06411,-0.015006,-0.011712,-0.0222,0.717696,-0.033483,-0.0858,-0.006128,-0.019877,1.58635,3.779363,-0.066207,-0.000754,-0.192736,0.0,4.416667,0.017801,0.087101,0.144378
7533,169.953705,877.340027,0.70842,0.728423,0.0,0.0,0.055435,80948.0,0.116906,0.207967,0.16169,0.289643,-0.026916,0.591834,6.7999,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.438255,-0.123619,-0.009094,0.0,0.0,-0.063765,-0.015194,-0.012057,-0.022194,0.734734,-0.033826,-0.087012,-0.006614,-0.020389,1.652621,3.893187,-0.067032,-0.000801,-0.245717,0.0,4.541667,0.020209,0.085126,0.14592
7534,171.42247,902.049988,0.71992,0.770951,0.0,0.0,0.05545,81979.0,0.124974,0.212383,0.176448,0.312649,-0.028848,0.626181,6.758352,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.450329,-0.12577,-0.008622,0.0,-0.000193,-0.067588,-0.015942,-0.012835,-0.023463,0.75801,-0.034644,-0.093172,-0.006223,-0.020586,1.686415,4.004385,-0.071081,-0.000888,-0.414458,0.043478,4.695652,0.021915,0.083916,0.127378
7535,175.093445,925.460022,0.729536,0.761998,0.0,0.0,0.055652,70562.0,0.135778,0.22429,0.185242,0.339978,-0.032636,0.655025,6.749706,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.462256,-0.131567,-0.010004,0.0,0.0,-0.078731,-0.017278,-0.015241,-0.026578,0.768795,-0.038598,-0.10069,-0.007759,-0.024554,1.718525,4.074742,-0.080769,-0.000736,-0.356421,0.0,4.208333,0.023128,0.073432,0.146205
7536,179.825394,948.869995,0.764794,0.808783,0.0,0.0,0.055657,66121.0,0.129247,0.229178,0.172065,0.310422,-0.030507,0.611682,6.732231,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.474256,-0.144581,-0.010628,0.0,0.0,-0.072149,-0.016823,-0.014049,-0.025949,0.792236,-0.035963,-0.093832,-0.006887,-0.020871,1.779457,4.215924,-0.076827,-0.000877,-0.359282,0.0,4.583333,0.020135,0.07553,0.132644
7537,184.555084,974.210022,0.778947,0.801467,0.0,0.0,0.055632,71381.0,0.13334,0.236173,0.176071,0.327552,-0.032213,0.640129,6.693727,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.486256,-0.142484,-0.011809,0.0,0.0,-0.077622,-0.017704,-0.014393,-0.027101,0.802751,-0.039017,-0.102741,-0.007321,-0.023634,1.822015,4.302868,-0.081003,-0.000805,-0.355244,0.0,4.583333,0.018316,0.071578,0.13306
7538,188.866486,1000.0,0.808801,0.837137,0.0,0.0,0.055695,62773.0,0.139916,0.240031,0.184458,0.331913,-0.032697,0.65701,6.810615,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.497507,-0.145169,-0.009958,0.0,0.0,-0.076505,-0.017721,-0.014777,-0.027161,0.831352,-0.039929,-0.104884,-0.007327,-0.024375,1.857165,4.404701,-0.080164,-0.000886,-0.34399,0.0,35.041668,0.018871,0.07984,0.117803
7539,191.084549,1000.0,0.805845,0.834145,0.0,0.0,0.055769,65223.0,0.139531,0.241628,0.181517,0.339082,-0.033091,0.679834,6.739135,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.500007,-0.151468,-0.011633,0.0,0.0,-0.07647,-0.017744,-0.014721,-0.027295,0.832688,-0.039647,-0.100829,-0.008297,-0.023443,1.864979,4.433758,-0.080945,-0.000905,-0.327829,0.0,3.954545,0.021657,0.090036,0.134206
7540,189.534241,1000.0,0.788113,0.835846,0.0,0.0,0.055747,63204.0,0.143556,0.244228,0.184387,0.333651,-0.03166,0.660984,6.789644,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.500007,-0.141553,-0.010241,0.0,0.0,-0.078143,-0.017527,-0.013579,-0.027491,0.829666,-0.041342,-0.10966,-0.007681,-0.025643,1.862495,4.416212,-0.077747,-0.000776,-0.349547,0.0,4.5,0.020131,0.087307,0.133728
7541,186.659866,1000.0,0.796071,0.834464,0.0,0.0,0.055707,66556.0,0.134076,0.242731,0.175083,0.30248,-0.03055,0.621869,6.80902,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.500007,-0.148298,-0.008018,0.0,0.0,-0.072756,-0.017117,-0.013405,-0.025334,0.84766,-0.039819,-0.100542,-0.007751,-0.023753,1.881505,4.436203,-0.073822,-0.000743,-0.524904,0.0,3.666667,0.023515,0.074895,0.13047
7542,189.05014,1000.0,0.808224,0.824865,0.0,0.0,0.055621,70675.0,0.131394,0.23637,0.172472,0.305836,-0.029532,0.62667,6.779851,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.500007,-0.151425,-0.007931,0.0,0.0,-0.070732,-0.016724,-0.013163,-0.025391,0.842453,-0.038574,-0.097091,-0.007827,-0.02193,1.883997,4.457594,-0.073453,-0.000822,-0.342991,0.0,4.666667,0.021552,0.079632,0.108169
7543,189.569,1000.0,0.79395,0.835699,0.0,0.0,0.055667,70263.0,0.141142,0.234993,0.195899,0.32122,-0.031112,0.652681,6.79631,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.500007,-0.137313,-0.009585,0.0,0.0,-0.075532,-0.017209,-0.013457,-0.026251,0.84183,-0.040724,-0.102501,-0.007011,-0.023295,1.876895,4.434927,-0.074432,-0.000775,-0.30831,0.0,4.25,0.022376,0.088426,0.138936
