iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.48338,10.22,0.009736,0.009659,0.0,38.347828,0.061474,45856.0,0.003635,0.00342,0.000896,0.00272,-0.000629,0.004988,6.405553,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.00197,-6e-05,0.0,-0.006245,-0.002027,-0.000263,-0.000176,-0.000304,0.011122,-0.001241,-0.001789,-0.000373,-0.00108,0.01629,0.050439,-0.000833,-1e-06,0.0,3.608696,0.044146,0.110319,0.159115
7498,7.112096,38.25,0.03013,0.031169,0.0,0.0,0.061464,74029.0,0.007229,0.01055,0.005223,0.012019,-0.002092,0.021888,6.77919,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005304,-0.00029,0.0,0.0,-0.004112,-0.000783,-0.000551,-0.001056,0.032042,-0.001815,-0.005003,-0.000512,-0.001983,0.058256,0.156155,-0.003062,-1e-05,-3e-06,4.869565,0.02007,0.083521,0.120188
7499,11.227863,59.209999,0.050516,0.04842,0.0,0.0,0.060858,72906.0,0.010733,0.015272,0.008959,0.020604,-0.003463,0.038492,6.716634,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009583,-0.000745,0.0,0.0,-0.006053,-0.001231,-0.00092,-0.001771,0.051654,-0.002784,-0.007498,-0.000641,-0.002669,0.10338,0.262302,-0.004894,-1.9e-05,-2.3e-05,3.666667,0.018378,0.09171,0.154145
7500,16.349867,85.040001,0.067011,0.071325,0.0,0.0,0.060176,76244.0,0.01218,0.020381,0.012658,0.025674,-0.004113,0.049933,6.759216,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012286,-0.000938,0.0,0.0,-0.006703,-0.001589,-0.001073,-0.002264,0.071559,-0.003555,-0.009285,-0.000671,-0.002751,0.153532,0.370732,-0.006118,-2.9e-05,-8.8e-05,4.208333,0.021479,0.081573,0.125127
7501,21.396767,108.82,0.088549,0.091235,0.0,0.0,0.059814,77670.0,0.016562,0.027565,0.020071,0.037769,-0.005643,0.078468,6.728174,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014989,-0.000851,0.0,0.0,-0.008709,-0.002025,-0.001382,-0.002655,0.092392,-0.004848,-0.012429,-0.000903,-0.003453,0.19834,0.472449,-0.008024,-4.9e-05,-0.000456,4.416667,0.020521,0.085445,0.127294
7502,25.166225,130.800003,0.108157,0.111486,0.0,0.0,0.059237,75442.0,0.020575,0.033783,0.021342,0.043458,-0.007248,0.077983,6.780003,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018684,-0.001495,0.0,0.0,-0.011609,-0.002616,-0.001964,-0.003729,0.111043,-0.005672,-0.015363,-0.00108,-0.004545,0.239195,0.580106,-0.011171,-5.5e-05,-0.000851,4.0,0.02018,0.084424,0.123988
7503,30.686134,157.330002,0.127779,0.128241,0.0,0.0,0.058639,80106.0,0.020844,0.03783,0.022468,0.045132,-0.007234,0.091941,6.735874,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024167,-0.001352,0.0,0.0,-0.011442,-0.002873,-0.001979,-0.004032,0.133415,-0.006159,-0.014951,-0.001044,-0.004357,0.292205,0.692517,-0.011402,-8.8e-05,-0.000952,4.25,0.02001,0.082133,0.144833
7504,34.926445,178.740005,0.141018,0.151953,0.0,0.0,0.058136,81882.0,0.025725,0.04687,0.032261,0.057726,-0.00946,0.117364,6.763897,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.027037,-0.001426,0.0,0.0,-0.014185,-0.003407,-0.002457,-0.004782,0.154601,-0.007669,-0.0194,-0.001474,-0.005218,0.337114,0.789854,-0.013851,-0.000106,-0.003521,4.217391,0.02214,0.086793,0.126996
7505,40.201763,205.110001,0.1653,0.170529,0.0,0.0,0.057731,81349.0,0.027171,0.049148,0.034911,0.06149,-0.010144,0.126636,6.770994,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029436,-0.001451,0.0,0.0,-0.015069,-0.003644,-0.002617,-0.004863,0.174844,-0.008009,-0.020839,-0.001511,-0.005297,0.385314,0.905476,-0.014469,-0.000109,-0.005001,4.416667,0.020594,0.077878,0.129933
7506,44.810673,229.419998,0.182311,0.194489,0.0,0.0,0.057208,83492.0,0.032627,0.057199,0.042054,0.073511,-0.012542,0.147232,6.804992,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033705,-0.002012,0.0,0.0,-0.018314,-0.004346,-0.003346,-0.0061,0.192962,-0.009688,-0.02462,-0.001941,-0.006059,0.42757,1.004032,-0.018578,-0.000128,-0.004621,4.608696,0.021656,0.072144,0.119925
