iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.484292,10.22,0.00974,0.009658,0.0,38.347828,0.061472,46470.0,0.003633,0.003422,0.000915,0.002722,-0.00063,0.00499,6.415817,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001972,-6e-05,0.0,-0.006245,-0.002023,-0.000263,-0.000176,-0.000303,0.011121,-0.001238,-0.001795,-0.00037,-0.001084,0.01629,0.05049,-0.000834,-2e-06,0.0,37.913044,3.608696,0.044104,0.110303,0.159189
7498,7.112134,38.25,0.030131,0.031172,0.0,0.0,0.061528,71456.0,0.007244,0.010519,0.005244,0.012016,-0.002084,0.021815,6.788709,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005298,-0.000292,0.0,0.0,-0.004121,-0.00078,-0.000553,-0.001045,0.032043,-0.001802,-0.005032,-0.000503,-0.001994,0.058226,0.156279,-0.003057,-2e-05,-3e-06,0.0,4.869565,0.020097,0.083654,0.120162
7499,11.23225,59.209999,0.050516,0.048416,0.0,0.0,0.060933,60897.0,0.010738,0.015299,0.008999,0.020596,-0.003453,0.038485,6.722637,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009584,-0.000766,0.0,0.0,-0.005954,-0.001228,-0.000909,-0.001724,0.051665,-0.002782,-0.007418,-0.000623,-0.002639,0.103393,0.262376,-0.004883,-3.7e-05,-2.2e-05,0.0,3.666667,0.018491,0.091641,0.154194
7500,16.340775,85.040001,0.067009,0.071325,0.0,0.0,0.060289,74142.0,0.01216,0.020531,0.01267,0.025694,-0.004115,0.049924,6.7656,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012289,-0.000932,0.0,0.0,-0.006774,-0.001594,-0.001078,-0.002252,0.071549,-0.003589,-0.009273,-0.000693,-0.002781,0.153438,0.370317,-0.006134,-5.9e-05,-0.000101,0.0,4.208333,0.021477,0.081853,0.125975
7501,21.399021,108.82,0.088644,0.091242,0.0,0.0,0.059948,77655.0,0.016524,0.027621,0.020029,0.037723,-0.00562,0.078364,6.752641,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.014997,-0.000843,0.0,0.0,-0.008759,-0.002018,-0.001373,-0.002628,0.092412,-0.004849,-0.0124,-0.000878,-0.003512,0.198355,0.472447,-0.008006,-9.4e-05,-0.000423,0.0,4.416667,0.020435,0.086196,0.128192
7502,25.159189,130.800003,0.108203,0.111496,0.0,0.0,0.059379,73528.0,0.020628,0.033807,0.021397,0.043442,-0.007226,0.077589,6.791778,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.018694,-0.001494,0.0,0.0,-0.011546,-0.002613,-0.001964,-0.00369,0.111054,-0.005684,-0.015305,-0.00107,-0.004473,0.239082,0.579878,-0.011166,-0.000108,-0.000719,0.0,4.0,0.019686,0.084028,0.123889
7503,30.688189,157.330002,0.127811,0.128267,0.0,0.0,0.05886,73093.0,0.020849,0.037812,0.022618,0.045162,-0.007215,0.091794,6.758428,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024208,-0.001355,0.0,0.0,-0.011488,-0.002873,-0.001977,-0.004052,0.133439,-0.006168,-0.014988,-0.001045,-0.004322,0.292252,0.692525,-0.011375,-0.000174,-0.000886,0.0,4.25,0.019435,0.081801,0.145112
7504,34.938984,178.740005,0.140773,0.151938,0.0,0.0,0.058377,72073.0,0.025641,0.047086,0.032257,0.057803,-0.009466,0.117822,6.762428,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.027017,-0.001392,0.0,0.0,-0.014139,-0.003427,-0.002475,-0.004771,0.154621,-0.007679,-0.019687,-0.001521,-0.005258,0.337434,0.78956,-0.013927,-0.000203,-0.003061,0.0,4.217391,0.022359,0.086432,0.1272
7505,40.178875,205.110001,0.165303,0.170553,0.0,0.0,0.057981,77382.0,0.027069,0.049438,0.035074,0.061493,-0.010104,0.126506,6.739734,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029469,-0.001464,0.0,0.0,-0.014971,-0.003646,-0.002586,-0.004815,0.174813,-0.008054,-0.021028,-0.001462,-0.005328,0.385412,0.905179,-0.014441,-0.00022,-0.005175,0.0,4.416667,0.020222,0.077864,0.129147
7506,44.78904,229.419998,0.18208,0.194467,0.0,0.0,0.057431,80907.0,0.032926,0.057163,0.041822,0.0738,-0.012548,0.147356,6.782005,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.033755,-0.002019,0.0,0.0,-0.018235,-0.004354,-0.003357,-0.006203,0.192832,-0.009682,-0.024864,-0.001965,-0.005968,0.426983,1.003789,-0.018592,-0.00025,-0.004508,0.0,4.608696,0.021929,0.071801,0.120894
7507,49.622574,253.369995,0.201691,0.20993,0.0,0.0,0.057362,80279.0,0.033602,0.061194,0.044096,0.078319,-0.012553,0.160215,6.792191,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.126413,-0.03536,-0.002024,0.0,0.0,-0.017979,-0.004662,-0.003284,-0.006244,0.21043,-0.010066,-0.02582,-0.001816,-0.006827,0.477389,1.118464,-0.01865,-0.000344,-0.009383,0.0,4.73913,0.021155,0.089286,0.130584
7508,54.707458,278.609985,0.22307,0.238276,0.0,0.0,0.057237,70330.0,0.036657,0.068004,0.048491,0.087682,-0.014518,0.178448,6.848115,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.13825,-0.041233,-0.002923,0.0,0.0,-0.020623,-0.005113,-0.003899,-0.006874,0.232856,-0.011334,-0.028251,-0.002126,-0.007442,0.521479,1.218952,-0.021595,-0.000521,-0.01153,0.0,4.541667,0.020043,0.073376,0.118118
7509,59.050655,301.059998,0.243034,0.254003,0.0,0.0,0.056968,71077.0,0.039958,0.072061,0.0475,0.088737,-0.014119,0.186772,6.837685,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.15025,-0.043587,-0.001972,0.0,0.0,-0.020373,-0.005162,-0.003563,-0.007182,0.260168,-0.011633,-0.030443,-0.002448,-0.007564,0.56864,1.332955,-0.020394,-0.000417,-0.012692,0.0,4.625,0.020967,0.080138,0.127561
7510,64.138489,326.73999,0.273887,0.277171,0.0,0.0,0.056996,71292.0,0.045181,0.078449,0.058308,0.10984,-0.018362,0.213094,6.827496,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.16225,-0.048388,-0.003893,0.0,0.0,-0.024179,-0.006095,-0.004857,-0.008498,0.273121,-0.013534,-0.032842,-0.002539,-0.007966,0.607133,1.429449,-0.026661,-0.000391,-0.020776,0.0,4.75,0.017422,0.073239,0.129085
7511,67.18853,350.410004,0.251556,0.286045,0.0,0.0,0.05683,74528.0,0.056802,0.086708,0.067281,0.13743,-0.022854,0.247398,6.791373,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.174456,-0.052345,-0.005594,0.0,0.0,-0.032616,-0.00711,-0.006147,-0.011393,0.28305,-0.015425,-0.041484,-0.003335,-0.010797,0.636363,1.5257,-0.03423,-0.000514,-0.031173,0.0,4.565217,0.024749,0.101826,0.133828
7512,72.962807,373.079987,0.312673,0.311259,0.0,0.0,0.056474,80218.0,0.049507,0.089986,0.064019,0.113997,-0.019491,0.223028,6.750811,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.186391,-0.055152,-0.00427,0.0,0.0,-0.025917,-0.00681,-0.005121,-0.009333,0.31251,-0.014926,-0.036949,-0.002579,-0.008483,0.701809,1.650867,-0.028908,-0.000551,-0.024251,0.0,4.434783,0.018854,0.080328,0.125479
