iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.488576,10.22,0.009747,0.009663,0.0,38.347828,0.061486,48589.0,0.003586,0.003432,0.000889,0.00269,-0.000632,0.004993,6.389345,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.001978,-6e-05,0.0,-0.006245,-0.002015,-0.00026,-0.000175,-0.000314,0.011134,-0.001199,-0.001756,-0.00037,-0.001087,0.016285,0.050715,-0.00082,-1e-06,0.0,37.913044,3.608696,0.044113,0.11003,0.158698
7498,7.155168,38.25,0.030081,0.03116,0.0,0.0,0.061448,78702.0,0.006915,0.010292,0.005329,0.012079,-0.00209,0.022295,6.761975,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005244,-0.00029,0.0,0.0,-0.004096,-0.000779,-0.000547,-0.001005,0.032045,-0.001801,-0.004905,-0.00044,-0.001983,0.058785,0.156849,-0.003061,-1e-05,0.0,0.0,4.869565,0.020283,0.083979,0.120145
7499,11.254113,59.209999,0.050539,0.048542,0.0,0.0,0.060853,82449.0,0.010504,0.015347,0.008949,0.020654,-0.003431,0.039169,6.70741,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009472,-0.000777,0.0,0.0,-0.00609,-0.001221,-0.000887,-0.001725,0.05164,-0.002794,-0.007333,-0.000608,-0.002679,0.103685,0.262395,-0.004862,-1.6e-05,-1.4e-05,0.0,3.666667,0.018205,0.090295,0.152286
7500,16.375324,85.040001,0.066958,0.071336,0.0,0.0,0.060181,81097.0,0.011763,0.020612,0.012584,0.025684,-0.004113,0.050377,6.69033,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012201,-0.00094,0.0,0.0,-0.006814,-0.001596,-0.001078,-0.002201,0.071584,-0.003509,-0.009142,-0.000678,-0.002734,0.154221,0.371153,-0.006147,-2.7e-05,-5.3e-05,0.0,4.208333,0.021692,0.081194,0.125205
7501,21.476902,108.82,0.088852,0.091074,0.0,0.0,0.05965,81890.0,0.015811,0.027415,0.020527,0.037769,-0.005565,0.079147,6.674551,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.014775,-0.000922,0.0,0.0,-0.008704,-0.002017,-0.00136,-0.002598,0.092343,-0.004633,-0.012075,-0.000788,-0.003424,0.199384,0.474564,-0.007976,-4.6e-05,-0.000216,0.0,4.416667,0.020149,0.087763,0.128731
7502,25.222734,130.800003,0.108098,0.11152,0.0,0.0,0.058984,84521.0,0.019805,0.03382,0.021315,0.043669,-0.00725,0.07869,6.723194,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018666,-0.001553,0.0,0.0,-0.011676,-0.002629,-0.001998,-0.00371,0.110917,-0.005686,-0.015232,-0.001028,-0.004481,0.240471,0.580011,-0.011255,-4.9e-05,-0.000502,0.0,4.0,0.020124,0.082304,0.122902
7503,30.813599,157.330002,0.127797,0.128282,0.0,0.0,0.058461,81995.0,0.01996,0.037463,0.022964,0.045397,-0.007202,0.092572,6.729687,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024028,-0.001379,0.0,0.0,-0.011316,-0.002861,-0.001953,-0.003851,0.133301,-0.005986,-0.014321,-0.00098,-0.004264,0.293551,0.694535,-0.011345,-8.6e-05,-0.000601,0.0,4.25,0.019737,0.082729,0.144357
7504,35.139427,178.740005,0.14087,0.152188,0.0,0.0,0.0581,84259.0,0.024413,0.046689,0.032943,0.057836,-0.009364,0.118627,6.787365,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.026911,-0.001394,0.0,0.0,-0.013896,-0.003397,-0.002443,-0.004589,0.154562,-0.007381,-0.018787,-0.001314,-0.005068,0.339097,0.79256,-0.013855,-9.7e-05,-0.002361,0.0,4.217391,0.022633,0.085461,0.125481
7505,40.327526,205.110001,0.165297,0.170512,0.0,0.0,0.057516,82675.0,0.025878,0.049101,0.035073,0.061703,-0.010094,0.127783,6.727422,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029311,-0.001417,0.0,0.0,-0.014717,-0.003637,-0.002567,-0.004775,0.17473,-0.007851,-0.020122,-0.001398,-0.005365,0.387018,0.907182,-0.014421,-0.000112,-0.004054,0.0,4.416667,0.020508,0.079432,0.129636
7506,45.069553,229.419998,0.181961,0.194409,0.0,0.0,0.056897,71671.0,0.031082,0.0567,0.04269,0.073886,-0.012463,0.148904,6.752784,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.033481,-0.002054,0.0,0.0,-0.017813,-0.004335,-0.003272,-0.00584,0.192822,-0.009241,-0.023542,-0.001715,-0.005731,0.429569,1.008686,-0.018518,-0.000124,-0.003095,0.0,4.608696,0.021557,0.072506,0.12136
