iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,2.919277,16.52,0.01002,0.010598,0.0,36.916668,0.061201,48031.0,0.002812,0.003632,0.000973,0.00303,-0.000682,0.006346,6.42586,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006078,-0.001966,-4.5e-05,0.0,-0.005802,-0.00228,-0.000267,-0.000195,-0.000304,0.011323,-0.001498,-0.001936,-0.000349,-0.001284,0.017738,0.050957,-0.000856,-2e-06,0.0,36.708336,4.791667,0.039607,0.098112,0.130267
7498,6.867384,37.040001,0.029999,0.031303,0.0,0.0,0.061179,81472.0,0.006142,0.009751,0.00421,0.010183,-0.00164,0.019207,6.832029,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.017956,-0.005188,-0.000206,0.0,-0.000683,-0.003484,-0.000673,-0.000443,-0.00096,0.031642,-0.001923,-0.004244,-0.000458,-0.001712,0.059631,0.155287,-0.002505,-1.5e-05,-9e-06,0.086957,4.652174,0.019963,0.080978,0.1166
7499,11.5678,60.0,0.051261,0.05137,0.0,0.0,0.060623,77282.0,0.00979,0.015243,0.009078,0.018478,-0.002987,0.036226,6.800886,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.008801,-0.00048,0.0,0.0,-0.005029,-0.00114,-0.000753,-0.001517,0.052413,-0.002527,-0.006642,-0.000503,-0.002126,0.106323,0.26475,-0.004321,-3.8e-05,-4e-05,0.0,4.041667,0.017452,0.082056,0.119723
7500,16.180075,83.199997,0.070394,0.069266,0.0,0.0,0.060158,81518.0,0.013398,0.021292,0.014086,0.0306,-0.005022,0.060243,6.82584,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.013427,-0.000825,0.0,0.0,-0.007845,-0.001697,-0.001376,-0.002402,0.071847,-0.003708,-0.0093,-0.000828,-0.003145,0.148198,0.36856,-0.007484,-8.3e-05,-3.1e-05,0.0,3.75,0.018923,0.095929,0.134705
7501,20.771397,106.0,0.092521,0.092871,0.0,0.0,0.059615,86773.0,0.015904,0.027574,0.019022,0.037576,-0.006128,0.078613,6.789833,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.054114,-0.016336,-0.000909,0.0,0.0,-0.009418,-0.002052,-0.001522,-0.002898,0.09281,-0.004595,-0.011592,-0.001005,-0.003908,0.198049,0.473692,-0.008436,-0.00011,-0.00043,0.0,3.818182,0.017507,0.07058,0.117616
7502,25.628092,131.660004,0.107731,0.109781,0.0,0.0,0.059194,81139.0,0.019547,0.033231,0.024237,0.04517,-0.007506,0.088781,6.819163,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066286,-0.018318,-0.001438,0.0,0.0,-0.011037,-0.002538,-0.001881,-0.003498,0.111752,-0.005842,-0.014682,-0.001134,-0.00428,0.242828,0.579329,-0.010536,-0.00013,-0.000869,0.0,4.523809,0.021111,0.086232,0.135204
7503,30.627544,157.110001,0.129887,0.131755,0.0,0.0,0.058622,78595.0,0.02002,0.038627,0.024506,0.044293,-0.007623,0.089775,6.836569,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.023813,-0.00133,0.0,0.0,-0.011366,-0.002837,-0.001982,-0.003824,0.132172,-0.006311,-0.015215,-0.001261,-0.004214,0.293791,0.689991,-0.011251,-0.00015,-0.001232,0.0,4.666667,0.019335,0.075653,0.130459
7504,35.641857,179.190002,0.156187,0.153377,0.0,0.0,0.058046,79195.0,0.022368,0.042815,0.029221,0.055285,-0.008985,0.124018,6.868278,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.09025,-0.028352,-0.001461,0.0,0.0,-0.013424,-0.003183,-0.00211,-0.004407,0.155521,-0.006618,-0.017396,-0.001318,-0.005265,0.341914,0.803857,-0.01262,-0.000197,-0.002477,0.0,4.041667,0.016736,0.07491,0.121805
7505,40.216877,205.880005,0.161949,0.173908,0.0,0.0,0.057652,81345.0,0.031523,0.051529,0.040973,0.078041,-0.013102,0.147394,6.813863,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.027471,-0.002644,0.0,0.0,-0.01909,-0.004001,-0.003379,-0.006319,0.168297,-0.00885,-0.025393,-0.001706,-0.006708,0.375592,0.895005,-0.018637,-0.000296,-0.004764,0.0,4.541667,0.021442,0.075323,0.126083
7506,45.154255,229.470001,0.189244,0.198236,0.0,0.0,0.05709,82215.0,0.031476,0.055178,0.040412,0.072206,-0.012031,0.143441,6.837859,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.033517,-0.00197,0.0,0.0,-0.017391,-0.004146,-0.00315,-0.005818,0.19576,-0.009372,-0.023932,-0.001543,-0.005909,0.429954,1.008854,-0.017331,-0.000287,-0.008385,0.0,4.608696,0.020022,0.076429,0.114938
