iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.488907,10.22,0.009747,0.009662,0.0,38.347828,0.061491,44010.0,0.003588,0.003425,0.000887,0.002689,-0.000631,0.004993,6.396965,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001977,-6e-05,0.0,-0.006245,-0.002013,-0.00026,-0.000176,-0.000316,0.011135,-0.0012,-0.001758,-0.000368,-0.001084,0.016286,0.050717,-0.00082,-2e-06,0.0,37.913044,3.608696,0.044113,0.110031,0.158728
7498,7.157799,38.25,0.030092,0.031162,0.0,0.0,0.061462,75230.0,0.006885,0.01029,0.00533,0.01208,-0.002095,0.022365,6.753744,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005238,-0.000288,0.0,0.0,-0.004097,-0.00078,-0.000544,-0.001014,0.032041,-0.001807,-0.004915,-0.000443,-0.001976,0.058839,0.156854,-0.00306,-2e-05,0.0,0.0,4.869565,0.02025,0.084058,0.120003
7499,11.258397,59.209999,0.050541,0.048525,0.0,0.0,0.060866,71537.0,0.010383,0.015286,0.008957,0.020657,-0.003441,0.039343,6.689813,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009462,-0.000759,0.0,0.0,-0.006132,-0.00122,-0.000892,-0.001713,0.051654,-0.002781,-0.007392,-0.000601,-0.002648,0.103962,0.26246,-0.004876,-3.1e-05,-1.4e-05,0.0,3.666667,0.018181,0.090886,0.152272
7500,16.381922,85.040001,0.066951,0.071339,0.0,0.0,0.060203,70711.0,0.011774,0.020578,0.012638,0.025679,-0.004097,0.050278,6.722995,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012187,-0.000928,0.0,0.0,-0.006769,-0.00159,-0.001068,-0.002189,0.071562,-0.003508,-0.009087,-0.000658,-0.002759,0.154173,0.371153,-0.006115,-5.6e-05,-5.8e-05,0.0,4.208333,0.021806,0.081122,0.124989
7501,21.471226,108.82,0.088707,0.09112,0.0,0.0,0.059717,72299.0,0.015892,0.027628,0.020405,0.037866,-0.005572,0.079227,6.683481,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.01482,-0.000883,0.0,0.0,-0.008817,-0.00202,-0.001359,-0.002571,0.092355,-0.00468,-0.012115,-0.000809,-0.003455,0.199315,0.474208,-0.007977,-9e-05,-0.000161,0.0,4.416667,0.02015,0.085391,0.128401
7502,25.233025,130.800003,0.108118,0.111536,0.0,0.0,0.05909,71454.0,0.019797,0.033729,0.021273,0.043643,-0.007222,0.078634,6.731967,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.018636,-0.001536,0.0,0.0,-0.011594,-0.002621,-0.001988,-0.003663,0.110914,-0.00561,-0.015106,-0.000989,-0.004564,0.24027,0.580737,-0.011252,-0.000101,-0.000534,0.0,4.0,0.019998,0.082493,0.123725
7503,30.829487,157.330002,0.127793,0.128315,0.0,0.0,0.058586,73402.0,0.019991,0.037314,0.023164,0.045413,-0.007175,0.092405,6.727401,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024009,-0.001383,0.0,0.0,-0.011188,-0.002854,-0.001957,-0.003859,0.133317,-0.005948,-0.01456,-0.00097,-0.004154,0.293579,0.695023,-0.011342,-0.000163,-0.000531,0.0,4.25,0.019434,0.082487,0.144142
7504,35.135319,178.740005,0.140872,0.152178,0.0,0.0,0.058109,73369.0,0.024496,0.046552,0.032718,0.057964,-0.0094,0.119176,6.780201,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.026949,-0.001404,0.0,0.0,-0.014071,-0.003397,-0.002445,-0.00462,0.154521,-0.007361,-0.018715,-0.001307,-0.005055,0.338963,0.792799,-0.013883,-0.000198,-0.002345,0.0,4.217391,0.022143,0.085753,0.126304
7505,40.295441,205.110001,0.165335,0.17057,0.0,0.0,0.057664,77494.0,0.026167,0.04907,0.03516,0.06167,-0.01009,0.127275,6.731888,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029325,-0.001419,0.0,0.0,-0.014613,-0.00363,-0.002558,-0.004782,0.174772,-0.007914,-0.020282,-0.00144,-0.005219,0.386703,0.906732,-0.014392,-0.000224,-0.004108,0.0,4.416667,0.020115,0.078708,0.129856
7506,45.070267,229.419998,0.182291,0.194452,0.0,0.0,0.057117,80093.0,0.031383,0.056493,0.042411,0.073701,-0.012389,0.147251,6.733114,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.033503,-0.002039,0.0,0.0,-0.017751,-0.00431,-0.003245,-0.005923,0.192953,-0.00919,-0.023473,-0.001745,-0.005791,0.42911,1.009454,-0.018394,-0.000253,-0.00285,0.0,4.608696,0.021274,0.072029,0.122325
