iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.459148,10.22,0.009652,0.009661,0.0,38.347828,0.061406,51193.0,0.005037,0.003411,0.000924,0.002512,-0.00057,0.004199,6.392884,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.006005,-0.001989,-7.3e-05,0.0,-0.006245,-0.002009,-0.000264,-0.000162,-0.000299,0.011113,-0.001247,-0.001696,-0.00037,-0.001109,0.015486,0.050599,-0.000769,-1e-06,0.0,37.913044,3.608696,0.0449,0.1098,0.158129
7498,6.992367,38.25,0.029917,0.031197,0.0,0.0,0.061392,87155.0,0.010243,0.010502,0.005353,0.012074,-0.002119,0.02058,6.993285,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.018348,-0.005358,-0.000337,0.0,0.0,-0.00418,-0.00079,-0.000551,-0.001074,0.031903,-0.001882,-0.004977,-0.000509,-0.001977,0.053445,0.155855,-0.003056,-1e-05,-2e-06,0.0,4.869565,0.020838,0.081839,0.118455
7499,11.042171,59.209999,0.050274,0.048456,0.0,0.0,0.060808,85549.0,0.015099,0.015661,0.008992,0.02194,-0.003777,0.038361,7.01139,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.03025,-0.009707,-0.000963,0.0,0.0,-0.006513,-0.001305,-0.00102,-0.001977,0.050683,-0.002811,-0.008044,-0.000729,-0.00281,0.094987,0.262061,-0.005494,-1.9e-05,-1.6e-05,0.0,3.666667,0.019225,0.090333,0.154704
7500,16.061762,85.040001,0.066543,0.071418,0.0,0.0,0.060235,76620.0,0.015091,0.020889,0.012442,0.027325,-0.004632,0.048755,7.112607,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.04225,-0.012541,-0.00121,0.0,0.0,-0.00762,-0.001729,-0.001297,-0.002646,0.070272,-0.003666,-0.009769,-0.000771,-0.003085,0.145733,0.369467,-0.007165,-3e-05,-5.1e-05,0.0,4.208333,0.021803,0.081082,0.126371
7501,21.063761,108.82,0.088144,0.091168,0.0,0.0,0.05988,85235.0,0.019203,0.02804,0.019875,0.038592,-0.006012,0.077178,7.083363,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.05425,-0.015139,-0.001262,0.0,0.0,-0.00962,-0.002136,-0.001544,-0.003003,0.091195,-0.005029,-0.013046,-0.000907,-0.003807,0.191855,0.471038,-0.008858,-5.9e-05,-0.000405,0.0,4.416667,0.020137,0.088331,0.129659
7502,24.590858,130.800003,0.107189,0.111505,0.0,0.0,0.059288,87748.0,0.027639,0.034249,0.020901,0.044776,-0.007955,0.074781,7.128441,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.066261,-0.018939,-0.001966,0.0,0.0,-0.012467,-0.0028,-0.002231,-0.004103,0.109358,-0.00605,-0.017028,-0.001219,-0.00496,0.22543,0.576536,-0.012469,-5.3e-05,-0.000472,0.0,4.0,0.020371,0.083004,0.123804
7503,30.241652,157.330002,0.126351,0.127915,0.0,0.0,0.058759,84185.0,0.025227,0.038483,0.02246,0.048145,-0.008193,0.090673,7.150084,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.07825,-0.024733,-0.001864,0.0,0.0,-0.012755,-0.003114,-0.002407,-0.004584,0.131471,-0.006458,-0.016088,-0.001183,-0.004752,0.281696,0.689404,-0.013362,-8.3e-05,-0.000977,0.0,4.25,0.020903,0.085561,0.14778
7504,34.410828,178.740005,0.13983,0.151828,0.0,0.0,0.058457,87062.0,0.030415,0.047707,0.032072,0.061583,-0.010584,0.116289,7.190853,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.090174,-0.02747,-0.002275,0.0,0.0,-0.015988,-0.003715,-0.002998,-0.005548,0.151549,-0.008023,-0.020881,-0.001625,-0.005659,0.324816,0.785313,-0.016367,-9.6e-05,-0.003622,0.0,4.217391,0.02271,0.086253,0.126954
7505,39.701,205.110001,0.164518,0.170715,0.0,0.0,0.057908,85519.0,0.031811,0.049705,0.035014,0.064088,-0.01091,0.124877,7.146529,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10225,-0.029784,-0.001793,0.0,0.0,-0.016318,-0.003875,-0.002929,-0.005405,0.172723,-0.008441,-0.02205,-0.001515,-0.005825,0.374031,0.90155,-0.016042,-0.000112,-0.004267,0.0,4.416667,0.021351,0.078152,0.131112
7506,43.988186,229.419998,0.181475,0.194749,0.0,0.0,0.057404,82852.0,0.039629,0.057783,0.041351,0.076614,-0.013691,0.14407,7.172513,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.114369,-0.034169,-0.00273,0.0,0.0,-0.020056,-0.004663,-0.003796,-0.006935,0.190039,-0.010188,-0.026545,-0.002162,-0.006648,0.409948,0.998746,-0.020948,-0.000125,-0.005075,0.0,4.608696,0.022115,0.072674,0.121892
7507,48.807465,253.369995,0.201307,0.210229,0.0,0.0,0.057266,84569.0,0.041624,0.062144,0.043938,0.081862,-0.013944,0.158058,7.182115,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.126413,-0.035989,-0.002702,0.0,0.0,-0.01971,-0.005016,-0.003843,-0.007086,0.207202,-0.010698,-0.027631,-0.002016,-0.007302,0.459981,1.112298,-0.021303,-0.000151,-0.008916,0.0,4.73913,0.021757,0.086629,0.13094
7508,53.879379,278.609985,0.222143,0.238273,0.0,0.0,0.057306,83478.0,0.04292,0.068107,0.047445,0.090684,-0.016021,0.175919,7.232336,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.13825,-0.041762,-0.00385,0.0,0.0,-0.022979,-0.005492,-0.0045,-0.008009,0.230045,-0.011752,-0.030423,-0.002644,-0.008293,0.506762,1.215728,-0.024515,-0.000242,-0.012459,0.0,4.541667,0.02037,0.073228,0.118573
7509,58.515877,301.059998,0.240455,0.253353,0.0,0.0,0.057208,79462.0,0.044224,0.071697,0.049561,0.095397,-0.015593,0.197477,7.171447,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.04408,-0.002719,0.0,0.0,-0.023172,-0.005509,-0.004121,-0.008144,0.256694,-0.012067,-0.031579,-0.002421,-0.00827,0.559125,1.329984,-0.023258,-0.000296,-0.012706,0.0,4.625,0.022123,0.081768,0.129711
7510,63.056572,326.869995,0.272663,0.277413,0.041667,0.0,0.057246,82057.0,0.053837,0.07977,0.05901,0.11829,-0.021003,0.212295,7.208513,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.162245,-0.049593,-0.005033,0.0,-0.000208,-0.027997,-0.006774,-0.005954,-0.010008,0.266533,-0.014864,-0.036084,-0.003019,-0.008951,0.588267,1.420129,-0.032065,-0.000195,-0.020906,0.0,4.75,0.017015,0.075549,0.129827
7511,65.719971,350.410004,0.249341,0.285969,0.0,0.0,0.057219,84813.0,0.069348,0.088215,0.065897,0.145318,-0.02653,0.242824,7.160992,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.174456,-0.053826,-0.007265,0.0,0.0,-0.038368,-0.008077,-0.007664,-0.013636,0.274768,-0.016637,-0.046857,-0.004166,-0.012755,0.604047,1.515348,-0.042057,-0.000258,-0.027802,0.0,4.565217,0.024925,0.102503,0.13488
7512,71.857086,373.079987,0.311218,0.311608,0.0,0.0,0.057038,86719.0,0.058691,0.091739,0.063108,0.119438,-0.021707,0.217858,7.174748,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.186391,-0.055984,-0.005629,0.0,0.0,-0.029125,-0.007464,-0.006061,-0.010752,0.306738,-0.015769,-0.040858,-0.003295,-0.009415,0.681199,1.641438,-0.033795,-0.00026,-0.020835,0.0,4.434783,0.018519,0.08051,0.126096
7513,76.361954,395.809998,0.315448,0.33974,0.0,0.0,0.057122,67489.0,0.065397,0.095548,0.066681,0.140429,-0.023402,0.257366,7.182102,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.058105,-0.00513,0.0,0.0,-0.033131,-0.00813,-0.006858,-0.012417,0.325895,-0.016959,-0.046841,-0.003441,-0.010766,0.715661,1.744179,-0.037868,-0.000213,-0.028945,0.0,4.041667,0.023563,0.082195,0.11274
7514,80.028145,421.029999,0.326508,0.356167,0.0,0.0,0.057073,61958.0,0.077918,0.103511,0.07485,0.142336,-0.02539,0.265553,7.154897,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.209881,-0.061316,-0.005886,0.0,-0.000202,-0.036014,-0.008533,-0.007117,-0.012988,0.345489,-0.017887,-0.045991,-0.003817,-0.012402,0.744488,1.847298,-0.039439,-0.00048,-0.038086,0.045455,5.090909,0.024051,0.080911,0.137551
7515,85.168503,444.25,0.374754,0.381038,0.0,0.0,0.057046,60823.0,0.079569,0.108039,0.083952,0.172373,-0.031739,0.302325,7.182502,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222218,-0.06793,-0.009186,0.0,0.0,-0.043874,-0.010108,-0.009685,-0.015974,0.356985,-0.019494,-0.052338,-0.004136,-0.013516,0.789438,1.950449,-0.050839,-0.000341,-0.042325,0.0,4.26087,0.018768,0.083401,0.129071
7516,89.236748,466.98999,0.381118,0.385185,0.0,0.0,0.056969,69404.0,0.082256,0.112819,0.081343,0.162961,-0.029138,0.305355,7.194337,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.234239,-0.074016,-0.0056,0.0,0.0,-0.039866,-0.009539,-0.007938,-0.014444,0.382055,-0.020516,-0.052442,-0.004568,-0.012583,0.83624,2.057164,-0.045667,-0.000294,-0.039335,0.0,4.190476,0.025171,0.075791,0.148479
7517,93.335228,491.359985,0.397696,0.410055,0.0,0.0,0.056997,66890.0,0.086292,0.120801,0.080556,0.181112,-0.033649,0.322154,7.220008,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.246251,-0.081434,-0.008889,0.0,0.0,-0.046871,-0.010721,-0.009713,-0.017297,0.398978,-0.021444,-0.057286,-0.004567,-0.015395,0.86735,2.16303,-0.053317,-0.000341,-0.061994,0.0,3.708333,0.022654,0.091882,0.125147
7518,99.428947,518.460022,0.401199,0.430984,0.0,0.0,0.057029,71495.0,0.085988,0.123476,0.095545,0.18882,-0.030717,0.352269,7.217033,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.258251,-0.078862,-0.006175,0.0,0.0,-0.042776,-0.00991,-0.008157,-0.014702,0.424658,-0.021173,-0.057429,-0.004426,-0.013663,0.934406,2.281381,-0.046638,-0.00058,-0.083964,0.0,4.708333,0.024422,0.085784,0.147608
7519,102.80368,541.609985,0.446876,0.461081,0.0,0.0,0.056918,62273.0,0.102166,0.135314,0.103215,0.212864,-0.038439,0.369064,7.230178,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.270248,-0.078664,-0.010763,0.0,-0.000278,-0.054167,-0.011662,-0.010674,-0.018568,0.436077,-0.024657,-0.071191,-0.005518,-0.019264,0.939188,2.362124,-0.058173,-0.000398,-0.086754,0.041667,4.291667,0.019762,0.079092,0.131232
7520,107.867119,562.539978,0.474727,0.47155,0.0,0.0,0.056823,57275.0,0.092365,0.139142,0.100125,0.188086,-0.033582,0.363976,7.234909,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.281998,-0.080145,-0.008246,0.0,-0.000333,-0.046424,-0.010945,-0.008734,-0.016346,0.468289,-0.023316,-0.061695,-0.004501,-0.016069,1.020924,2.488997,-0.049989,-0.000491,-0.097862,0.041667,4.0,0.016936,0.078541,0.141955
