iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.331586,11.91,0.00933,0.00993,0.090909,38.909092,0.060444,33913.0,0.00472,0.005006,0.000869,0.00295,-0.001232,0.005072,11.764311,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.00605,-0.002227,-0.000158,0.0,-0.006581,-0.006571,-0.000341,-0.001132,-0.000345,0.010807,-0.010479,-0.005158,-0.003321,-0.001119,0.01397,0.046701,-0.001063,-4e-06,-0.0,38.909092,0.0,4.545455,0.096465,0.106501,0.157913
7498,5.561242,37.040001,0.028502,0.029408,0.458333,0.0,0.0608,45793.0,0.009914,0.013637,0.005062,0.0126,-0.002374,0.019344,10.172625,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.017815,-0.005742,-0.000646,0.0,-0.0035,-0.007355,-0.000987,-0.000797,-0.001075,0.030039,-0.013943,-0.014659,-0.001089,-0.001878,0.052042,0.140811,-0.004028,-6.1e-05,-5.2e-05,0.0,0.0,4.125,0.024371,0.107985,0.170499
7499,9.569548,60.919998,0.04859,0.048984,0.416667,0.0,0.061141,46167.0,0.016107,0.024953,0.009291,0.019651,-0.004003,0.032846,10.015349,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.029792,-0.009671,-0.001302,0.0,-0.007433,-0.010801,-0.001638,-0.001272,-0.001788,0.049228,-0.024734,-0.023943,-0.00189,-0.002567,0.09457,0.229999,-0.006559,-0.000993,-0.000282,0.291667,0.0,3.75,0.023747,0.125678,0.196863
7500,15.043756,85.610001,0.069657,0.068107,0.208333,0.0,0.06132,53128.0,0.016996,0.026935,0.011402,0.024209,-0.004291,0.042448,10.132267,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.042134,-0.013231,-0.001335,0.0,-0.001877,-0.011085,-0.001819,-0.001311,-0.002492,0.069939,-0.016083,-0.020278,-0.001674,-0.003034,0.145083,0.345231,-0.006658,-0.000115,-0.001096,0.041667,0.0,4.5,0.021906,0.094517,0.16143
7501,19.210251,106.839996,0.088901,0.090817,0.130435,0.0,0.061506,54531.0,0.021958,0.032953,0.01608,0.036407,-0.006424,0.064376,10.121851,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.053491,-0.016316,-0.0016,0.0,-0.001449,-0.016715,-0.002342,-0.001868,-0.003384,0.088308,-0.011934,-0.019245,-0.001859,-0.004503,0.183783,0.445402,-0.009714,-0.000159,-0.00102,0.043478,0.0,4.608696,0.020447,0.092126,0.148217
7502,23.642857,130.220001,0.1018,0.106271,0.086957,0.0,0.061762,54509.0,0.02598,0.038469,0.023207,0.049155,-0.007995,0.085305,10.054327,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.064885,-0.019133,-0.001624,0.0,-0.001566,-0.018124,-0.002811,-0.002258,-0.004043,0.105419,-0.016841,-0.024368,-0.001876,-0.004405,0.224177,0.543003,-0.012153,-0.000138,-0.001817,0.086957,0.0,4.478261,0.02465,0.083829,0.163722
7503,28.493757,156.130005,0.12331,0.131424,0.166667,0.0,0.062196,53808.0,0.03316,0.04625,0.024024,0.054973,-0.009009,0.099751,10.205317,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.077701,-0.024425,-0.002754,0.0,-0.002516,-0.020823,-0.003375,-0.00272,-0.004592,0.128075,-0.018402,-0.030895,-0.002659,-0.005213,0.268548,0.656404,-0.014174,-0.000191,-0.002647,0.125,0.0,4.666667,0.025307,0.086856,0.150557
7504,31.863577,174.75,0.144491,0.145061,0.333333,0.0,0.062476,53747.0,0.033724,0.050077,0.029308,0.064979,-0.011519,0.117112,10.439627,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.087013,-0.027695,-0.002944,0.0,-0.004351,-0.026002,-0.004013,-0.003391,-0.005956,0.141917,-0.020207,-0.030037,-0.002839,-0.006304,0.307268,0.729834,-0.01744,-0.000206,-0.004247,0.208333,0.0,3.958333,0.031225,0.12531,0.189612
7505,37.926632,202.509995,0.163122,0.167713,0.173913,0.0,0.062859,53912.0,0.033834,0.057089,0.03023,0.063047,-0.0109,0.118398,10.334364,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.099931,-0.029276,-0.002195,0.0,-0.001884,-0.026527,-0.004203,-0.003029,-0.005891,0.159833,-0.017384,-0.031579,-0.003089,-0.006977,0.359778,0.84782,-0.016596,-0.000169,-0.004358,0.086957,0.0,4.782609,0.031184,0.115042,0.145096
7506,40.052814,221.320007,0.176166,0.179031,0.583333,0.0,0.063417,53120.0,0.041119,0.065017,0.036309,0.073173,-0.012891,0.135686,10.371014,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.10801,-0.033072,-0.004467,0.0,-0.007548,-0.026132,-0.004747,-0.003503,-0.006306,0.176462,-0.028272,-0.044899,-0.003328,-0.006156,0.384158,0.910287,-0.019388,-0.001245,-0.010138,0.25,0.0,3.458333,0.047857,0.143891,0.232251
7507,44.520115,242.990005,0.186565,0.194996,0.375,0.125,0.063831,51629.0,0.046587,0.074369,0.041268,0.084992,-0.01514,0.152307,10.532288,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.120053,-0.036206,-0.003898,0.0,-0.007625,-0.034969,-0.005589,-0.004772,-0.007829,0.19145,-0.037437,-0.070531,-0.00416,-0.006477,0.42968,1.005354,-0.023775,-0.000891,-0.007638,0.25,0.0,3.916667,0.052819,0.164533,0.228209
7508,50.401405,274.529999,0.220054,0.230116,0.375,0.041667,0.064097,50114.0,0.050291,0.077497,0.043658,0.098486,-0.016789,0.173645,10.3256,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.136867,-0.043988,-0.004224,0.0,-0.004756,-0.036314,-0.006188,-0.005415,-0.00931,0.218163,-0.034623,-0.046371,-0.004404,-0.008156,0.487661,1.154031,-0.027012,-0.000275,-0.011815,0.333333,0.0,4.625,0.04765,0.147859,0.182912
