iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.781094,15.09,0.008372,0.007591,1.291667,36.75,0.976468,47702.0,0.00675,0.019426,0.000667,0.004382,-0.001748,0.00212,11.384724,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005681,-5.7e-05,-3.8e-05,0.0,-0.014198,-0.005555,-0.038458,-0.002553,-0.000343,0.008418,-0.004965,-0.001283,-0.003004,-0.001444,0.012501,0.002942,-0.013477,-2e-05,-5.2e-05,36.416668,3.458333,0.050398,0.143806,0.330122
1,-1.952162,40.57,0.021359,0.018946,11.041667,0.083333,0.947493,79458.0,0.018016,0.057576,0.003942,0.015474,-0.004695,0.008682,10.638508,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015873,-0.000161,-0.000261,0.0,-0.028549,-0.014452,-0.111509,-0.006888,-0.000861,0.023086,-0.013176,-0.003375,-0.006952,-0.003943,0.034246,0.008053,-0.03792,-0.000151,-0.000681,0.0,4.541667,0.033176,0.125064,0.618685
2,-2.458012,61.52,0.034127,0.03162,9.458334,0.0,0.918491,79009.0,0.028759,0.094553,0.005643,0.023313,-0.006936,0.012734,10.646074,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02607,-0.000263,-0.000458,0.0,-0.029415,-0.022398,-0.174812,-0.011119,-0.00147,0.036407,-0.019575,-0.005279,-0.011799,-0.006064,0.055413,0.01361,-0.059155,-0.000404,-0.00184,0.0,3.208333,0.034106,0.132362,0.636397
3,-2.294314,75.260002,0.046134,0.047527,7.958333,0.0,0.889503,74874.0,0.037449,0.126151,0.007138,0.029956,-0.008714,0.0167,10.59108,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035595,-0.000352,-0.0006,0.0,-0.026778,-0.029046,-0.231808,-0.014847,-0.002093,0.0491,-0.024874,-0.007084,-0.016089,-0.007817,0.078073,0.019372,-0.078324,-0.000708,-0.002926,0.0,3.833333,0.031096,0.143642,0.596116
4,-2.70037,93.459999,0.058239,0.05878,9.083334,0.0,0.862451,76197.0,0.047075,0.157036,0.009098,0.040335,-0.011196,0.023194,10.564314,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.044062,-0.000429,-0.000724,0.0,-0.028145,-0.036912,-0.275161,-0.017982,-0.002567,0.063193,-0.03066,-0.009163,-0.019934,-0.009871,0.094924,0.024218,-0.093277,-0.001691,-0.006454,0.0,4.125,0.030369,0.138776,0.602656
5,-2.752878,112.160004,0.068221,0.070926,7.333333,0.041667,0.834934,81659.0,0.056864,0.196654,0.01082,0.044005,-0.012776,0.022841,10.543509,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053751,-0.000525,-0.000845,0.0,-0.027586,-0.043107,-0.319401,-0.021716,-0.003141,0.074438,-0.036012,-0.010715,-0.023788,-0.011817,0.115415,0.030629,-0.108475,-0.001888,-0.007644,0.0,3.208333,0.032047,0.135372,0.61278
6,-2.713183,138.320007,0.079238,0.085545,7.125,0.0,0.809225,79746.0,0.065006,0.233478,0.011604,0.052118,-0.014296,0.02939,10.497334,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064371,-0.000627,-0.000974,0.0,-0.027595,-0.050729,-0.368421,-0.025357,-0.003758,0.087255,-0.043195,-0.01257,-0.027521,-0.013802,0.145667,0.035584,-0.125364,-0.002379,-0.010204,0.0,3.291667,0.033087,0.149954,0.609442
7,-2.128268,152.869995,0.097098,0.105254,5.708333,0.0,0.787314,75502.0,0.077299,0.272963,0.015002,0.063615,-0.018276,0.035244,10.44126,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075121,-0.000717,-0.001314,0.0,-0.025651,-0.06331,-0.413307,-0.028851,-0.004376,0.111208,-0.048251,-0.014445,-0.032545,-0.017369,0.166017,0.043237,-0.140977,-0.003824,-0.017508,0.0,3.041667,0.032204,0.136836,0.534415
8,-1.876067,181.289993,0.111543,0.130303,4.666667,0.0,0.767313,75768.0,0.089522,0.327317,0.016127,0.072865,-0.019838,0.042134,10.417675,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091427,-0.000886,-0.001687,0.0,-0.023687,-0.073197,-0.486813,-0.034242,-0.005299,0.126858,-0.055759,-0.017105,-0.038313,-0.020025,0.213341,0.055086,-0.166502,-0.004649,-0.016076,0.0,3.458333,0.031492,0.139608,0.525946
9,-1.502021,200.630005,0.120025,0.136876,4.041667,0.0,0.748342,83293.0,0.093234,0.33674,0.018153,0.072618,-0.021503,0.040201,10.372532,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095795,-0.000912,-0.001628,0.0,-0.021104,-0.079676,-0.485122,-0.035066,-0.005404,0.138273,-0.058799,-0.017677,-0.038677,-0.022086,0.223651,0.058466,-0.166551,-0.006161,-0.023041,0.0,3.541667,0.030804,0.148204,0.490973
10,-1.132723,209.360001,0.130072,0.151167,3.666667,0.0,0.729814,72394.0,0.104674,0.369054,0.020866,0.090949,-0.024301,0.054788,10.353027,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.104681,-0.000972,-0.001723,0.0,-0.021568,-0.087578,-0.510443,-0.037799,-0.005961,0.15505,-0.063126,-0.019527,-0.043106,-0.024193,0.236271,0.065427,-0.175472,-0.008181,-0.02612,0.0,3.375,0.030905,0.143659,0.455974
11,-0.642196,247.080002,0.137849,0.168522,3.166667,0.0,0.716742,80180.0,0.116088,0.39998,0.022161,0.100376,-0.026355,0.057065,10.316603,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.115934,-0.001087,-0.0019,0.0,-0.020343,-0.098086,-0.547672,-0.041136,-0.006672,0.172385,-0.066698,-0.02051,-0.045892,-0.027409,0.261193,0.076201,-0.18899,-0.008601,-0.036142,0.0,3.458333,0.032329,0.155126,0.431105
12,-0.142212,253.449997,0.150537,0.178457,2.833333,0.0,0.705999,81383.0,0.124982,0.426692,0.023495,0.101457,-0.02703,0.054759,10.271284,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.124128,-0.001166,-0.002155,0.0,-0.020016,-0.099203,-0.569784,-0.043871,-0.006833,0.179766,-0.072195,-0.022267,-0.0485,-0.028041,0.277211,0.082836,-0.196663,-0.012565,-0.039613,0.0,3.5,0.037395,0.159666,0.420416
13,0.303305,272.029999,0.163759,0.193293,3.625,0.0,0.695023,76690.0,0.136942,0.466606,0.026065,0.109282,-0.029563,0.058486,10.280326,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.134061,-0.001233,-0.002128,0.0,-0.020115,-0.108805,-0.591237,-0.045494,-0.007346,0.198967,-0.076167,-0.023663,-0.051677,-0.030825,0.289358,0.089188,-0.204721,-0.008972,-0.037278,0.0,3.458333,0.033843,0.151034,0.444679
14,1.762954,281.309998,0.199149,0.197301,2.875,0.0,0.685099,73898.0,0.142547,0.470079,0.025044,0.111883,-0.028992,0.057706,10.271629,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.13756,-0.00124,-0.002588,0.0,-0.019759,-0.105548,-0.590881,-0.046168,-0.007477,0.198624,-0.076521,-0.025314,-0.053512,-0.029676,0.294622,0.093886,-0.204803,-0.012514,-0.051039,0.0,2.958333,0.025796,0.141896,0.446687
15,2.29864,319.329987,0.203524,0.232564,2.416667,0.0,0.675961,80526.0,0.152216,0.552877,0.028464,0.104438,-0.031624,0.062407,10.234653,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.15843,-0.001426,-0.002748,0.0,-0.019001,-0.115311,-0.66203,-0.052253,-0.008744,0.221846,-0.088263,-0.028512,-0.06128,-0.032704,0.381608,0.105242,-0.230028,-0.011678,-0.032915,0.0,2.958333,0.028095,0.139397,0.430001
16,2.928895,335.980011,0.236865,0.253072,1.916667,0.0,0.667478,68290.0,0.177387,0.590348,0.035903,0.134157,-0.035972,0.069209,10.235714,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.172925,-0.001547,-0.002811,0.0,-0.017069,-0.127964,-0.715818,-0.058401,-0.009279,0.249108,-0.095169,-0.032164,-0.066377,-0.035516,0.377264,0.121574,-0.249028,-0.016088,-0.053915,0.0,2.708333,0.028973,0.179704,0.381957
17,4.423958,379.23999,0.267874,0.285651,1.375,0.0,0.660083,82268.0,0.190154,0.659836,0.036818,0.142724,-0.041025,0.080807,10.230201,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.192815,-0.001711,-0.003342,0.0,-0.011794,-0.148826,-0.774999,-0.062931,-0.010741,0.283523,-0.102772,-0.033573,-0.075606,-0.041644,0.442805,0.133773,-0.269601,-0.017962,-0.071883,0.0,3.208333,0.029365,0.1642,0.295603
18,3.898683,380.019989,0.218752,0.28574,1.541667,0.0,0.653063,82783.0,0.18815,0.636981,0.033467,0.145596,-0.038899,0.077929,10.196697,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.188207,-0.001699,-0.003768,0.0,-0.015425,-0.14974,-0.729814,-0.060257,-0.010168,0.27841,-0.096833,-0.032674,-0.070919,-0.042197,0.419654,0.138194,-0.255021,-0.016562,-0.073121,0.0,2.5,0.030375,0.122028,0.356838
19,5.189792,406.540009,0.255196,0.289088,1.590909,0.0,0.644377,86229.0,0.196929,0.66208,0.03875,0.152138,-0.042196,0.086009,10.224437,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.199548,-0.001784,-0.003683,0.0,-0.016355,-0.159728,-0.76455,-0.061471,-0.010633,0.295915,-0.096861,-0.032956,-0.07304,-0.046055,0.449536,0.159554,-0.267467,-0.019759,-0.069226,0.0,2.909091,0.031916,0.149008,0.373231
20,5.570457,417.399994,0.255466,0.296639,1.25,0.0,0.638003,83359.0,0.205072,0.655815,0.032774,0.167549,-0.040935,0.089649,10.184609,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.201652,-0.001844,-0.003803,0.0,-0.014881,-0.168737,-0.738621,-0.062096,-0.010937,0.301613,-0.096902,-0.033511,-0.073906,-0.048595,0.42752,0.162514,-0.259047,-0.016435,-0.087058,0.0,2.541667,0.031436,0.145468,0.342216
21,7.764232,446.049988,0.291868,0.34312,1.541667,0.0,0.630116,83179.0,0.205829,0.731183,0.038219,0.167793,-0.042896,0.111401,10.19307,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.224627,-0.00204,-0.004304,0.0,-0.012931,-0.167956,-0.824559,-0.068172,-0.012181,0.318944,-0.106584,-0.036214,-0.081669,-0.048163,0.549218,0.182524,-0.289107,-0.024757,-0.092231,0.0,3.166667,0.030507,0.161312,0.33172
22,8.585165,472.839996,0.29761,0.356047,1.136364,0.0,0.622837,86263.0,0.225028,0.762689,0.046364,0.173143,-0.048976,0.101028,10.216318,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.235716,-0.002082,-0.004819,0.0,-0.010883,-0.184186,-0.845143,-0.072549,-0.012485,0.350862,-0.114194,-0.039997,-0.08445,-0.052295,0.558535,0.193939,-0.296946,-0.021326,-0.09253,0.0,3.318182,0.031545,0.140254,0.291336
23,9.839978,477.589996,0.335441,0.373269,1.043478,0.0,0.616652,85666.0,0.229554,0.792281,0.051747,0.181336,-0.050996,0.117953,10.165065,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.245594,-0.002106,-0.004712,0.0,-0.01046,-0.182232,-0.861202,-0.074603,-0.01273,0.368013,-0.121499,-0.042403,-0.086206,-0.051965,0.610649,0.192124,-0.303605,-0.032683,-0.115098,0.0,2.73913,0.028493,0.158254,0.300234
24,11.28538,552.599976,0.356182,0.417591,0.375,0.0,0.610684,82728.0,0.250269,0.924325,0.049237,0.208905,-0.054895,0.136776,10.18186,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.279964,-0.002488,-0.006963,0.0,-0.003627,-0.219005,-0.975008,-0.083934,-0.014755,0.416168,-0.131604,-0.046379,-0.097231,-0.062526,0.714223,0.232101,-0.343321,-0.026731,-0.116412,0.0,3.083333,0.030037,0.137034,0.173828
25,11.874268,563.440002,0.391558,0.429766,0.625,0.0,0.604334,81489.0,0.267223,0.899648,0.049528,0.20469,-0.054013,0.121127,10.169791,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.283041,-0.002555,-0.00605,0.0,-0.00669,-0.2224,-0.972677,-0.084754,-0.014954,0.413698,-0.131121,-0.046405,-0.096881,-0.063205,0.672312,0.249628,-0.34321,-0.029775,-0.116359,0.0,2.875,0.02836,0.15248,0.221563
26,13.619346,584.169983,0.405106,0.452169,0.416667,0.0,0.597924,83149.0,0.283735,0.96832,0.057214,0.231813,-0.060954,0.153784,10.155993,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.30184,-0.002648,-0.006801,0.0,-0.004472,-0.227867,-1.010592,-0.089209,-0.015579,0.453778,-0.139607,-0.051027,-0.106532,-0.065602,0.734507,0.259349,-0.357211,-0.035484,-0.144702,0.0,2.708333,0.024826,0.119552,0.194912
27,14.039872,602.690002,0.385276,0.442764,0.695652,0.0,0.592093,86288.0,0.282422,0.94648,0.057675,0.216065,-0.060215,0.124372,10.146224,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.298934,-0.002662,-0.006796,0.0,-0.008841,-0.233151,-0.99062,-0.0906,-0.01574,0.448353,-0.139081,-0.050363,-0.104051,-0.066264,0.713376,0.260585,-0.350198,-0.026137,-0.123387,0.0,2.913043,0.029702,0.150172,0.258168
28,15.961602,657.090027,0.44012,0.499952,0.478261,0.0,0.585445,84671.0,0.315309,1.049608,0.056831,0.233786,-0.0633,0.133302,10.103824,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.331612,-0.002937,-0.007511,0.0,-0.004709,-0.254223,-1.084199,-0.093733,-0.017143,0.489486,-0.146704,-0.054025,-0.111021,-0.072798,0.789234,0.29814,-0.383476,-0.03863,-0.146341,0.0,3.173913,0.025935,0.154746,0.207674
29,16.129932,630.940002,0.380685,0.462483,0.666667,0.0,0.578862,83895.0,0.27763,0.957596,0.0509,0.215704,-0.056137,0.126002,10.113364,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.311407,-0.002775,-0.008268,0.0,-0.006478,-0.239072,-0.998188,-0.085587,-0.015946,0.45258,-0.130619,-0.046289,-0.101837,-0.069285,0.775225,0.302501,-0.353516,-0.020482,-0.116306,0.0,2.916667,0.029442,0.194004,0.200655
30,18.480314,649.919983,0.468972,0.527291,0.434783,0.0,0.572669,85986.0,0.313392,1.050164,0.065647,0.263303,-0.066315,0.167936,10.128317,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.344842,-0.003007,-0.008012,0.0,-0.003913,-0.270766,-1.095659,-0.096789,-0.017504,0.518447,-0.14673,-0.054768,-0.110764,-0.078062,0.847387,0.328544,-0.388177,-0.035361,-0.160222,0.0,3.0,0.027454,0.12951,0.190781
31,20.52154,692.070007,0.493076,0.523988,0.625,0.0,0.566286,84288.0,0.320616,1.103103,0.067103,0.256569,-0.06661,0.156805,10.126992,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.355389,-0.003108,-0.008594,0.0,-0.006583,-0.265159,-1.106952,-0.100053,-0.017901,0.520775,-0.152679,-0.055122,-0.115925,-0.075944,0.903396,0.328602,-0.392806,-0.027168,-0.156033,0.0,2.708333,0.026463,0.148783,0.232556
32,21.200449,726.98999,0.495052,0.558674,0.541667,0.0,0.560794,82652.0,0.340091,1.161579,0.077062,0.266035,-0.075264,0.167791,10.126109,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.371434,-0.003175,-0.00913,0.0,-0.006667,-0.281467,-1.139936,-0.105705,-0.018703,0.564792,-0.160406,-0.060032,-0.126339,-0.08112,0.914746,0.345438,-0.4055,-0.04589,-0.157128,0.0,2.708333,0.031853,0.135171,0.214609
33,21.461472,757.440002,0.49372,0.574429,0.5,0.0,0.554276,76877.0,0.3539,1.195163,0.079639,0.276642,-0.079911,0.187623,10.11845,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.377975,-0.003199,-0.009771,0.0,-0.006,-0.291558,-1.134679,-0.107917,-0.019253,0.586485,-0.165124,-0.064983,-0.129293,-0.082309,0.932248,0.348172,-0.403908,-0.039101,-0.176074,0.0,2.833333,0.032111,0.141487,0.219113
34,25.136881,791.75,0.532982,0.62411,0.285714,0.0,0.548074,89894.0,0.356145,1.230321,0.07318,0.282963,-0.076362,0.179925,10.079619,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.397967,-0.003417,-0.009633,0.0,-0.005397,-0.297708,-1.185054,-0.106776,-0.019899,0.594201,-0.160919,-0.064862,-0.130157,-0.084986,1.007313,0.401319,-0.422632,-0.031617,-0.212663,0.0,2.952381,0.030805,0.138977,0.182936
