iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.393803,11.69,0.009365,0.009876,0.0,38.909092,0.060821,38321.0,0.005983,0.004995,0.000951,0.002876,-0.001111,0.004374,11.500319,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.00602,-0.002181,-0.000131,0.0,-0.006564,-0.006893,-0.000329,-0.001058,-0.000335,0.01073,-0.0086,-0.003798,-0.003315,-0.00109,0.012843,0.046984,-0.000939,-4e-06,-0.0,38.954548,0.0,4.545455,0.096245,0.101757,0.156056
7498,5.595824,36.880001,0.029136,0.029684,0.291667,0.0,0.061246,52750.0,0.012806,0.014138,0.005235,0.012161,-0.002342,0.017401,10.368828,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018033,-0.00581,-0.000724,0.0,-0.003013,-0.006507,-0.001116,-0.000847,-0.001082,0.03022,-0.014966,-0.015679,-0.001185,-0.001837,0.048678,0.143275,-0.004211,-0.000135,-1e-05,0.041667,0.0,4.125,0.022957,0.104044,0.161992
7499,9.672462,61.07,0.048173,0.050289,0.347826,0.086957,0.061549,54378.0,0.019203,0.022825,0.009289,0.020839,-0.003872,0.032044,10.715157,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.030392,-0.009593,-0.001488,0.0,-0.004296,-0.010057,-0.001583,-0.001228,-0.001842,0.049723,-0.018159,-0.022396,-0.001623,-0.002437,0.090851,0.241241,-0.006114,-0.001314,-0.000358,0.173913,0.0,3.913043,0.025047,0.109822,0.187009
7500,13.937263,85.580002,0.067669,0.06677,0.5,0.0,0.061803,49796.0,0.020961,0.030678,0.011522,0.026409,-0.005102,0.042289,10.843519,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.041792,-0.013679,-0.001873,0.0,-0.00455,-0.012548,-0.002032,-0.001597,-0.002656,0.067885,-0.020483,-0.029539,-0.002028,-0.002933,0.135391,0.337694,-0.008086,-0.000517,-0.000799,0.166667,0.0,4.5,0.025173,0.125444,0.199759
7501,18.594292,107.459999,0.089076,0.09233,0.086957,0.0,0.06215,51095.0,0.028298,0.034696,0.016321,0.038628,-0.007191,0.062265,10.754539,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.053976,-0.016671,-0.001935,0.0,-0.002005,-0.018611,-0.002582,-0.002166,-0.003725,0.08781,-0.016266,-0.024068,-0.001906,-0.004633,0.173261,0.446047,-0.010913,-0.000288,-0.000812,0.173913,0.0,4.652174,0.022181,0.076404,0.141964
7502,23.070972,130.470001,0.10131,0.104958,0.391304,0.0,0.06249,52195.0,0.032136,0.040427,0.023578,0.052266,-0.008826,0.08382,10.810658,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.064879,-0.019541,-0.002167,0.0,-0.003155,-0.019469,-0.003074,-0.002579,-0.004223,0.10253,-0.020618,-0.024369,-0.002158,-0.004487,0.210274,0.540444,-0.013934,-0.000379,-0.003264,0.043478,0.0,4.521739,0.025336,0.090341,0.198222
7503,26.757286,155.369995,0.121475,0.129021,0.333333,0.0,0.062859,49999.0,0.045682,0.047155,0.022656,0.05576,-0.010734,0.089349,10.777804,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.076943,-0.025639,-0.004485,0.0,-0.004862,-0.025094,-0.003863,-0.003421,-0.005575,0.122263,-0.026124,-0.029983,-0.00337,-0.005619,0.240912,0.63904,-0.017617,-0.001149,-0.001657,0.416667,0.0,4.625,0.034859,0.137398,0.17416
7504,31.497616,177.559998,0.144238,0.144768,0.458333,0.0,0.063002,48909.0,0.048763,0.054196,0.028659,0.064323,-0.012134,0.109386,11.012286,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.087175,-0.027156,-0.003788,0.0,-0.005382,-0.027941,-0.004253,-0.003487,-0.005982,0.140381,-0.02493,-0.040047,-0.003187,-0.006889,0.280988,0.727518,-0.01837,-0.001419,-0.005028,0.208333,0.0,3.958333,0.03603,0.142369,0.198275
7505,34.398056,197.660004,0.156681,0.164488,0.791667,0.041667,0.063342,49927.0,0.045601,0.061403,0.030805,0.072551,-0.014041,0.11924,11.250938,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.097886,-0.030942,-0.004309,0.0,-0.007121,-0.032674,-0.005314,-0.004655,-0.00777,0.150844,-0.035536,-0.043747,-0.004607,-0.007161,0.326283,0.806166,-0.024004,-0.000335,-0.006502,0.291667,0.0,4.583333,0.065733,0.169969,0.201317
7506,40.197666,226.190002,0.183223,0.186137,0.541667,0.0,0.063512,51758.0,0.05351,0.067472,0.038776,0.0828,-0.015768,0.145327,11.034407,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.113241,-0.034763,-0.004815,0.0,-0.006571,-0.034256,-0.005773,-0.004887,-0.00824,0.181465,-0.03981,-0.044912,-0.004157,-0.007393,0.380103,0.948283,-0.025471,-0.00072,-0.011467,0.208333,0.0,3.416667,0.061992,0.159171,0.201916
