iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,0.823397,11.79,0.009591,0.010096,0.0,38.909092,0.060905,37201.0,0.005057,0.004762,0.000827,0.002862,-0.004098,0.004708,28.753668,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006051,-0.002032,-7.6e-05,0.0,-0.006564,-0.036108,-0.000315,-0.001761,-0.000387,0.011111,-0.008854,-0.003955,-0.013836,-0.001059,0.015119,0.050963,-0.000959,-2e-06,-1e-06,38.954548,0.0,4.545455,0.132587,0.091738,0.154754
7498,6.132811,37.869999,0.029366,0.029953,0.333333,0.041667,0.061147,52848.0,0.011479,0.01314,0.005094,0.012758,-0.002253,0.019163,10.818652,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.01822,-0.005636,-0.000566,0.0,-0.002414,-0.005632,-0.000901,-0.000737,-0.000976,0.031031,-0.009367,-0.009202,-0.000882,-0.001549,0.050414,0.151731,-0.00364,-0.000152,-8e-05,0.0,0.0,4.125,0.022633,0.0949,0.148385
7499,9.302351,58.59,0.044913,0.046664,0.708333,0.041667,0.061427,52869.0,0.016944,0.021935,0.008766,0.019948,-0.003991,0.031075,11.104102,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.027999,-0.008915,-0.001173,0.0,-0.008216,-0.010735,-0.001721,-0.001385,-0.00162,0.046835,-0.02585,-0.023704,-0.001476,-0.001919,0.08534,0.231337,-0.006766,-0.000125,-0.000141,0.083333,0.0,3.75,0.025513,0.132157,0.229578
7500,14.200038,84.879997,0.067531,0.066375,0.375,0.0,0.061863,55683.0,0.019432,0.029137,0.011302,0.0269,-0.005066,0.045903,10.534587,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.041566,-0.013436,-0.001613,0.0,-0.004867,-0.011607,-0.002106,-0.001603,-0.00223,0.069763,-0.023133,-0.033184,-0.001822,-0.002351,0.139083,0.349747,-0.008212,-0.00049,-0.000488,0.25,0.0,4.5,0.023035,0.123081,0.184903
7501,17.665237,103.860001,0.08361,0.087362,0.173913,0.0,0.062169,57492.0,0.027067,0.037252,0.016141,0.038202,-0.007527,0.061737,10.410174,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.051436,-0.016658,-0.002279,0.0,-0.006783,-0.014601,-0.0029,-0.002434,-0.003241,0.084304,-0.030125,-0.0354,-0.002578,-0.002856,0.164647,0.425354,-0.012567,-0.000465,-0.000643,0.521739,0.0,4.608696,0.02259,0.127727,0.183241
7502,23.173567,131.410004,0.104551,0.106956,0.217391,0.0,0.062481,57835.0,0.033998,0.044483,0.023974,0.053744,-0.009928,0.084801,10.835794,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.065353,-0.019586,-0.003,0.0,-0.00442,-0.018387,-0.003446,-0.002913,-0.004258,0.104805,-0.024324,-0.044838,-0.002675,-0.003183,0.211392,0.544355,-0.015119,-0.000593,-0.002049,0.173913,0.0,4.391304,0.026092,0.122638,0.19213
7503,26.567688,152.100006,0.119108,0.127887,0.625,0.0,0.063025,51434.0,0.036199,0.050682,0.024067,0.054966,-0.010221,0.088959,11.352913,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.075405,-0.023788,-0.002867,0.0,-0.005294,-0.019663,-0.004013,-0.00321,-0.004648,0.121949,-0.029974,-0.046083,-0.002753,-0.003589,0.250821,0.631607,-0.017396,-0.001769,-0.002439,0.291667,0.0,4.583333,0.029036,0.108935,0.191967
7504,31.259481,176.169998,0.141659,0.147314,0.333333,0.083333,0.063385,56528.0,0.044932,0.05827,0.029091,0.068321,-0.012455,0.114356,11.228499,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.087941,-0.029229,-0.004323,0.0,-0.006187,-0.025707,-0.004716,-0.004269,-0.005671,0.142032,-0.037951,-0.049783,-0.004224,-0.004571,0.290798,0.727306,-0.020598,-0.001174,-0.004077,0.291667,0.0,3.916667,0.033528,0.134113,0.190657
7505,35.671333,200.110001,0.158375,0.16544,0.583333,0.083333,0.06381,55088.0,0.046687,0.065331,0.031528,0.073544,-0.013725,0.121419,11.54903,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.098894,-0.031521,-0.00418,0.0,-0.007072,-0.026737,-0.00542,-0.004625,-0.006471,0.159558,-0.035189,-0.050938,-0.004627,-0.004847,0.333909,0.816776,-0.023533,-0.00065,-0.004236,0.375,0.0,4.625,0.047737,0.175664,0.190831
7506,38.0131,217.309998,0.170849,0.176364,0.875,0.041667,0.064281,56241.0,0.053647,0.072351,0.036764,0.082084,-0.015438,0.138902,11.559721,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.107031,-0.035265,-0.00495,0.0,-0.010324,-0.029792,-0.005805,-0.004935,-0.007137,0.172983,-0.051029,-0.057053,-0.004802,-0.005003,0.35723,0.87824,-0.025742,-0.002061,-0.010323,0.458333,0.0,3.5,0.056988,0.161577,0.268305
7507,42.273922,241.520004,0.175486,0.182936,0.625,0.041667,0.064761,55056.0,0.056731,0.071703,0.037428,0.086109,-0.015774,0.146035,11.767161,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.111832,-0.037168,-0.00436,0.0,-0.009818,-0.032612,-0.006155,-0.005319,-0.007674,0.180531,-0.042927,-0.054134,-0.004842,-0.004711,0.376555,0.920997,-0.027372,-0.000432,-0.007788,0.5,0.0,3.875,0.063982,0.189538,0.261721
7508,45.746719,267.869995,0.218928,0.222802,0.708333,0.0,0.064842,54975.0,0.069892,0.086158,0.042291,0.106664,-0.019892,0.16803,11.354614,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.134504,-0.047535,-0.006081,0.0,-0.00713,-0.038522,-0.007675,-0.006991,-0.010098,0.212758,-0.045945,-0.066566,-0.005496,-0.006114,0.437179,1.082483,-0.035269,-0.002243,-0.009123,0.666667,0.0,4.791667,0.083998,0.164096,0.19562
7509,51.798573,293.799988,0.235751,0.239671,0.478261,0.086957,0.064921,42955.0,0.074555,0.090359,0.049016,0.097519,-0.018963,0.165885,11.230632,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.146623,-0.046939,-0.00798,0.0,-0.005926,-0.037479,-0.007644,-0.005886,-0.009293,0.234117,-0.041686,-0.062127,-0.005254,-0.006912,0.487721,1.210987,-0.031714,-0.005111,-0.017311,0.391304,0.0,4.26087,0.079326,0.164611,0.180513
7510,51.798336,297.51001,0.234559,0.235549,0.791667,0.083333,0.065044,39865.0,0.061734,0.085933,0.04662,0.099124,-0.01864,0.174994,10.945433,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.141631,-0.04496,-0.005277,0.0,-0.009925,-0.035677,-0.007267,-0.005852,-0.008936,0.231592,-0.053975,-0.058502,-0.005442,-0.006291,0.487728,1.172324,-0.031281,-0.003027,-0.026095,0.666667,0.0,4.458333,0.091899,0.177693,0.248029
7511,55.821495,327.709991,0.262066,0.275471,0.708333,0.083333,0.065337,39365.0,0.082711,0.114315,0.056539,0.126074,-0.023341,0.22085,11.140925,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.165493,-0.054252,-0.007103,0.0,-0.008021,-0.045114,-0.009038,-0.007302,-0.01187,0.269337,-0.059101,-0.076201,-0.007071,-0.00825,0.549337,1.332483,-0.039499,-0.001339,-0.029242,0.666667,0.0,4.166667,0.096317,0.159021,0.219249
7512,62.066292,358.160004,0.2949,0.298735,0.458333,0.0,0.06573,39686.0,0.089474,0.122596,0.06276,0.145444,-0.027991,0.241866,10.982697,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.179699,-0.061468,-0.009272,0.0,-0.007286,-0.052443,-0.010885,-0.009635,-0.014497,0.283336,-0.058437,-0.084081,-0.00663,-0.00835,0.596874,1.435783,-0.049613,-0.001335,-0.033805,0.5,0.0,3.875,0.128266,0.165521,0.184228
