iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.458723,10.22,0.009652,0.009661,0.0,38.347828,0.061406,33361.0,0.005038,0.003417,0.000924,0.002512,-0.000571,0.004197,6.39532,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001989,-7.3e-05,0.0,-0.006245,-0.002011,-0.000264,-0.00016,-0.000298,0.011113,-0.00125,-0.001695,-0.000369,-0.001123,0.015486,0.050563,-0.00077,-3e-06,0.0,37.913044,3.608696,0.044886,0.109782,0.158128
7498,6.998527,38.25,0.029926,0.031195,0.0,0.0,0.061405,48724.0,0.010226,0.010511,0.005404,0.012069,-0.002122,0.020592,6.989274,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005354,-0.000334,0.0,0.0,-0.004107,-0.000786,-0.000537,-0.001022,0.031903,-0.001873,-0.004967,-0.0005,-0.001975,0.053459,0.155961,-0.00305,-2e-05,-2e-06,0.0,4.869565,0.020762,0.082066,0.118613
7499,11.052286,59.209999,0.05028,0.048455,0.0,0.0,0.06081,47332.0,0.015006,0.015681,0.009087,0.021985,-0.003755,0.038266,7.024632,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009731,-0.000979,0.0,0.0,-0.006395,-0.001304,-0.001021,-0.001907,0.050685,-0.002792,-0.007981,-0.000642,-0.002697,0.095093,0.262154,-0.005496,-3.8e-05,-1.4e-05,0.0,3.666667,0.018974,0.090031,0.155001
7500,16.076223,85.040001,0.066539,0.071419,0.0,0.0,0.060238,49018.0,0.015102,0.020854,0.012498,0.027315,-0.004632,0.048755,7.126501,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012531,-0.001198,0.0,0.0,-0.007591,-0.00173,-0.001282,-0.002592,0.070283,-0.003678,-0.009708,-0.000751,-0.002992,0.145784,0.36917,-0.00716,-6.2e-05,-4.2e-05,0.0,4.208333,0.022006,0.081068,0.126366
7501,21.075108,108.82,0.088098,0.091153,0.0,0.0,0.05988,48198.0,0.019227,0.028196,0.019971,0.038651,-0.006024,0.077354,7.068462,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.015116,-0.001268,0.0,0.0,-0.009478,-0.002144,-0.001543,-0.002939,0.091204,-0.00502,-0.013129,-0.000904,-0.003708,0.191926,0.471182,-0.008874,-0.000119,-0.000389,0.0,4.416667,0.020239,0.088537,0.130699
7502,24.598082,130.800003,0.107126,0.111513,0.0,0.0,0.059347,50309.0,0.027549,0.034162,0.020992,0.04488,-0.007939,0.074798,7.180612,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.01891,-0.001998,0.0,0.0,-0.012502,-0.002804,-0.002229,-0.004028,0.109321,-0.006026,-0.016851,-0.001226,-0.004968,0.225567,0.576913,-0.012512,-0.000101,-0.000556,0.0,4.0,0.020519,0.083464,0.12358
7503,30.233931,157.330002,0.126342,0.127927,0.0,0.0,0.058844,47723.0,0.025334,0.038636,0.02249,0.048133,-0.008171,0.090584,7.124028,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024718,-0.001858,0.0,0.0,-0.012633,-0.00312,-0.002383,-0.004562,0.13152,-0.006506,-0.016089,-0.00118,-0.004731,0.2816,0.688863,-0.013362,-0.000162,-0.000903,0.0,4.25,0.020854,0.084332,0.148528
7504,34.398106,178.740005,0.139758,0.151851,0.0,0.0,0.058439,48995.0,0.030546,0.047681,0.03208,0.061464,-0.010566,0.116333,7.152226,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.027445,-0.002261,0.0,0.0,-0.016017,-0.003709,-0.002932,-0.00553,0.151648,-0.008064,-0.020617,-0.001604,-0.005745,0.324476,0.785327,-0.016302,-0.000196,-0.00391,0.0,4.217391,0.023145,0.085753,0.126654
7505,39.689384,205.110001,0.16446,0.170731,0.0,0.0,0.057896,48254.0,0.031892,0.049943,0.034836,0.064033,-0.010937,0.124901,7.132901,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029804,-0.001808,0.0,0.0,-0.0163,-0.003878,-0.00291,-0.005471,0.172699,-0.008452,-0.02212,-0.001613,-0.005865,0.374181,0.90137,-0.016061,-0.000225,-0.004079,0.0,4.416667,0.021277,0.077452,0.131302
7506,44.034428,229.419998,0.181365,0.194754,0.0,0.0,0.057363,48105.0,0.039673,0.057963,0.041309,0.076459,-0.013657,0.143601,7.138769,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.034212,-0.002717,0.0,0.0,-0.01994,-0.004678,-0.003785,-0.006857,0.190054,-0.010017,-0.026051,-0.002212,-0.006612,0.410409,1.000529,-0.020993,-0.000257,-0.005038,0.0,4.608696,0.022134,0.071871,0.120433
7507,48.837608,253.369995,0.20171,0.210083,0.0,0.0,0.057192,47907.0,0.041298,0.062036,0.043822,0.081719,-0.013913,0.157575,7.159513,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.126413,-0.03594,-0.0027,0.0,0.0,-0.019734,-0.005025,-0.003842,-0.007125,0.20727,-0.010626,-0.027565,-0.002029,-0.007329,0.460659,1.11292,-0.021288,-0.000297,-0.00859,0.0,4.73913,0.021018,0.089376,0.131315
7508,53.88541,278.609985,0.222152,0.238246,0.0,0.0,0.057166,46930.0,0.0427,0.068128,0.047875,0.090799,-0.016017,0.175609,7.179811,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.13825,-0.041758,-0.003825,0.0,0.0,-0.022742,-0.005499,-0.004479,-0.007939,0.229878,-0.011831,-0.030186,-0.002354,-0.008226,0.507225,1.215362,-0.02452,-0.000489,-0.012474,0.0,4.541667,0.020425,0.073684,0.118939
7509,58.520481,301.059998,0.24057,0.25338,0.0,0.0,0.057063,47166.0,0.044089,0.071538,0.049681,0.095446,-0.015565,0.197801,7.171565,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.15025,-0.04405,-0.002716,0.0,0.0,-0.02296,-0.00553,-0.004074,-0.008033,0.256606,-0.012008,-0.031377,-0.002407,-0.008065,0.559142,1.330396,-0.02323,-0.000598,-0.012697,0.0,4.625,0.021664,0.080621,0.129823
7510,63.039791,326.799988,0.272679,0.277439,0.041667,0.0,0.057116,47857.0,0.054033,0.080177,0.058947,0.118431,-0.021059,0.212907,7.193769,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.162243,-0.049464,-0.005069,0.0,-0.000278,-0.027959,-0.006802,-0.005979,-0.010215,0.266793,-0.015035,-0.036247,-0.003005,-0.008878,0.58802,1.419699,-0.032154,-0.000389,-0.021012,0.0,4.75,0.017151,0.076028,0.131275
7511,65.724701,350.410004,0.248954,0.285919,0.0,0.0,0.057008,48456.0,0.069322,0.088274,0.066457,0.145555,-0.026498,0.243724,7.126179,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.174456,-0.053774,-0.007319,0.0,0.0,-0.038122,-0.008085,-0.007629,-0.013489,0.27478,-0.016581,-0.046729,-0.004192,-0.012705,0.603828,1.515657,-0.041924,-0.000536,-0.029239,0.0,4.565217,0.025705,0.102069,0.135778
7512,71.89827,373.079987,0.311277,0.311606,0.0,0.0,0.056859,47847.0,0.058318,0.091675,0.063494,0.119419,-0.021643,0.217601,7.147188,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.186391,-0.055969,-0.005643,0.0,0.0,-0.029083,-0.007431,-0.006057,-0.010692,0.306831,-0.015684,-0.040244,-0.003172,-0.009628,0.68171,1.642421,-0.033596,-0.00052,-0.020834,0.0,4.434783,0.018321,0.080409,0.12583
7513,76.404076,395.809998,0.315422,0.339814,0.0,0.0,0.05689,48949.0,0.065576,0.096174,0.066767,0.140508,-0.023366,0.25717,7.132499,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.19825,-0.058103,-0.005192,0.0,0.0,-0.033117,-0.008148,-0.006844,-0.01236,0.326078,-0.016911,-0.046531,-0.003341,-0.010721,0.715311,1.744137,-0.037734,-0.000427,-0.028119,0.0,4.041667,0.02329,0.082398,0.113823
7514,80.080551,420.980011,0.326673,0.356369,0.0,0.0,0.056717,50570.0,0.077119,0.103364,0.075296,0.141726,-0.025246,0.265031,7.126654,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.209886,-0.060982,-0.005898,0.0,0.0,-0.0357,-0.008519,-0.007006,-0.012979,0.345121,-0.017549,-0.04538,-0.003753,-0.012317,0.746753,1.847621,-0.038956,-0.000923,-0.039898,0.0,5.090909,0.024065,0.077653,0.134632
