iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.938444,18.16,0.008551,0.008505,1.333333,43.833336,0.976592,50239.0,0.008351,0.019906,0.000714,0.005142,-0.001835,0.002328,11.394522,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005926,-5.9e-05,-8.7e-05,0.0,-0.012023,-0.00594,0.0,-0.040963,-0.0027,-0.000371,0.008842,-0.005021,-0.001225,-0.003202,-0.001586,0.011337,0.003262,-0.014194,-1.8e-05,-2.5e-05,43.333336,5.458333,0.05105,0.128588,0.28245
1,-2.251656,40.66,0.022851,0.019458,13.291667,0.0,0.9488,89387.0,0.023773,0.057373,0.003767,0.014807,-0.004505,0.005652,10.628497,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016307,-0.000165,-0.000251,0.0,-0.027996,-0.013924,0.0,-0.115486,-0.007028,-0.000874,0.022548,-0.013343,-0.003486,-0.007351,-0.003781,0.028202,0.00857,-0.039076,-0.000133,-0.000628,0.0,5.583333,0.030831,0.127352,0.614051
2,-2.677769,61.59,0.035747,0.033364,12.25,0.0,0.919776,90287.0,0.036162,0.095917,0.005365,0.022902,-0.006929,0.010359,10.672252,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026426,-0.000265,-0.000397,0.0,-0.027267,-0.023306,0.0,-0.177317,-0.01104,-0.001515,0.037367,-0.019585,-0.005383,-0.011995,-0.006285,0.0473,0.013989,-0.059976,-0.00037,-0.001808,0.041667,5.5,0.03247,0.131103,0.612232
3,-2.836195,78.529999,0.046194,0.046827,11.625,0.041667,0.890003,88432.0,0.049258,0.127365,0.00736,0.031945,-0.008989,0.013584,10.629521,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035254,-0.000352,-0.000558,0.0,-0.02774,-0.030297,0.0,-0.231379,-0.014879,-0.002035,0.049761,-0.025349,-0.007175,-0.015493,-0.008115,0.061665,0.019894,-0.078294,-0.00082,-0.003535,0.0,5.375,0.032291,0.134256,0.61223
4,-3.277145,99.860001,0.057244,0.0616,9.458334,0.0,0.862831,89938.0,0.059074,0.164562,0.008242,0.035971,-0.010514,0.016406,10.580906,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045825,-0.000452,-0.000757,0.0,-0.026355,-0.036781,0.0,-0.286661,-0.01879,-0.002724,0.061414,-0.031776,-0.009106,-0.020348,-0.009954,0.088473,0.025234,-0.097154,-0.00101,-0.003811,0.0,5.083333,0.032931,0.139773,0.587175
5,-3.269315,115.050003,0.069669,0.073504,9.25,0.0,0.834529,90172.0,0.07047,0.19235,0.010492,0.046793,-0.012909,0.020616,10.543923,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.054459,-0.000534,-0.000872,0.0,-0.02636,-0.045588,0.0,-0.326988,-0.021667,-0.003171,0.076506,-0.036842,-0.010643,-0.023369,-0.012409,0.100051,0.031251,-0.111049,-0.001852,-0.007949,0.0,4.958333,0.032405,0.135234,0.578609
6,-3.247557,132.410004,0.080547,0.086399,8.75,0.0,0.809292,91934.0,0.081491,0.224235,0.012588,0.052299,-0.01488,0.02324,10.503707,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.062618,-0.000605,-0.000985,0.0,-0.028074,-0.051587,0.0,-0.358885,-0.024378,-0.003631,0.088765,-0.041749,-0.012235,-0.027015,-0.014234,0.112872,0.036067,-0.122317,-0.002231,-0.010318,0.0,3.708333,0.030356,0.146251,0.588629
7,-3.258242,152.479996,0.09311,0.099233,7.583333,0.0,0.784125,91647.0,0.09899,0.255973,0.01414,0.064178,-0.017437,0.028136,10.462405,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071958,-0.000695,-0.001131,0.0,-0.025507,-0.062551,0.0,-0.393962,-0.027658,-0.004197,0.105928,-0.046172,-0.013695,-0.030808,-0.017202,0.121282,0.042301,-0.134697,-0.003288,-0.013245,0.0,4.416667,0.03082,0.135444,0.573273
8,-2.994036,172.770004,0.106524,0.116962,6.666667,0.0,0.76086,89034.0,0.112955,0.303512,0.015541,0.069299,-0.019191,0.027869,10.404251,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083601,-0.000798,-0.001405,0.0,-0.024722,-0.068262,0.0,-0.440425,-0.031956,-0.00482,0.118525,-0.053859,-0.016504,-0.035653,-0.018575,0.143704,0.04851,-0.150895,-0.003687,-0.019837,0.0,4.291667,0.030141,0.148679,0.537763
9,-2.302918,182.800003,0.112198,0.125924,7.0,0.0,0.74442,89400.0,0.120338,0.31622,0.017308,0.075283,-0.020668,0.03218,10.38198,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.090708,-0.000865,-0.001606,0.0,-0.025416,-0.074513,0.0,-0.460012,-0.033644,-0.005119,0.13008,-0.055862,-0.017086,-0.037399,-0.020922,0.164871,0.055335,-0.157694,-0.004987,-0.022164,0.0,4.25,0.03175,0.151464,0.538444
