iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.463697,10.22,0.009669,0.009662,0.0,38.347828,0.061474,47112.0,0.00504,0.003458,0.000937,0.0025,-0.000573,0.004197,6.360599,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001981,-7.7e-05,0.0,-0.006245,-0.001966,0.0,-0.000263,-0.000161,-0.000293,0.011121,-0.001209,-0.00171,-0.000343,-0.001081,0.015496,0.050825,-0.000768,-3e-06,0.0,37.913044,3.608696,0.044807,0.109375,0.158126
7498,7.037504,38.25,0.029865,0.031213,0.0,0.0,0.061516,79237.0,0.009529,0.010329,0.005471,0.012284,-0.002137,0.021195,6.982717,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005311,-0.000343,0.0,0.0,-0.004205,0.0,-0.000794,-0.000562,-0.001086,0.031817,-0.001819,-0.004998,-0.00048,-0.001973,0.054206,0.156763,-0.003135,-1.9e-05,0.0,0.0,4.869565,0.020625,0.082387,0.117763
7499,11.062252,59.209999,0.050265,0.048574,0.0,0.0,0.060914,77790.0,0.014633,0.0155,0.009008,0.022058,-0.003754,0.038771,6.990319,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009677,-0.000977,0.0,0.0,-0.006474,0.0,-0.001303,-0.00102,-0.00186,0.050675,-0.002778,-0.008121,-0.000635,-0.002759,0.095454,0.262241,-0.005485,-3.4e-05,-9e-06,0.0,3.666667,0.019121,0.089709,0.15318
7500,16.12108,85.040001,0.066549,0.07145,0.0,0.0,0.060306,75112.0,0.014654,0.020716,0.012408,0.027376,-0.004599,0.049178,7.059206,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012458,-0.001232,0.0,0.0,-0.007423,0.0,-0.001718,-0.00129,-0.002516,0.070338,-0.003607,-0.009489,-0.000728,-0.003036,0.146181,0.370255,-0.007136,-5.4e-05,-4.1e-05,0.0,4.208333,0.021546,0.080143,0.125942
7501,21.170647,108.82,0.088284,0.09103,0.0,0.0,0.059943,79196.0,0.018837,0.02813,0.020154,0.038549,-0.005961,0.077535,7.039418,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.015003,-0.001246,0.0,0.0,-0.009331,0.0,-0.002143,-0.001509,-0.002787,0.091358,-0.004827,-0.0127,-0.000798,-0.003682,0.192469,0.472381,-0.008786,-0.000106,-0.000187,0.0,4.416667,0.020127,0.087997,0.129716
7502,24.708195,130.800003,0.107288,0.111491,0.0,0.0,0.059519,81054.0,0.026671,0.034013,0.021089,0.045007,-0.007946,0.075895,7.091598,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.018844,-0.00196,0.0,0.0,-0.012534,0.0,-0.002803,-0.002253,-0.00409,0.109249,-0.00585,-0.016633,-0.001228,-0.00497,0.226592,0.57869,-0.012506,-9.8e-05,-0.000198,0.0,4.0,0.020133,0.083386,0.124037
7503,30.342434,157.330002,0.12646,0.12799,0.0,0.0,0.058777,81727.0,0.024882,0.038323,0.022824,0.048246,-0.008145,0.090635,7.105057,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024521,-0.001887,0.0,0.0,-0.012501,0.0,-0.00312,-0.002332,-0.004328,0.131409,-0.006275,-0.015543,-0.001122,-0.004612,0.282077,0.691187,-0.013316,-0.000152,-0.000428,0.0,4.25,0.020584,0.085723,0.146625
7504,34.620876,178.740005,0.139911,0.15201,0.0,0.0,0.058308,80863.0,0.029424,0.04694,0.032508,0.061677,-0.010496,0.117252,7.130279,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.027255,-0.002234,0.0,0.0,-0.015513,0.0,-0.003696,-0.002959,-0.005408,0.151549,-0.007771,-0.020096,-0.001513,-0.005508,0.326174,0.788497,-0.016213,-0.000184,-0.002847,0.0,4.217391,0.02223,0.086183,0.126231
7505,39.880363,205.110001,0.164816,0.170836,0.0,0.0,0.057694,81688.0,0.030561,0.050087,0.035362,0.064292,-0.010854,0.126588,7.098969,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029666,-0.001869,0.0,0.0,-0.015959,0.0,-0.003852,-0.002888,-0.005385,0.172598,-0.008157,-0.021561,-0.001538,-0.005715,0.375545,0.903786,-0.015953,-0.000214,-0.002454,0.0,4.416667,0.020943,0.077075,0.130905
7506,44.269978,229.419998,0.181484,0.19459,0.0,0.0,0.057117,80252.0,0.038492,0.057364,0.042226,0.076584,-0.013583,0.144494,7.123556,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.034029,-0.002766,0.0,0.0,-0.019389,0.0,-0.004642,-0.003717,-0.00662,0.190091,-0.009716,-0.025302,-0.001861,-0.006329,0.411863,1.003967,-0.020814,-0.000262,-0.003768,0.0,4.608696,0.022308,0.071507,0.122294
