iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.448216,10.22,0.009652,0.009661,0.0,38.347828,0.061394,44719.0,0.005034,0.003423,0.000923,0.002513,-0.000572,0.004221,6.389789,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001988,-7.3e-05,0.0,-0.006245,-0.002008,-0.000474,-0.000264,-0.000162,-0.000302,0.011113,-0.00125,-0.0017,-0.000368,-0.001098,0.015488,0.050578,-0.000771,-3e-06,0.0,37.913044,3.608696,0.044897,0.10986,0.158139
7498,6.90118,38.25,0.029921,0.031194,0.0,0.0,0.061463,70041.0,0.010241,0.010504,0.005366,0.012071,-0.002119,0.020603,6.968838,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005359,-0.000335,0.0,0.0,-0.00415,-0.005106,-0.00079,-0.00055,-0.001047,0.031904,-0.001877,-0.004978,-0.000514,-0.001979,0.05344,0.155903,-0.003053,-2e-05,-2e-06,0.0,4.869565,0.020913,0.082019,0.118423
7499,10.86048,59.209999,0.050263,0.048456,0.0,0.0,0.061014,77733.0,0.015026,0.015643,0.008933,0.021965,-0.00377,0.03837,7.031801,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009707,-0.000992,0.0,0.0,-0.006355,-0.010666,-0.001306,-0.001026,-0.001972,0.050685,-0.002843,-0.008055,-0.000712,-0.002798,0.095119,0.261899,-0.005497,-3.8e-05,-1.7e-05,0.0,3.666667,0.019163,0.090084,0.155207
7500,15.821219,85.040001,0.066514,0.071437,0.0,0.0,0.060603,79700.0,0.015122,0.020855,0.012472,0.027318,-0.004626,0.048668,7.095985,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012534,-0.001194,0.0,0.0,-0.007586,-0.01379,-0.001722,-0.001282,-0.002642,0.070322,-0.00365,-0.009683,-0.000757,-0.003057,0.145651,0.369606,-0.007131,-6e-05,-5.8e-05,0.0,4.208333,0.021925,0.080734,0.126411
7501,20.689293,108.82,0.088063,0.091141,0.0,0.0,0.060315,77909.0,0.019226,0.028132,0.019997,0.038715,-0.006016,0.077496,7.092273,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.015125,-0.001268,0.0,0.0,-0.009438,-0.015506,-0.002139,-0.001547,-0.002978,0.091219,-0.005079,-0.013004,-0.000933,-0.003741,0.191927,0.4707,-0.008864,-0.000116,-0.000396,0.0,4.416667,0.02056,0.088437,0.129657
7502,24.209066,130.800003,0.107219,0.111458,0.0,0.0,0.059902,74238.0,0.02823,0.034493,0.020936,0.044742,-0.007901,0.074856,7.152833,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.018921,-0.001958,0.0,0.0,-0.012581,-0.018174,-0.002783,-0.002238,-0.00409,0.109406,-0.006075,-0.016948,-0.001181,-0.004933,0.2247,0.576312,-0.012343,-0.000101,-0.000567,0.0,4.0,0.020415,0.083282,0.124625
7503,29.751968,157.330002,0.126238,0.127884,0.0,0.0,0.059563,72073.0,0.025347,0.038573,0.022494,0.048166,-0.00818,0.090518,7.132076,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024653,-0.001858,0.0,0.0,-0.012528,-0.023541,-0.003118,-0.002407,-0.004584,0.131454,-0.006454,-0.016156,-0.001208,-0.004698,0.281617,0.689383,-0.013349,-0.000162,-0.000926,0.0,4.25,0.021046,0.08487,0.14808
7504,33.7817,178.740005,0.139755,0.151874,0.0,0.0,0.059287,72981.0,0.03048,0.048106,0.032127,0.061588,-0.010566,0.116221,7.166518,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.027502,-0.002248,0.0,0.0,-0.015705,-0.033925,-0.003726,-0.002968,-0.005563,0.151621,-0.008157,-0.0209,-0.001587,-0.005604,0.324591,0.784168,-0.016291,-0.000193,-0.003827,0.0,4.217391,0.023006,0.086579,0.126699
7505,38.786636,205.110001,0.164492,0.1707,0.0,0.0,0.05894,78117.0,0.033199,0.050131,0.035077,0.063807,-0.010779,0.124449,7.158286,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029711,-0.001766,0.0,0.0,-0.015945,-0.038607,-0.003849,-0.002864,-0.005357,0.172849,-0.008422,-0.022012,-0.001488,-0.00576,0.373298,0.90141,-0.01578,-0.000203,-0.004531,0.0,4.416667,0.020693,0.07676,0.131609
7506,43.094028,229.419998,0.181177,0.194818,0.0,0.0,0.058532,83406.0,0.040043,0.058044,0.041335,0.076708,-0.013686,0.143038,7.108161,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.034141,-0.002748,0.0,0.0,-0.019818,-0.045828,-0.004697,-0.003762,-0.006887,0.189972,-0.010193,-0.026414,-0.002109,-0.006613,0.409405,0.998459,-0.020953,-0.000248,-0.00571,0.0,4.608696,0.021951,0.072274,0.120622
7507,47.996868,253.369995,0.201627,0.210025,0.0,0.0,0.058393,79558.0,0.041712,0.062788,0.044093,0.082028,-0.013923,0.158015,7.161736,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.126413,-0.035877,-0.002694,0.0,0.0,-0.019729,-0.043701,-0.005064,-0.003802,-0.00704,0.207315,-0.010708,-0.027683,-0.001908,-0.007317,0.459927,1.111047,-0.021264,-0.000281,-0.00835,0.0,4.73913,0.02085,0.08884,0.130895
7508,52.649635,278.609985,0.222078,0.23819,0.0,0.0,0.058412,73127.0,0.043156,0.068854,0.04807,0.091112,-0.015984,0.175636,7.201957,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.13825,-0.041684,-0.003867,0.0,0.0,-0.022575,-0.050459,-0.005541,-0.004436,-0.007924,0.229811,-0.011987,-0.030294,-0.002563,-0.008207,0.506291,1.213406,-0.024449,-0.000459,-0.012754,0.0,4.541667,0.020266,0.073316,0.119914
7509,57.205723,301.059998,0.240307,0.253347,0.0,0.0,0.058314,69991.0,0.044835,0.072606,0.050136,0.09567,-0.015585,0.196505,7.20276,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.15025,-0.043984,-0.002702,0.0,0.0,-0.022802,-0.054149,-0.005578,-0.004084,-0.008014,0.25648,-0.012151,-0.031753,-0.002411,-0.007998,0.557904,1.328048,-0.023221,-0.000584,-0.012746,0.0,4.625,0.021289,0.079675,0.12864
7510,61.250313,326.839996,0.27274,0.277523,0.041667,0.0,0.058479,69939.0,0.054667,0.080466,0.059329,0.119013,-0.021084,0.212845,7.1869,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.162242,-0.049484,-0.00509,0.0,-0.000333,-0.027902,-0.076761,-0.006865,-0.00599,-0.010044,0.266258,-0.015394,-0.036225,-0.002947,-0.008816,0.586523,1.41654,-0.032024,-0.000377,-0.021672,0.0,4.75,0.017995,0.071161,0.125727
7511,64.166672,350.410004,0.249144,0.285829,0.0,0.0,0.058349,73727.0,0.070398,0.089059,0.066349,0.145257,-0.026465,0.241714,7.148843,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.174456,-0.053656,-0.007273,0.0,0.0,-0.037535,-0.078461,-0.008088,-0.007546,-0.013255,0.274806,-0.016654,-0.046905,-0.004158,-0.012699,0.601667,1.51374,-0.041404,-0.000515,-0.027865,0.0,4.565217,0.025453,0.099334,0.133607
7512,70.808044,373.079987,0.311134,0.311737,0.0,0.0,0.058192,77809.0,0.059374,0.092114,0.063547,0.118678,-0.021578,0.21591,7.151422,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.186391,-0.055726,-0.005582,0.0,0.0,-0.028791,-0.050125,-0.007521,-0.005933,-0.010431,0.306906,-0.015822,-0.040378,-0.003224,-0.009463,0.680606,1.640741,-0.033357,-0.000531,-0.020833,0.0,4.434783,0.017996,0.076641,0.124116
7513,74.733124,395.809998,0.315745,0.339496,0.0,0.0,0.058246,78629.0,0.066368,0.096206,0.066772,0.13994,-0.023139,0.254073,7.113323,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.19825,-0.057969,-0.005228,0.0,0.0,-0.033031,-0.078984,-0.008128,-0.006711,-0.012107,0.325718,-0.017013,-0.045992,-0.003295,-0.010796,0.713461,1.742872,-0.037131,-0.000442,-0.028879,0.0,4.041667,0.022749,0.083281,0.117549
