iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,3.16486,18.389999,0.010054,0.010454,0.0,67.375,0.060694,69210.0,0.004426,0.003473,0.000953,0.002759,-0.000606,0.005282,6.379947,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006115,-0.001916,-4.7e-05,0.0,-0.005118,-0.002093,-0.001888,-0.00027,-0.000162,-0.00031,0.011307,-0.001137,-0.001816,-0.000322,-0.001174,0.015987,0.052107,-0.000778,-2e-06,0.0,66.791672,7.916667,0.0389,0.089437,0.133294
7498,7.202434,41.560001,0.030832,0.031202,0.0,0.0,0.060927,116351.0,0.009506,0.009539,0.004527,0.011496,-0.00191,0.019222,6.972291,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.01825,-0.005591,-0.000338,0.0,0.0,-0.003752,-0.019149,-0.000725,-0.00052,-0.000941,0.031839,-0.001617,-0.004445,-0.000438,-0.001811,0.053788,0.158103,-0.002832,-1.7e-05,-0.0,0.0,8.333334,0.018208,0.076083,0.118241
7499,11.889137,66.349998,0.049299,0.052405,0.0,0.0,0.060884,116568.0,0.014407,0.015492,0.008331,0.019048,-0.0033,0.03334,7.062022,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009537,-0.000588,0.0,0.0,-0.005814,-0.03266,-0.001223,-0.000906,-0.001754,0.051718,-0.002661,-0.0071,-0.000655,-0.002451,0.09554,0.263415,-0.005109,-3.3e-05,-1.1e-05,0.0,7.75,0.019683,0.072182,0.114763
7500,16.101864,91.440002,0.069114,0.071115,0.0,0.0,0.060986,117305.0,0.017807,0.020938,0.013416,0.028181,-0.00472,0.052496,7.073518,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012547,-0.000907,0.0,0.0,-0.007346,-0.053737,-0.001674,-0.001282,-0.002404,0.071812,-0.003704,-0.009897,-0.000758,-0.00293,0.140951,0.369495,-0.007023,-7.1e-05,-0.000184,0.0,8.666667,0.019994,0.08469,0.123678
7501,21.226492,115.389999,0.089552,0.091302,0.0,0.0,0.060977,116234.0,0.018353,0.027272,0.016556,0.033704,-0.005879,0.0651,7.066193,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.016463,-0.001212,0.0,0.0,-0.009272,-0.071996,-0.002112,-0.001563,-0.003085,0.092505,-0.004692,-0.012091,-0.000941,-0.003622,0.191193,0.474932,-0.008769,-0.000104,-0.000382,0.0,8.416667,0.019508,0.079579,0.127987
7502,24.87645,138.309998,0.108367,0.112177,0.0,0.0,0.060997,110032.0,0.023689,0.033417,0.021328,0.042046,-0.007339,0.079994,7.075326,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.06625,-0.019745,-0.001462,0.0,0.0,-0.011179,-0.066955,-0.002608,-0.001975,-0.003782,0.111462,-0.005932,-0.01531,-0.001147,-0.004237,0.234955,0.578046,-0.010844,-8.8e-05,-0.000672,0.0,7.833333,0.019662,0.085612,0.120215
7503,28.723581,162.100006,0.121686,0.130898,0.0,0.0,0.060958,114966.0,0.024184,0.039203,0.02436,0.049814,-0.008512,0.097699,7.096004,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024471,-0.001335,0.0,0.0,-0.012344,-0.09326,-0.003021,-0.002271,-0.004267,0.131861,-0.006591,-0.016771,-0.001466,-0.004458,0.285046,0.686877,-0.012652,-0.000158,-0.001171,0.0,7.583333,0.022959,0.077251,0.135424
7504,32.924511,184.630005,0.146856,0.153035,0.0,0.0,0.06091,116647.0,0.030137,0.044478,0.026921,0.055428,-0.009697,0.10476,7.081593,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.09013,-0.026924,-0.001901,0.0,0.0,-0.014354,-0.107525,-0.003531,-0.002623,-0.005088,0.151588,-0.007682,-0.019736,-0.001484,-0.005133,0.322632,0.791736,-0.01481,-0.000171,-0.002965,0.0,7.652174,0.019524,0.083921,0.113728
7505,37.075596,209.990005,0.162194,0.173144,0.0,0.0,0.060747,114400.0,0.035933,0.052576,0.035208,0.06791,-0.011888,0.130279,7.107218,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.030604,-0.002224,0.0,0.0,-0.017408,-0.112234,-0.004105,-0.003068,-0.006,0.171341,-0.008857,-0.022926,-0.001704,-0.006478,0.366484,0.895034,-0.017397,-0.000236,-0.003734,0.0,8.541667,0.022042,0.081709,0.1222
7506,41.733536,233.0,0.185922,0.191678,0.0,0.0,0.060578,107744.0,0.040574,0.057073,0.043249,0.084513,-0.014207,0.151648,7.099853,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.11425,-0.033223,-0.003064,0.0,0.0,-0.020699,-0.146303,-0.00467,-0.00404,-0.006773,0.188002,-0.01034,-0.026483,-0.002058,-0.006917,0.408337,0.995783,-0.021438,-0.000252,-0.00668,0.0,7.291667,0.020425,0.091736,0.123599
