iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,3.163489,18.389999,0.010055,0.010454,0.0,67.375,0.060684,74172.0,0.004426,0.003471,0.000948,0.002758,-0.000607,0.005269,6.378672,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006115,-0.001915,-4.7e-05,0.0,-0.005118,-0.002091,-0.001891,-0.00027,-0.000161,-0.000311,0.011308,-0.001139,-0.001818,-0.000325,-0.001175,0.015985,0.052082,-0.000779,-2e-06,0.0,66.791672,7.916667,0.038873,0.08944,0.133181
7498,7.155206,41.610001,0.030844,0.031159,0.0,0.0,0.060937,110583.0,0.009455,0.009677,0.004511,0.011525,-0.001922,0.019267,6.984475,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018248,-0.005622,-0.000336,0.0,-0.000185,-0.003756,-0.019033,-0.000731,-0.000528,-0.000953,0.031809,-0.001956,-0.004493,-0.000455,-0.001828,0.053837,0.15757,-0.002863,-1.7e-05,-0.0,0.041667,8.333334,0.018235,0.077917,0.119822
7499,11.884949,66.349998,0.049297,0.052404,0.0,0.0,0.060932,111153.0,0.014395,0.015386,0.008373,0.019056,-0.003305,0.033409,7.01851,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009565,-0.000589,0.0,0.0,-0.00579,-0.033462,-0.001223,-0.000919,-0.001748,0.051725,-0.002638,-0.007068,-0.000645,-0.002442,0.095537,0.26353,-0.005117,-3.4e-05,-1e-05,0.0,7.75,0.019382,0.072177,0.114719
7500,16.027407,91.440002,0.069112,0.071105,0.0,0.0,0.061063,117835.0,0.017833,0.020994,0.013313,0.028124,-0.004738,0.052397,7.034353,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012536,-0.000905,0.0,0.0,-0.007374,-0.056123,-0.001681,-0.001291,-0.002441,0.071845,-0.003705,-0.009952,-0.000798,-0.002978,0.140862,0.369395,-0.007042,-7.1e-05,-0.000173,0.0,8.666667,0.020165,0.084364,0.123695
7501,21.162857,115.389999,0.089571,0.091314,0.0,0.0,0.06106,119351.0,0.018489,0.027335,0.016521,0.03364,-0.005883,0.06526,7.060972,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.016429,-0.001205,0.0,0.0,-0.009355,-0.070606,-0.002104,-0.001559,-0.00309,0.092555,-0.004652,-0.011941,-0.000917,-0.003651,0.191255,0.475216,-0.008723,-0.000109,-0.00034,0.0,8.416667,0.01917,0.079468,0.126925
7502,24.75621,138.309998,0.108172,0.112259,0.0,0.0,0.06115,121864.0,0.023548,0.033556,0.021175,0.041991,-0.007394,0.080262,7.074845,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.06625,-0.019774,-0.00137,0.0,0.0,-0.011084,-0.072561,-0.002619,-0.001967,-0.003752,0.11183,-0.005944,-0.015283,-0.001148,-0.004172,0.235313,0.577764,-0.010904,-9e-05,-0.000658,0.0,7.833333,0.02016,0.084779,0.119119
7503,28.543753,162.100006,0.121754,0.130955,0.0,0.0,0.061139,121206.0,0.024335,0.03943,0.024306,0.049813,-0.008514,0.097812,7.082042,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024452,-0.001305,0.0,0.0,-0.01242,-0.103219,-0.003032,-0.002248,-0.004331,0.13197,-0.006637,-0.016778,-0.001439,-0.004485,0.284821,0.686433,-0.012648,-0.00016,-0.001213,0.0,7.583333,0.022761,0.077678,0.135194
7504,32.863567,184.630005,0.146944,0.153029,0.0,0.0,0.061112,118227.0,0.030058,0.044575,0.026658,0.055419,-0.00971,0.104842,7.074413,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.09013,-0.026876,-0.001862,0.0,0.0,-0.014399,-0.113372,-0.003537,-0.002638,-0.005085,0.151706,-0.007707,-0.019498,-0.00153,-0.005173,0.322699,0.791129,-0.014851,-0.000165,-0.003004,0.0,7.652174,0.019803,0.084541,0.113469
7505,36.960472,209.990005,0.162287,0.173115,0.0,0.0,0.061015,118181.0,0.035737,0.052288,0.035323,0.067645,-0.011907,0.130429,7.087411,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.030564,-0.002223,0.0,0.0,-0.017329,-0.120866,-0.004119,-0.003064,-0.006006,0.171586,-0.00887,-0.0229,-0.001697,-0.006384,0.366839,0.895058,-0.017416,-0.000247,-0.003586,0.0,8.541667,0.021483,0.081908,0.121164
7506,41.55418,233.0,0.185952,0.191648,0.0,0.0,0.060921,109656.0,0.040569,0.057636,0.043318,0.084459,-0.014218,0.15155,7.063567,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.11425,-0.033186,-0.003054,0.0,0.0,-0.020517,-0.149866,-0.004674,-0.004072,-0.00682,0.188217,-0.010407,-0.026177,-0.002195,-0.006882,0.407879,0.994876,-0.02147,-0.000279,-0.007096,0.0,7.291667,0.020268,0.091352,0.123571
7507,45.707367,258.5,0.2004,0.211275,0.0,0.0,0.061013,108432.0,0.045531,0.062544,0.041794,0.090912,-0.016424,0.167893,7.104263,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.12625,-0.040173,-0.003388,0.0,0.0,-0.02426,-0.193939,-0.005402,-0.004499,-0.008476,0.207804,-0.011168,-0.029335,-0.002355,-0.008374,0.445903,1.10525,-0.025283,-0.000308,-0.008802,0.0,7.833333,0.021865,0.084938,0.124765
7508,50.160576,281.790009,0.218206,0.226446,0.0,0.0,0.060954,113440.0,0.043215,0.069229,0.048757,0.098403,-0.017179,0.17984,7.072446,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.13825,-0.041411,-0.00375,0.0,0.0,-0.024434,-0.228696,-0.005802,-0.004734,-0.00859,0.229024,-0.012463,-0.031877,-0.002407,-0.008127,0.506106,1.20709,-0.026557,-0.000306,-0.012429,0.0,7.5,0.023007,0.083672,0.146731
7509,55.619755,306.220001,0.247652,0.253166,0.0,0.0,0.060872,114160.0,0.04589,0.076011,0.050592,0.099843,-0.017585,0.188394,7.087686,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.15025,-0.043126,-0.003575,0.0,0.0,-0.024334,-0.135508,-0.006165,-0.004766,-0.008802,0.247656,-0.013202,-0.033193,-0.002356,-0.008222,0.549694,1.315123,-0.027068,-0.000358,-0.009297,0.0,7.833333,0.020041,0.091752,0.118791
7510,58.337791,328.140015,0.263174,0.272536,0.041667,0.0,0.060971,103776.0,0.052622,0.083177,0.05787,0.108866,-0.019937,0.219692,7.085322,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.162247,-0.047576,-0.003579,0.0,-0.000208,-0.028113,-0.194403,-0.006588,-0.005022,-0.009471,0.271172,-0.014797,-0.035525,-0.002888,-0.009845,0.589133,1.416096,-0.028621,-0.000562,-0.013879,0.0,6.416667,0.020711,0.087521,0.131136
7511,63.662666,354.76001,0.28263,0.300989,0.0,0.0,0.061024,108429.0,0.063349,0.088694,0.061685,0.122678,-0.022164,0.229037,7.137318,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.17425,-0.051841,-0.004647,0.0,0.0,-0.032137,-0.197072,-0.007351,-0.005953,-0.011182,0.287755,-0.016132,-0.040853,-0.003147,-0.010894,0.617638,1.516445,-0.032919,-0.000393,-0.019534,0.0,9.25,0.020387,0.074058,0.112261
7512,67.282082,372.519989,0.295828,0.314098,0.043478,0.0,0.061094,106517.0,0.059735,0.093792,0.06514,0.12349,-0.0228,0.243891,7.098736,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.18494,-0.054856,-0.004304,0.0,-0.000424,-0.032899,-0.194119,-0.007667,-0.005907,-0.011529,0.307279,-0.017014,-0.043274,-0.003169,-0.011424,0.669166,1.613382,-0.033109,-0.0004,-0.017892,0.086957,7.608696,0.022573,0.090379,0.134751
