iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
baseline,742.5,61.1,675.4,61.9,5.1,56.3,89.1,38.7,132.4,0.983,0.976,166.1,0,0.0,27.2,4.12,30.74,62.7,70.72,7.512,7.66,11.9,6.0,23.7,61.9,56.3,15,3c x 5s x 1d,progress\videos\baseline_phase2.mp4
0,368.0,173.8,112.9,30.7,14.5,9.4,381.0,154.8,565.0,0.987,0.981,166.7,0,0.0,26.79,3.71,30.26,62.76,70.46,7.43,21.12,24.5,23.5,72.8,30.0,7.2,15,3c x 5s x 1d,progress\videos\iter_0000.mp4
50,668.0,72.2,565.7,55.7,6.0,47.1,307.0,192.7,480.8,0.986,0.983,166.0,0,0.0,28.57,4.1,32.6,67.58,77.43,7.905,9.0,10.0,8.9,26.9,58.7,53.1,15,3c x 5s x 1d,progress\videos\iter_0050.mp4
100,312.6,164.7,120.5,26.1,13.7,10.0,526.5,108.5,633.4,0.988,0.987,166.4,0,0.0,29.24,4.82,33.93,67.7,77.49,7.925,24.99,20.5,16.3,42.9,46.3,43.5,15,3c x 5s x 1d,progress\videos\iter_0100.mp4
150,484.6,107.8,360.9,40.4,9.0,30.1,403.1,47.5,454.2,0.992,0.987,166.7,0,0.0,28.31,4.93,33.09,68.83,78.42,7.687,12.42,15.8,16.9,50.3,46.2,29.7,15,3c x 5s x 1d,progress\videos\iter_0150.mp4
200,461.8,79.6,376.6,38.5,6.6,31.4,204.9,93.0,306.3,0.994,0.991,165.9,0,0.0,27.81,4.77,32.72,69.07,78.33,7.353,12.26,20.0,17.8,49.7,37.5,30.3,15,3c x 5s x 1d,progress\videos\iter_0200.mp4
250,295.4,13.8,279.3,24.6,1.1,23.3,162.8,43.8,201.6,0.995,0.992,165.9,0,0.0,27.07,5.43,32.56,67.73,76.96,6.999,17.87,29.9,21.7,58.4,23.7,21.6,15,3c x 5s x 1d,progress\videos\iter_0250.mp4
300,172.4,56.1,99.5,14.4,4.7,8.3,215.1,40.9,248.7,0.996,0.995,166.8,0,0.0,26.59,6.2,31.8,68.67,79.98,6.937,33.39,35.9,25.8,72.8,15.4,7.2,15,3c x 5s x 1d,progress\videos\iter_0300.mp4
350,153.7,41.9,96.9,12.8,3.5,8.1,160.6,53.3,211.7,0.996,0.994,166.6,0,0.0,26.45,6.22,32.25,67.36,79.17,6.755,35.34,35.3,24.6,67.4,18.6,12.6,15,3c x 5s x 1d,progress\videos\iter_0350.mp4
400,84.2,63.7,17.2,7.0,5.3,1.4,130.2,39.0,169.6,0.996,0.995,166.7,0,0.0,25.07,6.78,31.52,65.9,77.61,6.495,116.73,38.7,25.7,72.8,15.6,7.2,15,3c x 5s x 1d,progress\videos\iter_0400.mp4
